ACCE_ABSORB_COST	Kombinations omkostninger: %d
MERCENARY_MISSION_MAP_FLAME	Meleys Grotte
MERCENARY_MISSION_MAP_GREEDY_CAVE	Grådighedens Dybder
MERCENARY_MISSION_MAP_GREEDY_ROOM	Grådighedens Hjerte
MERCENARY_MISSION_MAP_MAZE	Gnoll Huler
MERCENARY_MISSION_MAP_MILLGYO	Hwang Tempel
MERCENARY_MISSION_MAP_MOONLIGHT_VALLEY	Måneskyggens Dal
MERCENARY_MISSION_MAP_NONE	Ingen
MERCENARY_MISSION_MAP_SKIPIA	Forbandelsens Grotte
MERCENARY_MISSION_MAP_SNAKETEMPLE	Slange Tempel
MERCENARY_MISSION_MAP_SNAKEVALLEY	Yilad Dalen
MERCENARY_MISSION_MAP_SNOW	Nemere's Vagttårn
MERCENARY_MISSION_MAP_SPIDER	Kuahlo Dong (Edderkoppe Grotte)
MERCENARY_MISSION_MAP_THREE	Seungryong Dalen
MERCENARY_MISSION_MAP_WHITECAVE	Nordvindslyet
MERCENARY_MISSION_NAME_PUNITIVE_DESTROY	Ødelæggelse
MERCENARY_MISSION_NAME_PUNITIVE_EXPLORE	Rekognoscering
MERCENARY_MISSION_NAME_PUNITIVE_LOW	Erobring (nemt)
MERCENARY_MISSION_NAME_PUNITIVE_NONE	Ingen
MERCENARY_MISSION_NAME_PUNITIVE_UPPER	Erobring (hårdt)
MERCENARY_MISSION_REFRESH_FAIL_MERCENARY	Kan ikke give en opdatering, da der ikke er nogen tilgængelige lejesoldater.
MERCENARY_MISSION_STATE_COMPLETE_1	%s %s er blevet gennemført.
MERCENARY_MISSION_STATE_COMPLETE_2	Vælg "Resultater"
MERCENARY_MISSION_STATE_END	Operation gennemført
MERCENARY_MISSION_STATE_GIVEUP	Du kan ikke genprøve en operation, som du allerede har opgivet.
MERCENARY_MISSION_STATE_NONE	Du kan starte operationen.
MERCENARY_MISSION_STATE_RUN	%s %s er allerede i gang.
MERCENARY_NAME_COLLECTOR	Indsamler
MERCENARY_NAME_EXP	Lærer
MERCENARY_NAME_LUCKY	Heldig
MERCENARY_NAME_NIMBLE	Ekspert
MERCENARY_NAME_NORMAL	Regelmæssig
MERCENARY_NAME_STRONG	Stærk
MERCENARY_NAME_TRAINED	Erfaren
MERCENARY_NONE	Ingen
MERCENARY_POPUP_DISPATCH_DONT_USING_ITEM	Start operationen uden at reducere udholdenheds kravet?
MERCENARY_POPUP_DISPATCH_START	Start operationen?
MERCENARY_POPUP_DISPATCH_USING_ITEM	Reducer udholdenheds kravet?
MERCENARY_POPUP_DRAIN_ASK	Lejesoldats Træneren vil opgive sin post og forlade din tjeneste. Fortsæt?
MERCENARY_POPUP_DRAIN_ASK_EXP	Lejesoldats Træneren vil miste alt hans erfaring. Fortsæt?
MERCENARY_POPUP_DRAIN_DEL_LEFT_EXP	Den resterende erfaring er tabt.
MERCENARY_POPUP_DRAIN_NEED_SUB	Vælg en lejesoldat som du vil træne.
MERCENARY_POPUP_DRAIN_SUB_LEVEL_WARNING	Du har valgt en lejesoldat med et højt level. Ønsker du at fortsætte?
MERCENARY_POPUP_EMPLOY_ASK_1	Hyr en lejesoldat?
MERCENARY_POPUP_EMPLOY_ASK_2	Du har brug for en Lejesoldats Licens og %s Yang.
MERCENARY_POPUP_EXPAND_SLOT_QUESTION	Udvid lejesoldats pladser? Du har brug for %d.
MERCENARY_POPUP_MISSION_FAIL	Operationen %s er mislykkedes!
MERCENARY_POPUP_MISSION_GIVEUP_1	Annuller operationen?
MERCENARY_POPUP_MISSION_GIVEUP_2	Du kan ikke genprøve en operation, som du har annulleret.
MERCENARY_POPUP_MISSION_MERCENARY_INJURE	En eller flere af dine lejesoldater er sårede.
MERCENARY_POPUP_MISSION_REFRESH	Alle operationerne vil blive opdateret. Fortsæt?
MERCENARY_POPUP_MISSION_RESULT	Se gennemførte operations resultater?
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	Se resultaterne uden at bruge Legion Kommandørens Essens?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	Bruger du Legion Kommandørens Essens til at modtage ekstra belønninger?\nDu vil ikke miste denne genstand, hvis dine lejesoldater ikke er succesfulde med at gennemføre operationen.
MERCENARY_POPUP_MISSION_REWARD_EXP	Du har optjent %s Champion EXP.
MERCENARY_POPUP_MISSION_REWARD_YANG	Du har modtaget %s Yang.
MERCENARY_POPUP_MISSION_SUCCESS	Gennemført Operation %s med succes!
MERCENARY_POPUP_MISSION_USE_ITEM	Da du har brugt Legion Kommandørens Essens, har du modtaget en yderligere belønning.
MERCENARY_SKILL	Færdigheder: %s
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	Ekstra Champion Level EXP
MERCENARY_SKILL_DECREASE_INJURY_PCT	Reducer chancen for skade.
MERCENARY_SKILL_DECREASE_TIME	Reducer operationens varighed.
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Øger chancen for succes.
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Risiko Fordele
MERCENARY_SKILL_UNIQUE	Unikke
MERCENARY_SPECIFICITY	Specialisering: %s
MERCENARY_SPECIFICITY_COLLECTOR	Indsamler
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	Din lejesoldat har en 50%% chance for at få en specialisering, når de når til level %d.
MERCENARY_SPECIFICITY_EXPLAIN_UP	Når du når til level %d, har du en 50%% chance for at modtage en %s.
MERCENARY_SPECIFICITY_FIGHTER	Kriger
MERCENARY_SPECIFICITY_GRADE_LOWER	(Grundlæggende)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(Mellem)
MERCENARY_SPECIFICITY_GRADE_UPPER	(Avanceret)
MERCENARY_SPECIFICITY_LUCKY	Heldige Djævel
MERCENARY_SPECIFICITY_NONE	Ingen
MERCENARY_SPECIFICITY_RESCUE	Redningsmand
MERCENARY_SPECIFICITY_SPY	Spejder
MERCENARY_TOOLTIP_CLOSE	Luk
MERCENARY_TOOLTIP_DISPATCH	Afsendt
MERCENARY_TOOLTIP_INJURE	Såret
MERCENARY_TOOLTIP_MANAGE	Administrer Lejesoldater
MERCENARY_TOOLTIP_MISSION	Operationer
MERCENARY_TOOLTIP_MISSION_COMPLETE	Gennemført
MERCENARY_TOOLTIP_MISSION_DISPATCH	Afsendt
MERCENARY_TOOLTIP_MISSION_END	Færdig
MERCENARY_TOOLTIP_MISSION_GIVEUP	Annuller
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_1	Du har brug for en Champion Level over %d for at låse op for dette.
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_2	Du vil blive belønnet med bedre operationer, som du går op i level.
MERCENARY_TOOLTIP_MISSION_REFRESH	Gentag Operation
MERCENARY_TOOLTIP_MISSION_WAIT	Tilgængelig
MERCENARY_TOOLTIP_POSSIBLE_MERCENARY	Tilgængelige Lejesoldater
MERCENARY_UNDER_TREATMENT	Lejesoldaten bliver helbredt. (%02d timer %02d minutter tilbage.)
MERCENARY_UNIQUE_1	Chance for Succes: +%.1f%%
MERCENARY_UNIQUE_2	Chance for Succes: +%.1f%%
MESSAGE_CANNOT_USE_BEAD_ITEM	Du kan ikke bruge denne genstand.
MESSENGER_ADD_BLOCK_FRIEND	Tilføj
MESSENGER_ADD_FRIEND	Tilføj ven
MESSENGER_BLOCK	Blokeret
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s har accepteret dig som ven.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepter?
MESSENGER_DO_YOU_DELETE	Slet?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vil du slette mobilnr.?
MESSENGER_DO_YOU_MOVE	Vil du fortsætte?
MESSENGER_EMPTY_LIST	Tom
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Venner
MESSENGER_GUILD	Orden
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Indtast bekræftigelses-koden der blev sendt til dit mobilnr.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Indtast bekræftigelses-kode
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Indtast mobilnr. for SMS-tilsending.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vil du indtaste dette nr.?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Angiv mobilnr.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Afsend meddelelse.
METIN_TEST	
MINIGAMEUI_CALENDAR	Event Kalender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Ønsker du at tilføje dette?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Ønsker du virkelig at droppe denne genstand?
MINIGAME_FISH_EVENT_REWARD_MSG	Du har modtaget %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Ønsker du at bruge dette?
MINIMAP	Åben Minimap
MINIMAP_CANNOT_SEE	Minikort kan ikke vises.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Kortet kan ikke vises.
MINIMAP_DEC_SCALE	Minimer
MINIMAP_INC_SCALE	Maximer
MINIMAP_OBSERVER_COUNT	%d tilskuer
MINIMAP_OPEN_INGAMEEVENT	Events
MINIMAP_SHOW_AREAMAP	Åben stort kort
MINI_GAME_BNW_DONATE_QUESTION1	Ønsker du at donere?
MINI_GAME_BNW_DONATE_QUESTION2	En donation koster 15 Seer Mønter.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Ønsker du virkelig at forlade spillet?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Husk at du kan optjene belønninger, hvis du vinder.
MINI_GAME_BNW_GAME_RESULT_DRAW	Uafgjort! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_GAME_RESULT_LOSE	Besejret! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_GAME_RESULT_SCORE	Score: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Sejr! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Der er ikke nok plads i dit inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Du skal bruge et Tarot Sæt for at spille.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Du har ikke nok Yang til at starte spillet.
MINI_GAME_BNW_RESULT_DRAW1	Dit nummer er den samme.
MINI_GAME_BNW_RESULT_DRAW2	Uafgjort!
MINI_GAME_BNW_RESULT_LOSE1	Dit nummer er mindre.
MINI_GAME_BNW_RESULT_LOSE2	Besejret!
MINI_GAME_BNW_RESULT_WIN1	Dit nummer er større.
MINI_GAME_BNW_RESULT_WIN2	Sejr!
MINI_GAME_BNW_START_QUESTION	Du skal bruge et Tarot Sæt og 30.000 Yang for at spille. Ønsker du at deltage i Seernes Duel?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Hvis du satser flere %s, vil du blive belønnet med det samme antal kister.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Højeste satsning: %d Konge Dæk.
MINI_GAME_CATCHKING_HELP_MSG1	Sikke en skam! Dit korts værdi er lavere. \nDu optjener ikke nogen point. Vælg et nyt kort fra dit dæk.
MINI_GAME_CATCHKING_HELP_MSG2	Flot arbejde! Kortene har den samme værdi.\nDin tur er slut. Vælg et nyt kort fra dit dæk.
MINI_GAME_CATCHKING_HELP_MSG3	Fortsæt! Dit korts værdi er højere.\nVend et andet kort.
MINI_GAME_CATCHKING_HELP_MSG4	Der var et [5] inden for rækkevidde af det kort du afslørede.\nDesværre optjener du ikke nogen point. Vælg din Konge [K] nu.
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Kongen slap væk! Spillet er slut. \nHvis du har optjent mindst 10 point, kan du nu indløse din præmie.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Du kan ikke indløse nogen præmie.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Der er en [5] i nærheden.
MINI_GAME_CATCHKING_START_QUESTION	Du skal betale følgende for et spil: %d Yang og %s: %d lots\nVil du gerne spille nu?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Kan fange følgende kort: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kan fange følgende kort: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kan fange følgende kort: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kan fange følgende kort: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kan fange følgende kort: [1], [2], [3], [4], [5]\nHvis et andet [5] er nabo til det kort som du afsløre,\nvil din tur ende og du vil ikke modtage nogen point.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Kan fange følgende kort: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 eller mere
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 til 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 til 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Du optjener 10 bonus point hvis du afsløre alle kortene i træk.
MINI_GAME_GIVEUP_QUESTION	Ønsker du virkelig at forlade spillet? Du vil ikke modtage nogen belønning.
MINI_GAME_NOTICE_1	Klik på 'Kast' for at bestemme start spilleren.
MINI_GAME_NOTICE_2	Kast Yut Pinde.
MINI_GAME_NOTICE_3	Computeren kaster Yut Pinde for at bestemme start spilleren.
MINI_GAME_NOTICE_4	Det blev uafgjort eller computeren havde det lavest talte kast. Computeren vil begynde.
MINI_GAME_NOTICE_5	Du havde det lavest talte kast og vil begynde.
MINI_GAME_NOTICE_6	Dit kast: %s. Bevæg dig frem %d plads(er).
MINI_GAME_NOTICE_7	Dit kast: %s. Du skal bevæge dig 1 plads tilbage.
MINI_GAME_NOTICE_8	Kast: %s
MINI_GAME_NOTICE_9	Det er computerens tur.
MINI_GAME_NOTICE_10	Ha! Du slog computeren ud!
MINI_GAME_NOTICE_11	Uheldigt! Computeren har slået dig ud.
MINI_GAME_NOTICE_12	Du havde Yut eller Mo og kan kaste igen.
MINI_GAME_NOTICE_13	Spillet er slut. Modtag din belønning.
MINI_GAME_RUMI_DISCARD_QUESTION	Vil du virkelig afskaffe dette kort?
MINI_GAME_RUMI_EXIT_QUESTION	Ønsker du at afslutte spillet og hente din præmie?\nDin score og resterende kort vil herefter blive nulstillet!
MINI_GAME_RUMI_START_QUESTION	Du skal betale et gebyr på %d Yang for at kunne spille. Du skal også bruge %d Kortsæt.\nVil du starte spillet?
MINI_GAME_YUTNORI_COM_WIN	Du vinder nogen, du taber nogen.
MINI_GAME_YUTNORI_PC_WIN	Til sejreren går byttet!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Score: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Kast
MINI_GAME_YUTNORI_RETHROW_POPUP	Heldig djævel! Det er din tur igen.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Du har brug for %d Yang og %d Yut Nori Bræt for at starte et spil Yut Nori. \n Spil nu?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energi +2
MISTS_ISLAND_BUFF_MSG_02	Genstandens Smidnings Sats +10%
MISTS_ISLAND_BUFF_MSG_03	Styrke, Intelligens, Vitalitet, Smidighed +3
MISTS_ISLAND_BUFF_MSG_04	Yang Smidnings Sats +10%
MISTS_ISLAND_BUFF_MSG_05	Kostume Bonusser +3%
MISTS_ISLAND_INFO_01	Din level er for lavt.
MISTS_ISLAND_INFO_02	Ikke nok Yang.
MISTS_ISLAND_INFO_03	Ingen kampe finder sted i øjeblikket.
MISTS_ISLAND_MSG_01	%s er blevet ødelagt af %s!
MISTS_ISLAND_MSG_02	%s har fanget %s!
MISTS_ISLAND_MSG_03	%s har optaget %s!
MISTS_ISLAND_MSG_04	%s angriber %s!
MISTS_ISLAND_MSG_05	%s har opgraderet %s til level %d med succes!
MISTS_ISLAND_MSG_06	%s er kommet frem på slagmarken!
MISTS_ISLAND_QUESTION_01	Ønsker du at forlade Kampen om de Fem Helligdomme?
MISTS_ISLAND_QUESTION_02	Ønsker du at teleportere dig til den senest angrebene helligdom? \n Koster: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Besætter Riget: %s
MISTS_ISLAND_TOOLTIP_03	Forbedrings Level: +%d
MISTS_ISLAND_TOOLTIP_04	Besættelses Buff: %s
MISTS_ISLAND_TOOLTIP_05	Erobre Helligdommene
MISTS_ISLAND_TOOLTIP_06	1. For at kunne fange en helligdom, skal den først ødelægges.
MISTS_ISLAND_TOOLTIP_07	2. Det rige som har flest kombattanter i nærheden efter 1 minut, vil fange helligdommen.
MISTS_ISLAND_TOOLTIP_08	3. Efter 3 minutter, vil helligdommen komme frem igen i de rigets farver som har fanget den.
MISTS_ISLAND_TOOLTIP_09	4. Jo længere en helligdom har været under kontrol af det samme rige, jo svære vil den være at ødelægge.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	titusind
MONETARY_UNIT2	hundrede millioner
MONEY_INPUT_DIALOG_SELLPRICE	Salgspris:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	Nykos vil komme frem snart.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Denne genstand er allerede valgt.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Du kan ikke gøre det, mens du er på gangeren.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Du kan øge din heste level, så snart du har nået op til Champion Level.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Du har brug for %d Foder og %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Prøv at øge din hests level til %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	For at øge din hests level, har du brug for %d Foder, %d Gaya, og %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Du har ikke nok Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Hest level forøgelse mislykkedes.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Hestens level er øget til %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Du har ikke nok Yang eller Foder.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Næste level: %d (Maks. %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Annuller
MOVE_CHANNEL_NOTICE	Du er forbundet til kanal %d.
MOVE_CHANNEL_NOT_MOVE	Du kan ikke skifte din kanal.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Kanaler
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke flytte genstande mens du har en privat butik åben.
MUSIC_EMPTY_MUSIC_LIST	Ingen baggrundsmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Du har ikke valgt nogen musikfil.
NEEFD_REST	Du bliver nød til at hvile dig.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	Du kan ikke tilføje pladser mens genstanden er udstyret.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	Du kan ikke tilføje pladser til denne genstand.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	Du kan ikke tilføje flere pladser.
NOT_YET_SUPPORT	Bliver ikke understøttet.
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Dette kort er ikke tilgængeligt.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Du kan ikke se hele kortet.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Gennemfør %s først.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Du kan kun teleportere dig til en NPC, hvis du er på det samme kort.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	Det valgte kort er ikke tilgængeligt til din nuværende level.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Du kan teleportere dig igen om %d minutter.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Du kan teleportere dig igen om 1 minut.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Du kan ikke teleportere dig når du er død.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Du kan ikke teleportere dig til en NPC, der hører til et andet rige.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Du har ikke nok %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Du kan ikke teleportere dig til denne NPC.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Du kan ikke teleportere dig til en instans.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Du har ikke nok %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	Det valgte kort er ikke tilgængeligt til din nuværende level.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Du kan ikke teleportere dig, mens du er monteret.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Du skal have nået op til champion level 1 for at være i stand til at teleportere dig.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Du kan ikke teleportere dig fra din nuværende lokation.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Du har ikke nok Teleporterings Sten.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Du kan ikke teleportere dig, mens du har andre menuer åbne.
NPC_LOCATION_HELPER_MAP_LOCKED	Utilgængelig
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Du har allerede dette kort.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Du skal aktivere NPC Finderen.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	NPC Finderen kan ikke bruges her.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Kortet i denne område kan ikke blive skiftet.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Du skal aktivere NPC Finderen.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Du skal aktivere NPC Finderen.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Du kan ikke teleportere dig lige nu.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Prøv venligst igen.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Intet kort er tilgængeligt her.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	%s er blevet gennemført. Du kan nu bruge alle %s funktionerne.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Dette monsters område bliver allerede vist.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Du kan ikke vise monstrenes præcise placering, som kun kommer frem på et andet kort.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	Den valgte monstres placering er ukendt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Utilgængelig i øjeblikket) Du har ikke den nødvendige genstand til at se hvor denne monster kommer frem.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Utilgængelig i øjeblikket) Vælg et monster for at finde ud af, hvor den kommer frem.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	Regionen hvor %s kommer frem er fremhævet på kortet.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Du har ikke nok Teleporterings Sten.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	Den valgte NPC er i nærheden.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Vælg regionen.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Du kan ikke bruge det længere.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Dragestens Alkymi
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Kombination
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Håndværk
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Fangehulets Indgange
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Købmænd
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Event
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Fiskevarer
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Forbrugsartikler
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Ordens Område
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Lærere
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Mail
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Minedrift
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Gangere
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Andre NPCer
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portaler
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Opgraderer
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleportere
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Lagerforvaltere
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Ønsker du at aktivere NPC Finderen?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	eller
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Ønsker du at bruge %d Teleporterings Sten/Teleporterings Sten+ til at teleportere dig til %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Nødvendig for at teleportere:
OKEY_EVENT_MESSAGE_CARD_GAIN	Du modtager Okey Kort Sæt.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Du modtager Okey Kort.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Du kan ikke spille Okey, mens du har et andet vindue åbent.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Du skal have nået op på level 70 for at være i stand til at deltage.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Du har ikke de tilstrækkelige genstande, eller penge for at spille.
