ACCE_ABSORB_COST	Combinatiekosten: %d
MINI_GAME_YUTNORI_PC_WIN	De buit is aan de overwinnaar!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Score: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Werpen
MINI_GAME_YUTNORI_RETHROW_POPUP	Geluksvogel! Het is weer jouw beurt.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Je hebt %d Yang en %d Yut Nori Bord nodig om een spelletje Yut Nori te spelen. \n Nu spelen?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Item Drop-percentage +10%
MISTS_ISLAND_BUFF_MSG_03	Kracht, Intelligentie, Vitaliteit, Behendigheid +3
MISTS_ISLAND_BUFF_MSG_04	Yang Drop-percentage +10%
MISTS_ISLAND_BUFF_MSG_05	Kostuumbonussen +3%
MISTS_ISLAND_INFO_01	Jouw level is te laag.
MISTS_ISLAND_INFO_02	Niet genoeg Yang.
MISTS_ISLAND_INFO_03	Er vind momenteel geen gevecht plaats.
MISTS_ISLAND_MSG_01	%s is vernietigd door %s!
MISTS_ISLAND_MSG_02	%s heeft %s gevangen!
MISTS_ISLAND_MSG_03	%s heeft %s bezet!
MISTS_ISLAND_MSG_04	%s valt %s aan!
MISTS_ISLAND_MSG_05	%s heeft de %s met succes verbeterd naar level %d!
MISTS_ISLAND_MSG_06	%s is verschenen op het strijdtoneel!
MISTS_ISLAND_QUESTION_01	Wil je de Slag om de Vijf Altaren verlaten?
MISTS_ISLAND_QUESTION_02	Wil je teleporteren naar het recentelijk aangevallen altaar? \n Kosten: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Bezettend Koninkrijk: %s
MISTS_ISLAND_TOOLTIP_03	Verbeteringslevel: +%d
MISTS_ISLAND_TOOLTIP_04	Bezettings-buff: %s
MISTS_ISLAND_TOOLTIP_05	Veroveren van de Altaren
MISTS_ISLAND_TOOLTIP_06	1. Om een altaar in te nemen moet het eerst vernietigd worden.
MISTS_ISLAND_TOOLTIP_07	2. Het koninkrijk waarvan de meeste strijdkrachten in de buurt zijn na één minuut zal het altaar bezetten.
MISTS_ISLAND_TOOLTIP_08	3. Na drie minuten zal het altaar opnieuw verschijnen in de kleur van het koninkrijk waar het door bezet is.
MISTS_ISLAND_TOOLTIP_09	4. Hoe langer een altaar onder bevel staat van hetzelfde koninkrijk, des te moeilijker het zal zijn om het te vernietigen.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Tien Duizend
MONETARY_UNIT2	Honderd Miljard
MONEY_INPUT_DIALOG_SELLPRICE	Verkoop Prijs:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	Nykos zal spoedig verschijnen.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Dit item is al geselecteerd.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Je kunt dat niet doen als je op je rijdier zit.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Je kunt je Paardenlevel verhogen zodra je het Kampioenslevel bereikt hebt.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Je hebt %d Veevoeder en %d Yang nodig.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Het level van je paard proberen te verhogen naar %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Om het level van je paard te verhogen, heb je %d Veevoeder, %d Gaya en %d Yang nodig.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Je hebt niet genoeg Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Stijging van paardenlevel mislukt.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Paardenlevel is gestegen naar %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Je hebt niet genoeg Yang of Veevoeder.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Volgend level: %d (Max. %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Annuleren
MOVE_CHANNEL_NOTICE	Je bent verbonden met kanaal %d.
MOVE_CHANNEL_NOT_MOVE	Je kunt je kanaal niet veranderen.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Kanalen
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Je kunt geen voorwerpen verplaatsen wanneer je een privé Warenhuis hebt geopend.
MUSIC_EMPTY_MUSIC_LIST	Geen Achtergrond muziek.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standaard muziek.
MUSIC_NOT_SELECT_MUSIC	Geen Muziek bestand geselecteerd.
NEEFD_REST	Je moet eerst rusten.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	Je kunt geen posities toevoegen zolang het item gedragen wordt.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	Je kunt geen posities toevoegen aan dit item.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	Je kunt geen posities meer toevoegen.
NOT_YET_SUPPORT	Nog niet ondersteund
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Deze kaart is niet beschikbaar.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Je kunt niet de hele kaart zien.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Voltooi %s eerst.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Je kunt alleen teleporteren naar een NPC als je op dezelfde kaart bent.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	De gekozen kaart is niet beschikbaar voor jouw huidige level.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Je kunt weer teleporteren over %d minuten.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Je kunt opnieuw teleporteren over één minuut.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Je kunt niet teleporteren als je dood bent.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Je kunt niet teleporteren naar een NPC die aan een ander koninkrijk behoort.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Je hebt niet genoeg %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Je kunt niet teleporteren naar deze NPC.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Je kunt niet teleporteren naar een instantie.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Je hebt niet genoeg %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	De gekozen kaart is niet beschikbaar voor jouw huidige level.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Je kunt niet teleporteren zolang je op een rijdier zit.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Je moet Kampioenslevel 1 bereikt hebben om te kunnen teleporteren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Je kunt niet teleporteren vanaf je huidige locatie.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Je hebt niet genoeg Teleportatiestenen.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Je kunt niet teleporteren zolang je andere menu's open hebt staan.
NPC_LOCATION_HELPER_MAP_LOCKED	Onbeschikbaar
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Je hebt deze kaart al.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Je moet de NPC Vinder activeren.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	De NPC Vinder kan hier niet gebruikt worden.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	De kaart in dit gebied kan niet geschakeld worden.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Je moet de NPC Vinder activeren.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Je moet de NPC Vinder activeren.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Je kunt nu niet teleporteren.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Probeer het opnieuw alsjeblieft.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Er is hier geen kaart beschikbaar.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	De %s is voltooid. Je kunt nu alle %s functies gebruiken.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Het gebied van dit monster wordt al weergegeven.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Je kunt de exacte locatie van monsters die alleen verschijnen op een andere kaart niet weergeven.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	De locatie van het gekozen monster is onbekend.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Momenteel onbeschikbaar) Je hebt niet het vereiste item om te zien waar dit monster verschijnt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Momenteel onbeschikbaar) Selecteer een monster om te weten te komen waar het verschijnt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	De regio waar %s verschijnt is aangemerkt op de kaart.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Je hebt niet genoeg Teleportatiestenen.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	De gekozen NPC is in de buurt.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Selecteer de regio.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Je kunt dat niet meer gebruiken.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Drakensteen Alchemie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Combinatie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Productie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Kerkeringangen
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Handelaren
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Evenement
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Visgoederen
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Verbruiksartikelen
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Gilde Gebied
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Leraren
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Post
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Mijnbouw
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Rijdieren
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Andere NPC's
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portalen
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Verbetering
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleporters
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Winkeleigenaars
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Wil je de NPC Vinder activeren?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	of
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Wil je %d Teleportatiestenen/Teleportatiestenen+ gebruiken om te teleporteren naar %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Vereist om te teleporteren:
OKEY_EVENT_MESSAGE_CARD_GAIN	Je ontvangt Okey-kaartenset(s).
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Je ontvangt Okey-kaarten.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Je kunt geen Okey spelen als je een ander venster open hebt staan.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Je moet level 70 bereikt hebben om deel te kunnen nemen.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Je hebt niet genoeg items of geld om te spelen.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Je kunt geen Okey-kaartensets meer ontvangen.
OPEN_THE_SPECIAL_ACTION_KIT	%s toegevoegd aan emoties.
OPTION_ESCAPE_BUTTON_COOLTIME	Probeer het later opnieuw a.u.b.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Je kunt jezelf op dit moment niet bevrijden. Probeer het later opnieuw a.u.b.
OPTION_ESCAPE_FAR_DISTANCE	Je kunt jezelf niet bevrijden omdat je meer dan 10 meter verplaatst bent.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Je hebt jezelf niet bevrijdt.
OPTION_ESCAPE_QUESTION_MESSAGE	Je zult of naar een lege locatie of naar het dorp geteleporteerd worden.\n Wil je jouw karakter bevrijden?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Gebruik deze optie als je vastzit.
OPTION_ESCAPE_WAIT_MESSAGE	Over %d seconden zul je bevrijd worden.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Je kunt Gilde Modus niet activeren wanneer je niet bij een Gilde hoort.
OPTION_PVPMODE_NOT_SUPPORT	Je kunt deze configuratie niet kiezen in PvP Modus.
OPTION_PVPMODE_PROTECT	Je moet minstens level %d hebben om de PvP Modus te veranderen.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Wil je het gevecht verlaten?
OTHER_WORLD_EXCHANGE_COOLTIME	Probeer het later opnieuw a.u.b.
OTHER_WORLD_EXCHANGE_FAIL	Helaas, je hebt niets ontvangen bij de ruil.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Je kunt niet meer dan het maximale aantal items gebruiken.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Vlam des Doods Ruil
OTHER_WORLD_GET_DEAD_SOUL	Je hebt %dx Dode Ziel ontvangen.
OTHER_WORLD_GET_HELL_GATE_KEY	Je hebt %dx Asmodeus Sleutel ontvangen.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Je hebt %dx Zwarte Brief ontvangen.
OTHER_WORLD_GET_REINCARNATION_WATER	Je hebt %dx Levenswater ontvangen.
OTHER_WORLD_GET_WISP	Je hebt %dx Vlam des Doods ontvangen.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Kies de Afgezant van Aarde die je wilt trotseren.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Elke keer als er een karakter sterft, wordt de kerkertimer is met één minuut verminderd.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Levenswater niet beschikbaar.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Dood alle monsters in de toegewezen tijd.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Versla de Afgezant van Nacht zonder te sterven.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Versla Asmodeus voordat de tijd om is.
PAID_CHARACTER_COUNT_TOOLTIP	Premium Karakters: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Je kunt niet meer karakters aanmaken.
PAID_CHARACTER_CREATE_MODE	(Premium Karakter)
PAID_CHARACTER_CREATE_QUESTION	Wil je een premium karakter aanmaken?
PAID_CHARACTER_CREATE_TOOLTIP	Premium Karakter aanmaken
PAID_CHARACTER_DELETE_CONFIRM_1	Als je dit karakter verwijdert, moet je een aanvullend Premium Karakter Ticket kopen voordat je een nieuw premium karakter kunt aanmaken.
PAID_CHARACTER_DELETE_CONFIRM_2	Weet je zeker dat je het karakter wilt verwijderen?
PAID_CHARACTER_DELETE_RETRY	Dit is niet het gekozen karakter.\nProbeer het opnieuw alsjeblieft.
PAID_CHARACTER_FULL_CAPACITY	Je kunt geen premium karakters meer aanmaken.
PAID_CHARACTER_NEED_TICKET	Je hebt een Premium Karakter Ticket nodig om een premium karakter aan te maken.
PAID_CHARACTER_SELECT_TOOLTIP	Premium Karakter
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Karakter Tickets: %d
PAID_CHARACTER_TICKET_LOADING	Laden...
PARTY_ANSWER_TIMEOVER	De uitnodiging is geweigerd.
PARTY_BONUS_ATTACKER	Aanvals Waarde: +%d	SA
PARTY_BONUS_BERSERKER	Aanvals Snelheid: +%d	SA
PARTY_BONUS_BUFFER	Vaardig. duur: +%d	SA
PARTY_BONUS_DEFENDER	Verdediging +%d%%	SA
PARTY_BONUS_EXP	Bonus ERV: %d%%	SA
PARTY_BONUS_SKILL_MASTER	LP-herstel per gedode vijand +%d%%	SA
PARTY_BONUS_TANKER	Max. LP: +%d	SA
PARTY_BREAK_UP	Verwijder Groep
PARTY_DO_YOU_ACCEPT	 will zich aansluiten bij de Groep.
PARTY_DO_YOU_JOIN	 heeft je uitgenodigd om bij een groep te komen. Accepteren?
PARTY_EXP_DISTRIBUTION_MODE	ERV Verdeling
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level afhankelijk
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Hoger Level groepsleden ontvangen meer ERV.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Gelijk
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Groepsleden ontvangen dezelfde ERV.
PARTY_HEAL_ALL_MEMBER	Herstel alles.
PARTY_INCREASE_AREA_150	Bereik van de GRoep verhoogt met een factor 1.5.	SNA
PARTY_INCREASE_AREA_200	Bereik van de Groep veerhoogd met een factor 2.	SNA
PARTY_LEAVE	Groep verlaten
PARTY_LONGTIME_BONUS_EXP	Bonus ERV voor een lange groeps spel: +%d%%	SA
PARTY_MATCH_CANCEL	De groepszoekactie voor %s is geannuleerd.
PARTY_MATCH_FAIL_FULL_MEMBER	Jouw groep kan niet meer leden accepteren.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Je kunt niet aanmelden voor deze kerker.
PARTY_MATCH_FAIL_LEVEL	Jouw level is te laag.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Het lid %s voldoet niet aan de noodzakelijke vereisten.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Kies a.u.b. eerst een kerker.
PARTY_MATCH_FAIL_NOT_LEADER	Alleen de groepsleider kan aanmelden.
PARTY_MATCH_FAIL_NO_ITEM	Je hebt niet genoeg %s.
PARTY_MATCH_SEARCHING	Zoeken
PARTY_MATCH_START	Je hebt je groep aangemeld voor de volgende kerker: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Roep een Groepslid.
PARTY_REGEN_BONUS	Bonus voor LP- + TP  regeneratie: +%d%%	SA
PARTY_REQUEST_DENIED	Je uitnodiging is afgeslagen.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_COW	Chou Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_DOG	Xu Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_HORSE	Wu Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_PIG	Hai Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_SNAKE	Si Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_TIGER	Yin Wachter Ranglijst
PARTY_SET_ATTACKER	Voor Aanvaller uitmaken.
PARTY_SET_BERSERKER	Voor Woesteling uitmaken.
PARTY_SET_BUFFER	Voor Blokkeerder uitmaken.
PARTY_SET_DEFENDER	Voor Verdediger uitmaken.
PARTY_SET_NORMAL	Instellingen terugtrekken.
PARTY_SET_SKILL_MASTER	Voor Vaardigheid Meester uitmaken.
PARTY_SET_TANKER	Als Mesvechter vastleggen
PARTY_SKILL_ATTACKER	Basis Aanvals Waarde Aanvaller +%.0f
PARTY_SKILL_BERSERKER	Aanval Snelheid Woesteling  +%.0f
PARTY_SKILL_BUFFER	Vaardig. Duur Block +%.0f
PARTY_SKILL_DEFENDER	Verdediging als Verdediger +%.0f%%
PARTY_SKILL_HP_REGEN	LP Regeneratie +%.0f%%
PARTY_SKILL_PARTY_AREA	Groeps Bereik +%d%%
PARTY_SKILL_SKILL_MASTER	LP-regeneratie als Vaardigheid Meester +%.0f%%
PARTY_SKILL_SP_REGEN	TP Regeneratie +%.0f%%
PARTY_SKILL_TANKER	Max. LP Mes Vechter +%.0f
PARTY_SKILL_WARP	Mogelijk om groepsleden te roepen.
PASSIVE_ATTR_ADD_FAIL	Mislukt! De bonussen zijn niet overgedragen naar de Ziel Relikwie.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	De Ziel Relikwie kan geen verdere bonussen meer aan.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Daarvoor heb je een Ziel Relikwie voor jouw klasse nodig.
PASSIVE_ATTR_ADD_SUCCESS	Succes! De bonussen zijn overgedragen naar de Ziel Relikwie.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	De Ziel Relikwie is al opgeladen.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Er hoeft geen Ziel Relikwie opgeladen te worden.
PASSIVE_ATTR_CHARGE_QUESTION	Wil je de Ziel Relikwie opladen?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	De relikwietijd is volledig geladen.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Je kunt dat niet doen tijdens de activatie.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Probeer het later opnieuw a.u.b.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Je hebt daar een bijpassende ziel voor nodig.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Vier zielen kunnen worden gebruikt om eigenschappen toe te voegen of uit te breiden op klasse-specifieke zielerelikwieën.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Toegevoegde eigenschappen kunnen niet meer worden gewijzigd; zodra ze zijn geactiveerd, leveren ze je bonussen op en wordt hun duur vermindert.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Zelfs nadat de duur is verstreken, verdwijnt het relikwie niet en kan het opnieuw worden geactiveerd zodra de tijd is aangevuld.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Relikwieën kunnen verkregen worden met herhaalbare quests. Je kunt deze accepteren zodra je de quest Gewonde Man hebt voltooid op de Dong Gwang Vlakte.
PASSIVE_ATTR_TOOLTIP_LINE5	(De missies zijn beschikbaar zodra je level 120 hebt bereikt en de missie 'Verstoringsritueel' hebt voltooid.)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Zielen kunnen ook verkregen worden in de shop.
PASSIVE_ATTR_TOOLTIP_TITLE	Relikwiebonussen
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Daarvoor heb je een Ziel Relikwie voor jouw klasse nodig.
PASSIVE_JOB_DESTROY_POPUP	Als je de Ziel Relikwie achterlaat, zal deze vernietigd worden. Weet je het zeker?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Je kunt de relikwie niet langer doorgeven na activatie.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	De items zullen verloren gaan. Weet je het zeker?
PASSIVE_JOB_LEFT_TIME	Resterende tijd: %s
PASSIVE_JOB_MAX_TIME	Maximale relikwietijd: %s
PASSWORD_TITLE	Warenhuis wachtwoord
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Wil je de attributen van je huisdier nu aanpassen?\nHet item 'Betoverd Huisdier' zal gebruikt worden voor dit proces.\nHet proces kan echter mislukken.
PET_ATTR_CHANGE_USE	Deze actie kan niet uitgevoerd worden wanneer huisdierattributen aangepast worden.
PET_ATTR_DETERMINE_TYPE1	Type 1: onhandig. Niet bijzonder sterk.\nNa verloop van tijd kun je diens vaardigheden verbeteren.
PET_ATTR_DETERMINE_TYPE2	Type 2: nieuwsgierig. Niet bijzonder sterk.\nEen trouwe metgezel wiens vaardigheden na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE3	Type 3: levendig. Gemiddelde kracht.\nNa verloop van tijd kun je diens vaardigheden verbeteren.
PET_ATTR_DETERMINE_TYPE4	Type 4: moedig. Gemiddelde kracht.\nEen trouwe metgezel wiens vaardigheden na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE5	Type 5: brutaal. Sterk.\nNa verloop van tijd kun je diens vaardigheden verbeteren.
PET_ATTR_DETERMINE_TYPE6	Type 6: legendarisch. Sterk.\nEen trouwe metgezel wiens vaardigheden zelfs na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE7	Type 7: mythisch. Enorm sterk.\nZal diens volledige potentie mettertijd bereiken.
PET_ATTR_DETERMINE_TYPE8	Type 8: prismatisch. Extreem sterk.\nEen trouwe compagnon waar je altijd op kunt bouwen.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Je moet je huisdier eerst oproepen.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Je karakter moet kampioenslevel 1 bereikt hebben voor dit evolutielevel.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Je karakter moet kampioenslevel 15 bereikt hebben voor dit evolutielevel.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s kan geen ERV meer verdienen.
PET_CANNOT_FEED_CUBEOPEN	Je kunt je huisdier niet voeren wanneer het verbeteringsscherm geopend is.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Dit is alleen beschikbaar voor huisdieren die het kampioenslevel bereikt hebben.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	Je kunt in deze positie alleen huisdiereieren gebruiken.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Je kunt geen attributen van een dood huisdier aanpassen.
