ACCE_ABSORB_COST	Combination costs: %d
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	The location of the chosen monster is unknown.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Currently unavailable) You don't have the necessary item to see where this monster appears.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Currently unavailable) Select a monster to find out where it appears.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	The region where %s appears is highlighted on the map.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	You don't have enough Teleport Stones.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	The chosen NPC is nearby.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Select the region.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	You cannot use that any more.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Dragon Stone Alchemy
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Combination
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Crafting
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Dungeon Entrances
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Merchants
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Event
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Fishing Goods
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Consumables
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Guild Territory
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Teachers
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Mail
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Mining
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Mounts
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Other NPCs
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portals
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Upgrading
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleporters
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Storekeepers
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Do you want to activate the NPC Finder?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	or
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Do you want to use %d Teleport Stones/Teleport Stones+ to teleport to %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Required to teleport:
OKEY_EVENT_MESSAGE_CARD_GAIN	You receive Okey Card Set(s).
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	You receive Okey Cards.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	You cannot play Okey while you have another window open.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	You must have reached level 70 to be able to participate.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	You don't have sufficient items or money to play.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	You cannot receive any more Okey Card Sets.
OPEN_THE_SPECIAL_ACTION_KIT	%s added to emotions.
OPTION_ESCAPE_BUTTON_COOLTIME	Please try again later.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	You cannot free yourself at the moment. Please try again later.
OPTION_ESCAPE_FAR_DISTANCE	You cannot free yourself as you have moved more than 10 metres.
OPTION_ESCAPE_QUESTION_ANSWER_NO	You haven't freed yourself.
OPTION_ESCAPE_QUESTION_MESSAGE	You will either be teleported to an empty location or to the village.\n Do you want to free your character?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Use this option if you are stuck.
OPTION_ESCAPE_WAIT_MESSAGE	You will be freed in %d seconds.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	You cannot activate Guild Mode when you do not belong to a Guild.
OPTION_PVPMODE_NOT_SUPPORT	You cannot choose this configuration in PvP Mode.
OPTION_PVPMODE_PROTECT	You need to have at least Level %d to be able to change the PvP Mode.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Do you want to leave the fight?
OTHER_WORLD_EXCHANGE_COOLTIME	Please try again later.
OTHER_WORLD_EXCHANGE_FAIL	Unfortunately, you've received nothing from the exchange.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	You cannot use more than the maximum amount of items.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Death Flame Exchange
OTHER_WORLD_GET_DEAD_SOUL	You have received %dx Dead Soul.
OTHER_WORLD_GET_HELL_GATE_KEY	You have received %dx Asmodeus Key.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	You have received %dx Black Letter.
OTHER_WORLD_GET_REINCARNATION_WATER	You have received %dx Water of Life.
OTHER_WORLD_GET_WISP	You have received %dx Death Flame.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Choose the Earth Emissary you want to face.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Each time a character dies, the dungeon timer is reduced by 1 minute.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Water of Life not available.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Kill all the monsters in the allotted time.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Defeat the Night Emissary without dying.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Defeat Asmodeus before the time runs out.
PAID_CHARACTER_COUNT_TOOLTIP	Premium Characters: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	You cannot create any more characters.
PAID_CHARACTER_CREATE_MODE	(Premium Character)
PAID_CHARACTER_CREATE_QUESTION	Do you want to create a premium character?
PAID_CHARACTER_CREATE_TOOLTIP	Create premium character
PAID_CHARACTER_DELETE_CONFIRM_1	If you delete this character, you must purchase an additional Premium Character Ticket before you can create a new premium character.
PAID_CHARACTER_DELETE_CONFIRM_2	Are you sure you want to delete the character?
PAID_CHARACTER_DELETE_RETRY	This is not the chosen character.\nPlease try again.
PAID_CHARACTER_FULL_CAPACITY	You cannot create any more premium characters.
PAID_CHARACTER_NEED_TICKET	You need a Premium Character Ticket to create a premium character.
PAID_CHARACTER_SELECT_TOOLTIP	Premium Character
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Character Tickets: %d
PAID_CHARACTER_TICKET_LOADING	Loading...
PARTY_ANSWER_TIMEOVER	The invitation was rejected.
PARTY_BONUS_ATTACKER	Attack Value: +%d	SA
PARTY_BONUS_BERSERKER	Attack Speed: +%d	SA
PARTY_BONUS_BUFFER	Skill Duration: +%d	SA
PARTY_BONUS_DEFENDER	Defence +%d%%	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	HP recovery per kill +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Delete Group
PARTY_DO_YOU_ACCEPT	 would like to join the Group.
PARTY_DO_YOU_JOIN	 has invited you to join a group. Accept?
PARTY_EXP_DISTRIBUTION_MODE	EXP Distribution
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level dependant
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Higher level group members receive more EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	even
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	All Group members receive the same EXP.
PARTY_HEAL_ALL_MEMBER	Restore everything.
PARTY_INCREASE_AREA_150	Range of the group heightened of the factor 1.5 .	SNA
PARTY_INCREASE_AREA_200	Range of the group heightened of the factor 2.	SNA
PARTY_LEAVE	Leave group
PARTY_LONGTIME_BONUS_EXP	Bonus EXP for a long group game: +%d%%	SA
PARTY_MATCH_CANCEL	The group search for %s has been cancelled.
PARTY_MATCH_FAIL_FULL_MEMBER	Your group cannot accept any more members.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	You cannot register for this dungeon.
PARTY_MATCH_FAIL_LEVEL	Your level is too low.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	The member %s does not fulfil the necessary requirements.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Please select a dungeon first.
PARTY_MATCH_FAIL_NOT_LEADER	Only the group leader can register.
PARTY_MATCH_FAIL_NO_ITEM	You do not have enough %s.
PARTY_MATCH_SEARCHING	Search
PARTY_MATCH_START	You have registered your group for the following dungeon: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Call group member.
PARTY_REGEN_BONUS	Bonus for HP- + SP regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Your request has been declined.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Guardian Rankings
PARTY_RK_CATEGORY_CZ_COW	Chou Guardian Rankings
PARTY_RK_CATEGORY_CZ_DOG	Xu Guardian Rankings
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Guardian Rankings
PARTY_RK_CATEGORY_CZ_HORSE	Wu Guardian Rankings
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Guardian Rankings
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Guardian Rankings
PARTY_RK_CATEGORY_CZ_PIG	Hai Guardian Rankings
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Guardian Rankings
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Guardian Rankings
PARTY_RK_CATEGORY_CZ_SNAKE	Si Guardian Rankings
PARTY_RK_CATEGORY_CZ_TIGER	Yin Guardian Rankings
PARTY_SET_ATTACKER	Constitute as Attacker.
PARTY_SET_BERSERKER	Constitute as Berserker.
PARTY_SET_BUFFER	Constitute as Blocker.
PARTY_SET_DEFENDER	Constitute as Defender.
PARTY_SET_NORMAL	Withdraw settings.
PARTY_SET_SKILL_MASTER	Constitute as Skill Master.
PARTY_SET_TANKER	Constitute as blade fighter.
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +%.0f
PARTY_SKILL_BERSERKER	Attack Speed Berserker +%.0f
PARTY_SKILL_BUFFER	Skill Duration Blocker +%.0f
PARTY_SKILL_DEFENDER	Defence as Defender +%.0f%%
PARTY_SKILL_HP_REGEN	HP Regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Group range +%d%%
PARTY_SKILL_SKILL_MASTER	HP regeneration as Skill Master +%.0f%%
PARTY_SKILL_SP_REGEN	SP Regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. HP blade fighter +%.0f
PARTY_SKILL_WARP	Possible to call group members.
PASSIVE_ATTR_ADD_FAIL	Failure! The bonuses were not transferred to the Soul Relic.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	The Soul Relic cannot take any further bonuses.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	You need a Soul Relic for your class for that.
PASSIVE_ATTR_ADD_SUCCESS	Success! The bonuses were transferred to the Soul Relic.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	The Soul Relic is already charged.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	No Soul Relic needs to be charged.
PASSIVE_ATTR_CHARGE_QUESTION	Do you want to charge the Soul Relic?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	The relic time was fully charged.
PASSIVE_ATTR_CONTROL_FAIL_MSG	You cannot do that during activation.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Please try again later.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	You need a matching soul for that.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Four souls can be used to add or extend attributes on class-specific soul relics.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Attributes added cannot be changed; once activated, they grant you bonuses and their duration is reduced.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Even after the duration has expired, the relic does not disappear and can be reactivated once the time has been recharged.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Relics can be acquired from repeatable quests. You can accept them after you have completed the Wounded Man quest in Dong Gwang Plain.
PASSIVE_ATTR_TOOLTIP_LINE5	(The quests are available after you have reached level 120 and completed the Disruption Ritual quest.)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Souls can also be acquired in the shop.
PASSIVE_ATTR_TOOLTIP_TITLE	Relic Bonuses
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	You need a Soul Relic for your class for that.
PASSIVE_JOB_DESTROY_POPUP	If you discard the Soul Relic, it will be destroyed. Are you sure?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	You will no longer be able to pass on the relic after activation.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	The items will be lost. Are you sure?
PASSIVE_JOB_LEFT_TIME	Time remaining: %s
PASSIVE_JOB_MAX_TIME	Maximum relic time: %s
PASSWORD_TITLE	Storeroom password
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Would you like to change your pet's attributes now?\nThe 'Enchant Pet' item will be used in this process.\nThe process can fail.
PET_ATTR_CHANGE_USE	This action cannot be carried out while pet attributes are being modified.
PET_ATTR_DETERMINE_TYPE1	Type 1: clumsy. Not particularly strong.\nOver time you can improve its skills.
PET_ATTR_DETERMINE_TYPE2	Type 2: inquisitive. Not particularly strong.\nA loyal companion whose abilities will improve with time.
PET_ATTR_DETERMINE_TYPE3	Type 3: spirited. Average strength.\nOver time you can improve its skills.
PET_ATTR_DETERMINE_TYPE4	Type 4: courageous. Average strength.\nA loyal companion whose abilities will improve with time.
PET_ATTR_DETERMINE_TYPE5	Type 5: bold. Strong.\nOver time you can improve its skills even further.
PET_ATTR_DETERMINE_TYPE6	Type 6: legendary. Strong.\nA loyal companion whose abilities will even improve with time.
PET_ATTR_DETERMINE_TYPE7	Type 7: mythic. Very strong.\nIt will reach its full potential over time.
PET_ATTR_DETERMINE_TYPE8	Type 8: prismatic. Extremely strong.\nA loyal companion you can always rely on.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	You must summon your pet first.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Your character must have reached champion level 1 for this stage of evolution.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Your character must have reached champion level 15 for this stage of evolution.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s cannot earn any more EXP.
PET_CANNOT_FEED_CUBEOPEN	You cannot feed your pet while the refinement window is open.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	This is only available for pets which have reached champion level.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	You can only select pet eggs in this slot.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	You cannot modify the attributes of a dead pet.
PET_CAN_NOT_EGG_ITEM_USE	You cannot open your Incubator whilst trading or whilst you have your storeroom or a private shop open.
PET_CAN_NOT_FEED_SPLIT_ITEM	You cannot place any split items in this window.
PET_CAN_NOT_FEED_TYPE	You cannot feed your pet like that. Please try something else.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Your pet must be level %d to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Your pet must have 100% experience to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Your pet must have reached champion level %d for you to evolve it.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Your pet has already reached the highest stage of evolution.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	You cannot open a private shop when you have summoned your pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Your pet must be %d days old to train and promote it to the next stage of evolution.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	You cannot call your pet because the duration has expired.
PET_CAN_NOT_USE_BAG	You cannot use the Transport Box because your pet has already expired.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	You can only select pet eggs in this slot.
PET_CAN_REGISTER_PET_EGG	If you have a free slot, you can select one of your pet eggs.
PET_CAN_SPECIAL_EVOL	You need Heroic Pet Books for this stage of evolution.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Block Pen. (% of total value)
PET_CONQUEROR_BILITIES_HIT_PCT	Precision (%)
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Sung Ma's Will (RES) (%)
PET_EGG_REMOVE_ANSWER_1	Confirm
PET_EGG_REMOVE_ANSWER_2	Cancel
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Do you want to remove the chosen %s?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	If you remove the egg, you cannot get it back.
PET_EMPTY_SKILL_SLOT_USE_ITEM	The pet does not have any skills to reset.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Your pet has unlocked a potential skill (%s).
PET_HATCHING_ACCEPT	Do you want to call your pet '%s'?
PET_HATCHING_MONEY	Price: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	You cannot carry out any other interactions whilst the Incubator is open.
PET_INFORMATION_STAGE1	Young
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Valiant
PET_INFORMATION_STAGE4	Heroic
PET_INFORMATION_STAGE5	Awakened
PET_INFORMATION_STAGE6	Powerful
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f%%
PET_INFO_CONQUEROR_BUTTON	Champion
PET_INFO_CONQUEROR_EXP	Current champion level EXP: %s
PET_INFO_EXP	Current EXP: %s
PET_INFO_ITEM_EXP	Current item EXP: %s
PET_INFO_NEXT_CONQUEROR_EXP	Remaining champion level EXP: %s
PET_INFO_NEXT_EXP	Remaining EXP: %s
PET_INFO_NEXT_ITEM_EXP	Remaining item EXP: %s
PET_INFO_NORMAL_BUTTON	Normal
PET_INFO_POTENTIAL_BUTTON	Potential
PET_INFO_POTENTIAL_LEFT_TIME	Time remaining: %s
PET_INFO_POTENTIAL_SKILL	Potential Skills
PET_INFO_SKILL_BUTTON	Pet Skills
PET_MSG_NOT_ENOUGH_MONEY	You do not have enough Yang.
PET_NAME_CHANGE_ACCEPT	Do you want to change your pet's name to %s?
PET_NAME_MIN	The name entered is too short.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	The %s potential skill is now active.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	Unlocked the first potential skill slot
PET_OPEN_POTENTIAL_SKILL_SLOT_2	Unlocked the second potential skill slot
PET_REGISTER_ANSWER_1	Confirm
PET_REGISTER_ANSWER_2	Cancel
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	Do you want to select this pet egg?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	If you select the egg, it will be removed from your inventory.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	The %s potential skill has been removed.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	There’s no pet to revive.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	You do not have enough material.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Skills are now available.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Resetting your pet's skill(s) is irreversible.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Do you want to continue?
PET_SKILL_LEARN_FAIL_CONDITIONS	Your pet does not have the required level. Only heroic pets can learn skills.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Do you want to start hero training with '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: %s seconds
PET_SKILL_TOOLTIP_DURATION	Duration: %d seconds
PET_SKILL_TOOLTIP_FEATHER	The pet has a %d%% chance to activate Feather Walk for %.1f seconds.\n Attack %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	When your HP drops below 20%%, you have \n a %d%% chance to increase your HP by %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Your character has a %d%% chance to become invincible\n when your HP drops below 10%%. \n Effect duration: %.1f seconds.	SAA
PET_SKILL_TOOLTIP_REMOVAL	There is a %d%% chance to immediately remove \n all effects like slow, poison or bleeding if your\n character is affected.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Increase hero training to next stage?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Cost: %s
PET_TOOLTIP_CONQUEROR_BLOCK_PENETRATE_PCT	Block Penetration (%%): +%0.1f%% of total value
PET_TOOLTIP_CONQUEROR_HIT_PCT	Precision (%%): +%0.1f%%
PET_TOOLTIP_CONQUEROR_LEVEL_AND_LIFETIME	C Lvl %d (%s)
PET_TOOLTIP_CONQUEROR_SUNGMA_MOVE	Sung Ma's Will (RES) (%%): +%0.1f%%
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Defence
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Expired
PET_TOOLTIP_POTENTIAL_SKILL	Potential Skill: %s (%d)
PET_TOOLTIP_POTENTIAL_SKILL_REMAINING_TIME	Time remaining: %s
PET_TOOLTIP_SKILL_BONUS_VALUE	in hero training
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Next level: %d (max. %d)
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Tradeable
PET_TOOLTUP_SKILL	%s (Stage %d)
PICK_ITEM_TITLE	Item Number
PICK_MONEY_TITLE	Sum
POPUP_MESSAGE_CLIENT_VERSION_NOT_MATCH	You have been logged out as your client version does not match. Please update your version and log in again.
POPUP_NOTICE_CHECKBOX_TEXT	Don't show again today
PREMIUM_MEMBERSHIP_CANNOT_ADD_TIME_MESSAGE	You cannot add any more time.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	The items you put up for sale must not exceed the permitted total value.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	The items you put up for sale must not exceed the permitted total value.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	This is over 3,000 Won. Please collect your money now.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	This is over 2 billion Yang. Please collect your money now.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	You cannot open that on this map.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Do you want to close your personal shop?
PREMIUM_PRIVATE_SHOP_DURATION	Duration: %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	The shop is not open at the moment, because it is currently being managed.
PREMIUM_PRIVATE_SHOP_NO_BUFF	This button is for your Personal Premium Shop. You must purchase it in the shop to use it.
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC1	Please enter the password
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC2	to open the Personal Premium Shop.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Password
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_REJECT_BUFF_MESSAGE	You cannot add any more time.
PREMIUM_PRIVATE_SHOP_USE_ITEM	Do you want to use the 'Personal Premium Shop' item?
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	You cannot collect the money, because you would then have more than 3,000 Won.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	You cannot collect the money, because you would then have more than 2 billion Yang.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	There is no money to collect.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	You have deposited more Won than you can withdraw.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	You have deposited more Yang than you can withdraw.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	You cannot collect the money, because the amount you entered is too large.
PRIVATESHOPSEARCH_ABLITY_POTION	Dew
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Fine Cloth
PRIVATESHOPSEARCH_ARMOR	Equipment
PRIVATESHOPSEARCH_ARROW	Arrows
PRIVATESHOPSEARCH_BELL	Bells
PRIVATESHOPSEARCH_BELT	Belts
PRIVATESHOPSEARCH_BLEND	Potions
PRIVATESHOPSEARCH_BLOOD_PEARL	Blood-Red Pearl
PRIVATESHOPSEARCH_BLUE_PEARL	Blue Pearl
PRIVATESHOPSEARCH_BODY	Armour
PRIVATESHOPSEARCH_BOW	Bows
PRIVATESHOPSEARCH_BUYTIME	Do you want to buy the selected item?
PRIVATESHOPSEARCH_CLAW	Claws
PRIVATESHOPSEARCH_CLEAR_POTION	Elixirs
PRIVATESHOPSEARCH_COSTUME	Costumes
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Hairstyle
PRIVATESHOPSEARCH_COSTUME_ACCE	Shoulder Sashes
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mount
PRIVATESHOPSEARCH_CRYSTAL	Crystal
PRIVATESHOPSEARCH_DAGGER	Daggers
PRIVATESHOPSEARCH_DEAD	Dead
PRIVATESHOPSEARCH_DETACHMENT	Stone Handbook
PRIVATESHOPSEARCH_DIAMOND	Diamond
PRIVATESHOPSEARCH_DS	Dragon Stone Alchemy
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Sapphire
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Ruby
PRIVATESHOPSEARCH_DS_WHITE	Diamond
PRIVATESHOPSEARCH_DS_YELLOW	Garnet
PRIVATESHOPSEARCH_EAR	Earrings
PRIVATESHOPSEARCH_FAN	Fans
PRIVATESHOPSEARCH_FISH	Fish
PRIVATESHOPSEARCH_FOOTS	Shoes
PRIVATESHOPSEARCH_GEM	Gemstones
PRIVATESHOPSEARCH_GIFTBOX	Gift Boxes
PRIVATESHOPSEARCH_HEAD	Helmets
PRIVATESHOPSEARCH_LIVE	Alive
PRIVATESHOPSEARCH_MATERIAL	Materials
PRIVATESHOPSEARCH_METIN	Spirit Stones
PRIVATESHOPSEARCH_NECK	Necklaces
PRIVATESHOPSEARCH_NEED_ITEM_BUY	You cannot purchase any items without the correct bundle.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	You cannot search for any items without the correct bundle.
PRIVATESHOPSEARCH_NEED_ITEM_NAME	Search by name
PRIVATESHOPSEARCH_NODELAY_POTION	HP Items
PRIVATESHOPSEARCH_ORE	Ore
PRIVATESHOPSEARCH_PET	Pet System
PRIVATESHOPSEARCH_PETAGG	Pet Eggs
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet Skill Books
PRIVATESHOPSEARCH_PICK	Pickaxes
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Quivers
PRIVATESHOPSEARCH_RESOURCE	Item Improvement
PRIVATESHOPSEARCH_ROD	Fishing Poles
PRIVATESHOPSEARCH_SELECTITEM	Select an item.
PRIVATESHOPSEARCH_SHIELD	Shields
