ACCE_ABSORB_COST	Coste de combinación: %d
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	El mapa seleccionado no está disponible para el nivel actual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Puedes volver a teletransportarte en %d minutos.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Puedes volver a teletransportarte en menos de 1 minuto.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	No puedes teletransportarte mientras estés muerto.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	No puedes teletransportarte a donde esté un personaje que se encuentre en otro reino.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	No tienes suficiente %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	No puedes teletransportarte a donde está este personaje.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	No puedes teletransportarte a una instancia.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	No tienes suficiente %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	El mapa seleccionado no está disponible para el nivel actual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Mientras estés cabalgando no puedes teletransportarte.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Debes haber alcanzado el nivel de campeón 1 para poder teletransportarte.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	No puedes teletransportarte desde donde estás en este momento.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	No tienes suficientes Piedras de teletransporte.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	No puedes teletransportarte si has abierto otros menús.
NPC_LOCATION_HELPER_MAP_LOCKED	No disponible
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Ya tienes este mapa.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Debes haber activado el Buscador de personajes.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Aquí no se puede utilizar el Buscador de personajes.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	El mapa no se puede activar en esta área.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Debes haber activado el Buscador de personajes.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Debes haber activado el Buscador de personajes.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Ahora no puedes teletransportarte.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Por favor, inténtalo de nuevo.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Aquí no hay ningún mapa disponible.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	Se ha completado el %s. Ahora puedes utilizar todas las funciones del %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Ya se muestra el área de este monstruo.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	No puedes mostrar el área exacta de un monstruo que solo aparezca en otro mapa.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	El área del monstruo seleccionado es desconocida.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(No disponible en este momento) No tienes el objeto necesario para ver dónde se puede encontrar este monstruo.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(No disponible en este momento) Elige el monstruo del que quieras saber su ubicación.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	El área en la que aparece %s se mostrará en el mapa.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	No tienes suficientes Piedras de teletransporte.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	El personaje seleccionado se encuentra en las proximidades.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Selecciona la región.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	No puedes volver a utilizarlo.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Alquimia de Piedras dragón
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Combinación
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Fabricación
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Entrada a la mazmorra
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Vendedor de equipamiento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Evento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Equipo de pesca
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Consumibles
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Terreno del gremio
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Instructor
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Correo
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Minería
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Monturas
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Otros personajes
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portales
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Mejora
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teletransporte
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Encargado del almacén
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	¿Quieres activar el Buscador de personajes?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	o
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	¿Quieres usar %d Piedras de teletransporte/teletransporte+ para teletransportarte a %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Necesario para teletransportarse:
OKEY_EVENT_MESSAGE_CARD_GAIN	Recibes Set/s de cartas okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Recibes Cartas okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	No puedes jugar a Okey mientras haya otra ventana abierta.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Para participar tienes que haber subido al menos al nivel 70.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	No tienes suficientes objetos/dinero para jugar.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Ya no puedes recibir más Sets de cartas okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s se ha añadido a las emociones.
OPTION_ESCAPE_BUTTON_COOLTIME	Inténtalo de nuevo más tarde.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Ahora no puedes liberarte. Inténtalo de nuevo más tarde.
OPTION_ESCAPE_FAR_DISTANCE	No puedes liberarte, ya que te has movido más de 10 metros.
OPTION_ESCAPE_QUESTION_ANSWER_NO	No te has liberado.
OPTION_ESCAPE_QUESTION_MESSAGE	Se te teletransportará a un lugar libre o a la aldea.\n ¿Quieres liberar a tu personaje?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Utiliza esta opción si te atascas.
OPTION_ESCAPE_WAIT_MESSAGE	Se te liberará en %d segundo/s.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	No puedes activar el Modo Gremio cuando no perteneces a ningún gremio.
OPTION_PVPMODE_NOT_SUPPORT	No puedes elegir esta configuración en modo PvP.
OPTION_PVPMODE_PROTECT	Tienes que tener al menos el nivel %d para poder cambiar el modo PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	¿Quieres abandonar el combate?
OTHER_WORLD_EXCHANGE_COOLTIME	Inténtalo de nuevo más tarde.
OTHER_WORLD_EXCHANGE_FAIL	¡Vaya! No has recibido nada a cambio.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	No puedes utilizar más objetos de los que marca la cantidad máxima.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Intercambio de Llamas de los muertos
OTHER_WORLD_GET_DEAD_SOUL	Has recibido %d Alma/s de los muertos.
OTHER_WORLD_GET_HELL_GATE_KEY	Has recibido %d Llave/s de Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Has recibido %d Carta/s negra/s.
OTHER_WORLD_GET_REINCARNATION_WATER	Has recibido %d Agua/s de la vida.
OTHER_WORLD_GET_WISP	Has recibido %d Llama/s de los muertos.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Escoge al Mensajero de la tierra al que quieres enfrentarte.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Cada vez que un personaje queda fuera de combate, el temporizador de la mazmorra resta 1 minuto.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Agua de la vida no disponible.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Acaba con todos los monstruos en el tiempo indicado.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Derrota al Mensajero de la noche sin quedar fuera de combate.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Derrota a Asmodeus antes de que se acabe el tiempo.
PAID_CHARACTER_COUNT_TOOLTIP	Personajes premium: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	No puedes crear más personajes.
PAID_CHARACTER_CREATE_MODE	(Personaje premium)
PAID_CHARACTER_CREATE_QUESTION	¿Quieres crear un personaje premium?
PAID_CHARACTER_CREATE_TOOLTIP	Crear personaje premium
PAID_CHARACTER_DELETE_CONFIRM_1	Si lo eliminas, tendrás que adquirir otro personaje premium antes de poder crear un nuevo personaje premium.
PAID_CHARACTER_DELETE_CONFIRM_2	¿Seguro que quieres continuar con la eliminación?
PAID_CHARACTER_DELETE_RETRY	Este no es el personaje seleccionado.\nInténtalo de nuevo.
PAID_CHARACTER_FULL_CAPACITY	Ya no puedes crear más personajes premium.
PAID_CHARACTER_NEED_TICKET	Necesitas un tique de personaje premium para poder crear un personaje premium.
PAID_CHARACTER_SELECT_TOOLTIP	Personaje premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Pases de personaje: %d
PAID_CHARACTER_TICKET_LOADING	Cargando...
PARTY_ANSWER_TIMEOVER	Se ha rechazado la invitación.
PARTY_BONUS_ATTACKER	Valor de ataque: +%d	SA
PARTY_BONUS_BERSERKER	Velocidad de ataque: +%d	SA
PARTY_BONUS_BUFFER	Duración de Habilidad: +%d	SA
PARTY_BONUS_DEFENDER	Defensa +%d %%	SA
PARTY_BONUS_EXP	Bono EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Recuperación de HP por asesinato +%d %%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Borrar Grupo
PARTY_DO_YOU_ACCEPT	 quiere unirse al Grupo.
PARTY_DO_YOU_JOIN	 te ha invitado a unirte a un grupo. ¿Aceptas?
PARTY_EXP_DISTRIBUTION_MODE	Distribución de EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Según el nivel
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Los miembros del grupo con un nivel más alto reciben más EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Uniforme
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos los miembros del grupo reciben la misma EXP.
PARTY_HEAL_ALL_MEMBER	Restaurar todo.
PARTY_INCREASE_AREA_150	Alcance del grupo aumentado por el factor 1.5.	SNA
PARTY_INCREASE_AREA_200	Rango del grupo aumentado por el factor 2.	SNA
PARTY_LEAVE	Salir del grupo
PARTY_LONGTIME_BONUS_EXP	Bono EXP por un largo juego en grupo: +%d%%	SA
PARTY_MATCH_CANCEL	Se ha cancelado la búsqueda de grupo de [%s].
PARTY_MATCH_FAIL_FULL_MEMBER	Ya no se pueden añadir más miembros a tu grupo.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	No te has registrado para esta mazmorra.
PARTY_MATCH_FAIL_LEVEL	Tu nivel es demasiado bajo.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	El miembro %s no cumple las condiciones necesarias.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Por favor, escoge primero una mazmorra.
PARTY_MATCH_FAIL_NOT_LEADER	Solo el líder del grupo puede llevar a cabo el registro.
PARTY_MATCH_FAIL_NO_ITEM	No tienes suficiente %s.
PARTY_MATCH_SEARCHING	Buscar
PARTY_MATCH_START	¡Has registrado a tu grupo para la mazmorra [%s]!
PARTY_MEMBER_OFFLINE	[Desconectado]
PARTY_RECALL_MEMBER	Llamar miembro del grupo.
PARTY_REGEN_BONUS	Bono por HP- + SP regeneración: +%d%%	SA
PARTY_REQUEST_DENIED	Tu invitación ha sido rechazada.
PARTY_RK_CATEGORY_CZ_CHICKEN	Clasificación del Guardián Yu
PARTY_RK_CATEGORY_CZ_COW	Clasificación del Guardián Chou
PARTY_RK_CATEGORY_CZ_DOG	Clasificación del Guardián Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Clasificación del Guardián Chen
PARTY_RK_CATEGORY_CZ_HORSE	Clasificación del Guardián Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Clasificación del Guardián Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Clasificación del Guardián Zi
PARTY_RK_CATEGORY_CZ_PIG	Clasificación del Guardián Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Clasificación de la Guardiana Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Clasificación del Guardián Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Clasificación de la Guardiana Si
PARTY_RK_CATEGORY_CZ_TIGER	Clasificación del Guardián Yin
PARTY_SET_ATTACKER	Constituir como atacante.
PARTY_SET_BERSERKER	Constituir como Berserker.
PARTY_SET_BUFFER	Constituir como bloqueador.
PARTY_SET_DEFENDER	Constituir como Defensor.
PARTY_SET_NORMAL	Retirar ajustes.
PARTY_SET_SKILL_MASTER	Constituir como Maestro de Habilidad.
PARTY_SET_TANKER	Constituir como luchador con hoja.
PARTY_SKILL_ATTACKER	Valor de ataque básico del atacante +%.0f
PARTY_SKILL_BERSERKER	Velocidad de ataque de Berserker +%.0f
PARTY_SKILL_BUFFER	Bloqueador de Duración de Habilidad +%.0f
PARTY_SKILL_DEFENDER	Defensa como defensor +%.0f %%
PARTY_SKILL_HP_REGEN	HP Regeneración +%.0f%%
PARTY_SKILL_PARTY_AREA	Alcance del grupo +%d%%
PARTY_SKILL_SKILL_MASTER	Regeneración de HP como maestro de habilidad +%.0f %%
PARTY_SKILL_SP_REGEN	SP Regeneración +%.0f%%
PARTY_SKILL_TANKER	Max. HP Luchador con hoja +%.0f
PARTY_SKILL_WARP	Posible llamar a miembros de grupo
PASSIVE_ATTR_ADD_FAIL	¡Error! Las bonificaciones no se han transferido a la Reliquia de alma.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	La Reliquia de alma ya no puede absorber más bonificaciones.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Necesitas una Reliquia de alma para tu clase.
PASSIVE_ATTR_ADD_SUCCESS	¡Bien! Las bonificaciones se han transferido a la Reliquia de alma.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	La Reliquia de alma ya está cargada.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	No hay ninguna Reliquia de alma que cargar.
PASSIVE_ATTR_CHARGE_QUESTION	¿Quieres cargar la Reliquia de alma?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Se ha recargado el tiempo de reliquia por completo.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Mientras se activa, no puedes realizar ninguna acción.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Inténtalo de nuevo más tarde.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Necesitas un alma adecuada.
PASSIVE_ATTR_TOOLTIP_LINE1	1) Se pueden usar 4 almas para añadir atributos a las reliquias de alma específicas de cada clase o para prolongar su duración.
PASSIVE_ATTR_TOOLTIP_LINE2	2) Los atributos añadidos no se pueden modificar. En cuanto se activan, otorgan bonificaciones y se reduce su duración.
PASSIVE_ATTR_TOOLTIP_LINE3	3) Aunque se acabe el tiempo, la reliquia no desaparece y se puede volver a activar en cuanto se recargue.
PASSIVE_ATTR_TOOLTIP_LINE4	4) Las reliquias se pueden conseguir mediante misiones repetibles. Puedes aceptarlas después de completar las misiones del herido en la Llanura Dongan.
PASSIVE_ATTR_TOOLTIP_LINE5	(Las misiones estarán disponibles en cuanto alcances el nivel 120 y completes la misión "Ritual perturbador").
PASSIVE_ATTR_TOOLTIP_LINE6	5) También se pueden adquirir las almas en la tienda.
PASSIVE_ATTR_TOOLTIP_TITLE	Bonificaciones de reliquia
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Necesitas una Reliquia de alma para tu clase.
PASSIVE_JOB_DESTROY_POPUP	La Reliquia de alma se destruirá si la sueltas. ¿Seguro que quieres hacerlo?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Una vez activada, no podrás darle la Reliquia a nadie.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Los objetos se perderán. ¿Seguro que quieres hacerlo?
PASSIVE_JOB_LEFT_TIME	Tiempo restante: %s
PASSIVE_JOB_MAX_TIME	Tiempo de reliquia máximo: %s
PASSWORD_TITLE	Contraseña del almacén
PET_ABILITIES_VALUE	+%s %%
PET_ATTR_CHANGE_DIALOG_TEXT	¿Quieres cambiar los atributos de tu mascota?\nSe utilizará el objeto Hechizar mascota.\nEl proceso puede fallar.
PET_ATTR_CHANGE_USE	Esta acción no se puede realizar mientras se modifican los atributos de una mascota.
PET_ATTR_DETERMINE_TYPE1	Tipo 1: torpe. No es muy fuerte.\nCon el tiempo podrás entrenar sus habilidades.
PET_ATTR_DETERMINE_TYPE2	Tipo 2: curiosa. No es muy fuerte.\nEs fiel y mejorará sus habilidades con el tiempo.
PET_ATTR_DETERMINE_TYPE3	Tipo 3: audaz. Bastante fuerte.\nCon el tiempo podrás entrenar sus habilidades.
PET_ATTR_DETERMINE_TYPE4	Tipo 4: valiente. Bastante fuerte.\nEs fiel y mejorará aún más sus habilidades con el tiempo.
PET_ATTR_DETERMINE_TYPE5	Tipo 5: osada. Fuerte.\nCon el tiempo podrás entrenar más sus habilidades.
PET_ATTR_DETERMINE_TYPE6	Tipo 6: legendaria. Fuerte.\nEs fiel y mejorará aún más sus habilidades con el tiempo.
PET_ATTR_DETERMINE_TYPE7	Tipo 7: mítica. Muy fuerte.\nCon el tiempo podrás desarrollar todo su potencial.
PET_ATTR_DETERMINE_TYPE8	Tipo 8: prismática. Extremadamente fuerte.\nEs muy fiel y puedes confiar totalmente en ella.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Primero debes invocar a tu mascota.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Para esta etapa de desarrollo, tu personaje debe haber alcanzado el nivel de campeón 1.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Para esta etapa de desarrollo, tu personaje debe haber alcanzado el nivel de campeón 15.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s no obtendrá más EXP.
PET_CANNOT_FEED_CUBEOPEN	No puedes alimentar a tu mascota mientras la Ventana de refinamiento esté abierta.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Esto solo está disponible para mascotas que hayan alcanzado el nivel de campeón.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	En esta casilla solo puedes seleccionar huevos de mascota.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	No puedes modificar los atributos de una mascota fuera de combate.
PET_CAN_NOT_EGG_ITEM_USE	No puedes abrir la Incubadora mientras estés comerciando o mientras tengas abierto el almacén o un comercio privado.
PET_CAN_NOT_FEED_SPLIT_ITEM	No puedes dejar objetos divididos en esta ventana.
PET_CAN_NOT_FEED_TYPE	Lamentablemente no puedes alimentar a tu mascota de esta manera. Por favor, inténtalo de nuevo con otra acción.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Si quieres entrenar a tu mascota para que pase a la siguiente etapa de desarrollo, tiene que haber alcanzado el nivel %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Si quieres entrenar a tu mascota para que pase a la siguiente etapa de desarrollo, tiene que tener un 100% de experiencia.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Tu mascota debe haber alcanzado el nivel de campeón %d para poder hacerla evolucionar.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Tu mascota ya está en la última etapa de desarrollo.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Tras llamar a tu mascota no puedes abrir un almacén privado.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Si quieres entrenar a tu mascota para que pase a la siguiente etapa de desarrollo, tiene que tener al menos %d días.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	No puedes llamar a tu mascota porque ha finalizado el tiempo de duración.
PET_CAN_NOT_USE_BAG	No puedes utilizar el Trasportín porque tu mascota ha expirado.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	En esta casilla solo puedes seleccionar huevos de mascota.
PET_CAN_REGISTER_PET_EGG	Si dispones de una casilla libre, puedes seleccionar uno de tus huevos de mascota.
PET_CAN_SPECIAL_EVOL	Para esta etapa de desarrollo necesitas Manuales de mascota heroicos.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Penet. bloqueo (% del total)
PET_CONQUEROR_BILITIES_HIT_PCT	Precisión porcentual
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Voluntad de SungMa (RES) en %
PET_EGG_REMOVE_ANSWER_1	Confirmar
PET_EGG_REMOVE_ANSWER_2	Cancelar
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	¿Quieres retirar el %s seleccionado?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Si retiras el huevo, no podrás volver a obtenerlo.
PET_EMPTY_SKILL_SLOT_USE_ITEM	La mascota no tiene habilidades que restablecer.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Tu mascota ha adquirido una habilidad potencial (%s).
PET_HATCHING_ACCEPT	¿Quieres llamar a tu mascota "%s"?
PET_HATCHING_MONEY	Precio: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	No puedes interaccionar mientras la Incubadora se encuentre abierta.
PET_INFORMATION_STAGE1	Joven
PET_INFORMATION_STAGE2	Salvaje
PET_INFORMATION_STAGE3	Valeroso
PET_INFORMATION_STAGE4	Heroico
PET_INFORMATION_STAGE5	Despertado
PET_INFORMATION_STAGE6	Poderoso
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f %%
PET_INFO_CONQUEROR_BUTTON	Campeón
PET_INFO_CONQUEROR_EXP	EXP de nivel de campeón actual: %s
PET_INFO_EXP	EXP actual: %s
PET_INFO_ITEM_EXP	EXP de objeto actual: %s
PET_INFO_NEXT_CONQUEROR_EXP	EXP de nivel de campeón restante: %s
PET_INFO_NEXT_EXP	EXP restante: %s
PET_INFO_NEXT_ITEM_EXP	EXP de objeto restante: %s
PET_INFO_NORMAL_BUTTON	Normal
PET_INFO_POTENTIAL_BUTTON	Potencial
PET_INFO_POTENTIAL_LEFT_TIME	Tiempo restante: %s
PET_INFO_POTENTIAL_SKILL	Habilidades potenciales
PET_INFO_SKILL_BUTTON	Habilidades de mascotas
PET_MSG_NOT_ENOUGH_MONEY	No tienes suficiente Yang.
PET_NAME_CHANGE_ACCEPT	¿Quieres cambiar el nombre de tu mascota a "%s"?
PET_NAME_MIN	El nombre introducido es demasiado corto.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	La habilidad de potencial "%s" está ahora activa.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	Primera casilla de habilidades potenciales desbloqueada
PET_OPEN_POTENTIAL_SKILL_SLOT_2	Segunda casilla de habilidades potenciales desbloqueada
PET_REGISTER_ANSWER_1	Confirmar
PET_REGISTER_ANSWER_2	Cancelar
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	¿Quieres seleccionar este huevo de mascota?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	Si seleccionas el huevo, se eliminará de tu inventario.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	Se ha retirado la habilidad potencial "%s".
PET_REVIVE_FAIL_EMPTY_PET_SLOT	No hay mascota para revivir.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	No tienes suficientes materiales.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Las habilidades ya están disponibles.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	La restauración de la(s) habilidad(es) de tu mascota es irreversible.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	¿Deseas continuar?
PET_SKILL_LEARN_FAIL_CONDITIONS	Tu mascota no tiene el nivel suficiente. Solamente las mascotas heroicas pueden aprender habilidades.
PET_SKILL_LEARN_QUESTION_DLG_MSG	¿Quieres comenzar el entrenamiento heroico de "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Tiempo de carga: %d s
PET_SKILL_TOOLTIP_DURATION	Duración: %d s
PET_SKILL_TOOLTIP_FEATHER	La mascota activa Camino pluma con una probabilidad de un %d %% durante %.1f segundos.\n Ataque %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Si tus HP disminuyen por debajo de 20%%, tienes un \n %d%% de probabilidad de aumentar tus HP en un %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Tu personaje tiene un %d%% de probabilidad de volverse invencible\n al disminuir tus HP por debajo de 10%%. \n Duración del efecto: %.1f s.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Elimina de inmediato todos los efectos de veneno, \n retardo o sangrado sobre tu personaje\n con una probabilidad de un %d%%.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	¿Siguiente fase del entrenamiento heroico?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Coste: %s
PET_TOOLTIP_CONQUEROR_BLOCK_PENETRATE_PCT	Penetración de bloqueo en %%: +%0.1f %% sobre el valor total
