ACCE_ABSORB_COST	Kombinationskosten: %d
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	Möchtest du die Ergebnisse ansehen, ohne die Essenz des Legionskommandanten zu verwenden?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	Möchtest du die Essenz des Legionskommandanten verwenden, um zusätzliche Belohnungen zu erhalten?\nSie geht nicht verloren, wenn deine Söldner den Einsatz nicht schaffen.
MERCENARY_POPUP_MISSION_REWARD_EXP	Du hast Champion-EXP gesammelt: %s
MERCENARY_POPUP_MISSION_REWARD_YANG	Du hast %s Yang erhalten.
MERCENARY_POPUP_MISSION_SUCCESS	Einsatz %s erfolgreich abgeschlossen!
MERCENARY_POPUP_MISSION_USE_ITEM	Du hast mit der Essenz des Legionskommandanten eine zusätzliche Belohnung erhalten.
MERCENARY_SKILL	Fertigkeiten: %s
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	Extra Championlevel-EXP
MERCENARY_SKILL_DECREASE_INJURY_PCT	Verringert Verletzungschance
MERCENARY_SKILL_DECREASE_TIME	Verringere die Einsatzdauer.
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Erhöhe die Erfolgschance.
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Riskanter Vorteil
MERCENARY_SKILL_UNIQUE	Einzigartig
MERCENARY_SPECIFICITY	Spezialisierung: %s
MERCENARY_SPECIFICITY_COLLECTOR	Sammler
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	Dein Söldner kann mit 50%% Wahrscheinlichkeit eine Spezialisierung erlangen, wenn er Level %d erreicht.
MERCENARY_SPECIFICITY_EXPLAIN_UP	Wenn du Level %d erreichst, kannst du mit 50%% Chance ein %s erhalten.
MERCENARY_SPECIFICITY_FIGHTER	Kämpfer
MERCENARY_SPECIFICITY_GRADE_LOWER	(leicht)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(mittel)
MERCENARY_SPECIFICITY_GRADE_UPPER	(hoch)
MERCENARY_SPECIFICITY_LUCKY	Glückspilz
MERCENARY_SPECIFICITY_NONE	Keine
MERCENARY_SPECIFICITY_RESCUE	Retter
MERCENARY_SPECIFICITY_SPY	Späher
MERCENARY_TOOLTIP_CLOSE	Schließen
MERCENARY_TOOLTIP_DISPATCH	Entsandt
MERCENARY_TOOLTIP_INJURE	Verletzung
MERCENARY_TOOLTIP_MANAGE	Söldner verwalten
MERCENARY_TOOLTIP_MISSION	Einsatzliste
MERCENARY_TOOLTIP_MISSION_COMPLETE	Abgeschlossen
MERCENARY_TOOLTIP_MISSION_DISPATCH	Entsandt
MERCENARY_TOOLTIP_MISSION_END	Beenden
MERCENARY_TOOLTIP_MISSION_GIVEUP	Abbruch
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_1	Dein Championlevel muss über %d sein, um das freizuschalten.
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_2	Je höher dein Level, desto besser sind auch die Belohnungen, die du aus Einsätzen erhalten kannst.
MERCENARY_TOOLTIP_MISSION_REFRESH	Einsatz wiederholen
MERCENARY_TOOLTIP_MISSION_WAIT	Verfügbar
MERCENARY_TOOLTIP_POSSIBLE_MERCENARY	Verfügbare Söldner
MERCENARY_UNDER_TREATMENT	Der Söldner wird geheilt. (Noch %02d Stunden %02d Minuten)
MERCENARY_UNIQUE_1	Erfolgschance + %.1f%%
MERCENARY_UNIQUE_2	Erfolgschance + %.1f%%
MESSAGE_CANNOT_USE_BEAD_ITEM	Diesen Gegenstand kannst du nicht verwenden.
MESSENGER_ADD_BLOCK_FRIEND	Hinzufügen
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_BLOCK	Blockiert
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s hat dich als Freund aufgenommen.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Annehmen?
MESSENGER_DO_YOU_DELETE	Löschen?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Möchtest du die Handynummer löschen?
MESSENGER_DO_YOU_MOVE	Möchtest du weiter?
MESSENGER_EMPTY_LIST	Leer
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Freunde
MESSENGER_GUILD	Gilde
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Gib die Bestätigungsnr. ein, die an dein Handy gesendet wurde.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Bestätigungsnr. eingeben
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Gib die Handynr. für den SMS-Versand ein.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Möchtest du die Nummer jetzt eingeben?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Handynummer eingeben
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Nachricht senden.
METIN_TEST	GM TEST
MINIGAMEUI_CALENDAR	Eventkalender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Willst du das hinzufügen?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Willst du diesen Gegenstand wirklich fallen lassen?
MINIGAME_FISH_EVENT_REWARD_MSG	Du hast %s erhalten.
MINIGAME_FISH_EVENT_USE_ACCEPT	Willst du das verwenden?
MINIMAP	Minikarte öffnen
MINIMAP_CANNOT_SEE	Minikarte kann nicht angezeigt werden.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Übersichtskarte kann nicht angezeigt werden.
MINIMAP_DEC_SCALE	Herauszoomen
MINIMAP_INC_SCALE	Heranzoomen
MINIMAP_OBSERVER_COUNT	%d Zuschauer
MINIMAP_OPEN_INGAMEEVENT	Events
MINIMAP_SHOW_AREAMAP	Übersichtskarte öffnen
MINI_GAME_BNW_DONATE_QUESTION1	Möchtest du spenden?
MINI_GAME_BNW_DONATE_QUESTION2	Eine Spende verbraucht 15 Sehermünzen.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Möchtest du das Spiel wirklich abbrechen?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Denk daran, dass du Belohnungen erhältst, wenn du gewinnst.
MINI_GAME_BNW_GAME_RESULT_DRAW	Gleichstand! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_GAME_RESULT_LOSE	Niederlage! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_GAME_RESULT_SCORE	Endstand: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Sieg! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Du hast nicht genügend Platz im Inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Du benötigst zum Spielen ein Tarotkartenset.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Du hast nicht genügend Yang, um das Spiel zu starten.
MINI_GAME_BNW_RESULT_DRAW1	Deine Zahl ist gleich groß.
MINI_GAME_BNW_RESULT_DRAW2	Gleichstand!
MINI_GAME_BNW_RESULT_LOSE1	Deine Zahl ist kleiner.
MINI_GAME_BNW_RESULT_LOSE2	Niederlage!
MINI_GAME_BNW_RESULT_WIN1	Deine Zahl ist größer.
MINI_GAME_BNW_RESULT_WIN2	Sieg!
MINI_GAME_BNW_START_QUESTION	Du benötigst zum Spielen 30.000 Yang und ein Tarotkartenset. Möchtest du am Wettstreit teilnehmen?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Setzt du mehrere %ss ein, erhältst du die gleiche Anzahl an Truhen als Gewinn.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximal %d Königsdecks als Einsatz möglich.
MINI_GAME_CATCHKING_HELP_MSG1	Schade! Der Wert deiner Karte ist niedriger.\nDu erhältst keine Punkte. Wähle ein neue Karte aus deinem Deck.
MINI_GAME_CATCHKING_HELP_MSG2	Gut gemacht! Die Karten haben den gleichen Wert.\n Dein Spielzug ist beendet. Wähle ein neue Karte aus deinem Deck.
MINI_GAME_CATCHKING_HELP_MSG3	Weiter so! Der Wert deiner Karte ist höher.\nDecke eine weitere Karte auf.
MINI_GAME_CATCHKING_HELP_MSG4	Eine [5] lag in Reichweite deiner aufgedeckten Karte.\nDu erhältst leider keine Punkte. Wähle nun deinen König [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Der König ist entkommen! Das Spiel ist nun beendet. \nHast du mindestens 10 Punkte erzielt, kannst du jetzt deinen Gewinn einlösen.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Du kannst keinen Gewinn einlösen.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Eine [5] ist in der Nähe.
MINI_GAME_CATCHKING_START_QUESTION	Für diese Runde wird dir abgezogen: %d Yang sowie %s: %d Stück\nMöchtest du jetzt spielen?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Kann folgende Karte fangen: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kann folgende Karten fangen: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kann folgende Karten fangen: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kann folgende Karten fangen: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kann folgende Karten fangen: [1], [2], [3], [4], [5].\nGrenzt eine weitere [5] an deiner aufgedeckten Karte an,\nwird der Spielzug beendet und du erhältst keine Punkte.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Kann folgende Karte fangen: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 oder mehr
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 ~ 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 ~ 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Du erhältst 10 Extrapunkte, wenn du alle Karten einer Reihe aufdeckst.
MINI_GAME_GIVEUP_QUESTION	Möchtest du das Spiel wirklich abbrechen? Du verzichtest damit auf eine Belohnung.
MINI_GAME_NOTICE_1	Klicke "Werfen", um den Startspieler zu ermitteln.
MINI_GAME_NOTICE_2	Yut-Stäbe werfen.
MINI_GAME_NOTICE_3	Computer wirft Yut-Stäbe, um den Startspieler zu ermitteln.
MINI_GAME_NOTICE_4	Computer hat den niedrigeren oder gleichwertigen Wurf und darf beginnen.
MINI_GAME_NOTICE_5	Du hast den niedrigeren Wurf und darfst beginnen.
MINI_GAME_NOTICE_6	Dein Wurf: %s. Ziehe %d Feld(er) vorwärts.
MINI_GAME_NOTICE_7	Dein Wurf: %s. Du musst 1 Feld zurück.
MINI_GAME_NOTICE_8	Wurf: %s
MINI_GAME_NOTICE_9	Der Computer ist am Zug.
MINI_GAME_NOTICE_10	Ha! Du hast den Computer rausgeworfen.
MINI_GAME_NOTICE_11	So ein Pech! Der Computer hat dich rausgeworfen.
MINI_GAME_NOTICE_12	Du hattest Yut oder Mo und darfst ein weiteres Mal werfen.
MINI_GAME_NOTICE_13	Das Spiel ist zu Ende. Hole deine Belohnung ab.
MINI_GAME_RUMI_DISCARD_QUESTION	Willst du diese Karte wirklich wegwerfen?
MINI_GAME_RUMI_EXIT_QUESTION	Möchtest du deine Spielrunde beenden und deinen Gewinn erhalten?\nDeine Punkte und übrigen Karten werden dann zurückgesetzt!
MINI_GAME_RUMI_START_QUESTION	Um mitspielen zu können, musst du eine Gebühr von %d Yang zahlen. Des Weiteren benötigst du %d Kartenset(s).\nWillst du das Spiel starten?
MINI_GAME_YUTNORI_COM_WIN	Mal verliert man und mal gewinnen die anderen.
MINI_GAME_YUTNORI_PC_WIN	So sehen Sieger aus, schalalalala!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Punktestand: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Werfen
MINI_GAME_YUTNORI_RETHROW_POPUP	Glückspilz! Du bist noch einmal an der Reihe.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Um Yutnori zu starten, benötigst du %d Yang und %d Yutnori-Spielbrett. \n Jetzt spielen?
MINUTE	Min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Item-Droprate +10%
MISTS_ISLAND_BUFF_MSG_03	Stärke, Intelligenz, Vitalität, Beweglichkeit +3
MISTS_ISLAND_BUFF_MSG_04	Yang-Droprate +10%
MISTS_ISLAND_BUFF_MSG_05	Kostümboni um 3% erhöht
MISTS_ISLAND_INFO_01	Dein Level ist zu niedrig.
MISTS_ISLAND_INFO_02	Nicht genügend Yang.
MISTS_ISLAND_INFO_03	Momentan findet keine Schlacht statt.
MISTS_ISLAND_MSG_01	%s wurde von %s zerstört!
MISTS_ISLAND_MSG_02	%s hat %s erobert!
MISTS_ISLAND_MSG_03	%s hat %s besetzt!
MISTS_ISLAND_MSG_04	%s greift %s an!
MISTS_ISLAND_MSG_05	%s hat den %s erfolgreich auf Level %d verstärkt!
MISTS_ISLAND_MSG_06	%s ist auf dem Schlachtfeld erschienen!
MISTS_ISLAND_QUESTION_01	Möchtest du die Schlacht der fünf Schreine verlassen?
MISTS_ISLAND_QUESTION_02	Möchtest du zum kürzlich angegriffenen Schrein teleportieren? \n Kosten: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Besetzendes Reich: %s
MISTS_ISLAND_TOOLTIP_03	Verbesserungslevel: +%d
MISTS_ISLAND_TOOLTIP_04	Besetzungs-Buff: %s
MISTS_ISLAND_TOOLTIP_05	Eroberung der Schreine
MISTS_ISLAND_TOOLTIP_06	1. Um einen Schrein einzunehmen, muss er zunächst zerstört werden.
MISTS_ISLAND_TOOLTIP_07	2. Das Reich, das nach 1 Minute die meisten Mitglieder in der Nähe hat, erobert den Schrein.
MISTS_ISLAND_TOOLTIP_08	3. Nach 3 Minuten erscheint der Schrein in der Farbe des Reiches, das ihn erobert hat.
MISTS_ISLAND_TOOLTIP_09	4. Je länger ein Schrein unter der Kontrolle desselben Reiches steht, desto schwieriger lässt er sich zerstören.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zehntausend
MONETARY_UNIT2	hundert Millionen
MONEY_INPUT_DIALOG_SELLPRICE	Verkaufspreis:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	Nykos wird gleich erscheinen.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Dieses Item ist bereits ausgewählt.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Auf einem Reittier kannst du das nicht tun.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Du kannst dein Pferdelevel erhöhen, sobald du Championlevel erreicht hast.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Du benötigst %d Pferdefutter und %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Möchtest du versuchen, das Level deines Pferdes auf %d zu erhöhen?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Um das Level deines Pferdes zu erhöhen, benötigst du %d Pferdefutter, %d Gaya und %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Du besitzt nicht genügend Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Erhöhung des Pferdelevels fehlgeschlagen
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Das Pferdelevel wurde auf %d erhöht.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Du besitzt nicht genügend Yang oder Pferdefutter.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Nächstes Level: %d (Maximal %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Abbrechen
MOVE_CHANNEL_NOTICE	Du bist verbunden mit Channel %d.
MOVE_CHANNEL_NOT_MOVE	Du kannst deinen Channel nicht wechseln.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Channel-Auswahl
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verschieben, solange du einen privaten Laden geöffnet hast.
MUSIC_EMPTY_MUSIC_LIST	Keine Hintergrundmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Keine Musikdatei ausgewählt.
NEEFD_REST	Du musst erst ausruhen.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	Du kannst keine Plätze hinzufügen, solange du das Item ausgerüstet hast.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	Diesem Item kannst du keine Plätze hinzufügen.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	Du kannst keine weiteren Plätze hinzufügen.
NOT_YET_SUPPORT	Wird nicht unterstützt.
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Diese Karte ist nicht verfügbar.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Du kannst nicht die ganze Karte einsehen.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Vervollständige zuerst: %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Du kannst dich nur direkt zu einem Charakter (kein Spieler) teleportieren, wenn du dich auf der gleichen Karte aufhältst.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	Die ausgewählte Karte ist für dein momentanes Level nicht verfügbar.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Du kannst dich in %d Minuten erneut teleportieren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Du kannst dich in unter 1 Minute erneut teleportieren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Du kannst dich nicht teleportieren, während du tot bist.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Du kannst dich nicht zu einem Charakter teleportieren, der sich in einem anderen Reich befindet.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Du hast nicht genügend %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Zu diesem Charakter kannst du dich nicht teleportieren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Du kannst dich nicht zu einer Instanz teleportieren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Du hast nicht genügend %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	Die ausgewählte Karte ist für dein momentanes Level nicht verfügbar.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Du kannst dich nicht teleportieren, während du reitest.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Du musst Championlevel 1 erreicht haben, um dich teleportieren zu können.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Von dort, wo du dich gerade aufhältst, kannst du dich nicht teleportieren.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Du hast nicht genügend Teleportationssteine.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Du kannst dich nicht teleportieren, während du andere Menüs geöffnet hast.
NPC_LOCATION_HELPER_MAP_LOCKED	Nicht verfügbar
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Du verfügst bereits über diese Karte.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Du musst den Charakterfinder aktiviert haben.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Hier kann der Charakterfinder nicht verwendet werden.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Die Karte kann in diesem Gebiet nicht umgeschaltet werden.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Du musst den Charakterfinder aktiviert haben.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Du musst den Charakterfinder aktiviert haben.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Du kannst dich gerade nicht teleportieren.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Bitte versuche es erneut.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Hier ist keine Karte verfügbar.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	Die %s wurde vervollständigt. Jetzt kannst du alle Funktionen der %s nutzen.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Das Gebiet dieses Monsters wird dir bereits angezeigt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Du kannst dir nicht das genaue Gebiet eines Monsters anzeigen lassen, das nur auf einer anderen Karte vorkommt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	Das Gebiet des ausgewählten Monsters ist unbekannt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Zur Zeit nicht verfügbar) Du hast nicht den benötigten Gegenstand, um nachzusehen, wo dieses Monster vorkommt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Zur Zeit nicht verfügbar) Wähle ein Monster aus, von dem du wissen möchtest, wo es vorkommt.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	Das Gebiet, in dem %s vorkommt, wird dir auf der Karte angezeigt.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Du hast nicht genügend Teleportationssteine.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	Dein ausgewählter Charakter befindet sich in der Nähe.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Wähle die Region aus.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Du kannst das nicht mehr verwenden.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Drachensteinalchemie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Kombination
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Herstellung
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Dungeoneingang
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Ausrüstungshändler
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Event
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Angelbedarf
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Konsumgüter
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Gildenland
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Lehrer
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Post
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Bergbau
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Reittiere
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Sonstige Charaktere
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portale
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Verbesserung
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleport
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Lagerverwalter
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Möchtest du den Charakterfinder aktivieren?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	oder
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Möchtest du %d Teleportsteine/Teleportsteine+ verwenden, um dich nach %s zu teleportieren?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Zum Teleport benötigt:
OKEY_EVENT_MESSAGE_CARD_GAIN	Du erhältst Okey-Kartenset(s).
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Du erhältst Okey-Karten.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Du kannst nicht Okey spielen, solange du ein anderes Fenster geöffnet hast.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Du musst mindestens Level 70 erreicht haben, um teilnehmen zu können.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Du hast nicht genügend Gegenstände oder Geld um zu spielen.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Du kannst keine weiteren Okey-Kartensets erhalten.
OPEN_THE_SPECIAL_ACTION_KIT	%s wurde den Emotionen hinzugefügt.
OPTION_ESCAPE_BUTTON_COOLTIME	Bitte versuche es später erneut.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Du kannst dich gerade nicht befreien. Bitte versuche es später erneut.
OPTION_ESCAPE_FAR_DISTANCE	Du kannst dich nicht befreien, da du dich mehr als 10 Meter bewegt hast.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Du hast dich nicht befreit.
OPTION_ESCAPE_QUESTION_MESSAGE	Du wirst entweder zu einem freien Ort oder ins Dorf teleportiert.\n Möchtest du deinen Charakter befreien?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Verwende diese Option, falls du feststecken solltest.
OPTION_ESCAPE_WAIT_MESSAGE	Du wirst in %d Sekunden befreit.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kannst den Gildenmodus nicht aktivieren, wenn du keiner Gilde angehörst.
OPTION_PVPMODE_NOT_SUPPORT	Du kannst die Konfiguration des PvP-Modus nicht verwenden.
OPTION_PVPMODE_PROTECT	Du musst mindestens Level %d erreicht haben, um den PvP-Modus zu ändern.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Möchtest du den Kampf verlassen?
OTHER_WORLD_EXCHANGE_COOLTIME	Bitte versuche es später erneut.
OTHER_WORLD_EXCHANGE_FAIL	Du hast leider nichts vom Tausch erhalten.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Du kannst nicht mehr als die maximale Anzahl von Gegenständen verwenden.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Totenflammen-Austausch
OTHER_WORLD_GET_DEAD_SOUL	Du hast %d x Totenseele erhalten.
OTHER_WORLD_GET_HELL_GATE_KEY	Du hast %d x Asmodeus-Schlüssel erhalten.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Du hast %d x schwarzer Brief erhalten.
OTHER_WORLD_GET_REINCARNATION_WATER	Du hast %d x Wasser des Lebens erhalten.
