ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
MINI_GAME_CATCHKING_HELP_MSG3	ÇÓÊãÑ! ŞíãÉ ÈØÇŞÊß ÃÚáì. \nŞã ÈÇáßÔİ Úä ÈØÇŞÉ ÃÎÑì.
MINI_GAME_CATCHKING_HELP_MSG4	íæÌÏ [5] İí ãÏì ÇáÈØÇŞÉ ÇáãŞáæÈÉ. ááÃÓİ áä ÊÍÕá Úáì Ãí äŞÇØ.\n ÅÎÊÑ Çáãáß [K] ÇáÂä.
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	áŞÏ Êãßä Çáãáß ãä ÇáİÑÇÑ! áŞÏ ÅäÊåÊ ÇááÚÈÉ. İí ÍÇá ÍÕæáß\n Úáì 10 äŞÇØ Úáì ÇáÃŞá íãßäß ÇáÂä ÅÓÊÈÏÇáåÇ ÈÌæÇÆÒ.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	áÇ íãßäß ÇáÍÕæá Úáì Ãí ÌæÇÆÒ.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	íæÌÏ [5] İí ÇáãÏì ÇáŞÑíÈ.
MINI_GAME_CATCHKING_START_QUESTION	íÌÈ Úáíß ÏİÚ ÇáÊÇáí ááÚÈ: %d íÇäÛ æ%s:%d ŞØÚÉ\nåá ÊÑíÏ ÇááÚÈ ÇáÂä¿
MINI_GAME_CATCHKING_TOOLTIP_CARD1	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÉ ÇáÊÇáíÉ: 1
MINI_GAME_CATCHKING_TOOLTIP_CARD2	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÇÊ ÇáÊÇáíÉ: 1¡ 2
MINI_GAME_CATCHKING_TOOLTIP_CARD3	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÇÊ ÇáÊÇáíÉ: 1¡ 2¡ 3
MINI_GAME_CATCHKING_TOOLTIP_CARD4	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÇÊ ÇáÊÇáíÉ: 1¡ 2¡ 3¡ 4
MINI_GAME_CATCHKING_TOOLTIP_CARD5	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÇÊ ÇáÊÇáíÉ: 1¡ 2¡ 3¡ 4¡ 5\nİí ÍÇá æÌæÏ [5] ÃÎÑì İí ÇáãÏì ÇáŞÑíÈ ááÈØÇŞÉ ÇáÊí ÊŞæã ÈßÔİåÇ¡\nÓÊäÊåí ÇáÌæáÉ ÇáÎÇÕÉ Èß æáä ÊÍÕá Úáì Ãí äŞÇØ.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	íãßäåÇ ÇÍÊÌÇÒ ÇáÈØÇŞÉ ÇáÊÇáíÉ: K
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 äŞØÉ Ãæ ÃßËÑ
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549 äŞØÉ
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399 äŞØÉ
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	ÓÊÍÕá Úáì 10 äŞÇØ ÅÖÇİíÉ ÚäÏ ßÔİß Úä ÌãíÚ ÇáÈØÇŞÇÊ İí äİÓ ÇáÌæáÉ.
MINI_GAME_GIVEUP_QUESTION	åá ÃäÊ ãÊÃßÏ ãä Ãäß ÊÑíÏ ÅáÛÇÁ ÇááÚÈÉ¿ ÓÊÊÎáì Úä ãßÇİÆÊß.
MINI_GAME_NOTICE_1	ÃäŞÑ "Ñãí" áãÚÑİÉ ÇááÇÚÈ ÇáĞí ÓíÈÏÃ.
MINI_GAME_NOTICE_2	Ñãí ÚÕí íæÊ.
MINI_GAME_NOTICE_3	áŞÏ ŞÇã ÇáÍÇÓæÈ ÈÑãí ÚÕí íæÊ áãÚÑİÉ ÇááÇÚÈ ÇáĞí ÓíÈÏÃ.
MINI_GAME_NOTICE_4	áŞÏ ÍÕá ÇáÍÇÓæÈ Úáì ÇáÑŞã ÇáÃŞá æåæ ãä ÓíÈÏÃ.
MINI_GAME_NOTICE_5	ÈŞÏ ÍÕáÊ Úáì ÇáÑŞã ÇáÃŞá æÃäÊ ãä ÓíÈÏÃ.
MINI_GAME_NOTICE_6	ÑãíÊß: %s. ÊÍÑß %d ÎÇäÉ/ÎÇäÇÊ Åáì ÇáÃãÇã.
MINI_GAME_NOTICE_7	ÑãíÊß: %s. Úáíß ÇáÚæÏÉ ÎÇäÉ æÇÍÏÉ.
MINI_GAME_NOTICE_8	ÑãíÉ: %s
MINI_GAME_NOTICE_9	áÇÚÈ ÇáÍÇÓæÈ íÊÍÑß ÇáÂä.
MINI_GAME_NOTICE_10	åÇ! áŞÏ ÊÛáÈÊ Úáì ÇáÍÇÓæÈ.
MINI_GAME_NOTICE_11	íÇ áÓæÁ ÇáÍÙ! áŞÏ ÊÛáÈ Úáíß ÇáÍÇÓæÈ.
MINI_GAME_NOTICE_12	áŞÏ ÍÕáÊ Úáì íæÊ Ãæ ãæ æíãßäß ÇáÑãí ãä ÌÏíÏ.
MINI_GAME_NOTICE_13	áŞÏ ÅäÊåÊ ÇááÚÈÉ ÃÍÕá Úáì ãßÇİÆÊß.
MINI_GAME_RUMI_DISCARD_QUESTION	åá ÊÑíÏ ÍŞøÇ ÍĞİ åĞå ÇáæÑŞÉ¿
MINI_GAME_RUMI_EXIT_QUESTION	åá ÊÑÛÈ İí ÅäåÇÁ ÌæáÊß æÇáÍÕæá Úáì ÌÇÆÒÊß¿\nÓíÊã ÈĞáß ÊÕİíÑ äŞÇØß æãÇ ÅáÛÇÁ ãÇ ÊÈŞì ãä æÑŞß!
MINI_GAME_RUMI_START_QUESTION	Úáíß ááãÔÇÑßÉ İí ÇááÚÈ ÏİÚ ÑÓæã ÈŞíãÉ %d íÇäÛ. ßãÇ Ãäß ÓÊÍÊÇÌ áÜ %d ØŞã/ØŞæã æÑŞ.\nåá ÊÑíÏ ÈÏÃ ÇááÚÈ¿
MINI_GAME_YUTNORI_COM_WIN	ãÑøÉ íäåÒã İíåÇ ÇáãÑÁ æãÑøÉ íİæÒ ÇáÂÎÑæä.
MINI_GAME_YUTNORI_PC_WIN	æÅáì ÇáãäÊÕÑ ÊĞåÈ ÇáÛäÇÆã.
MINI_GAME_YUTNORI_PC_WIN_SCORE	ÇáäÊíÌÉ: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Ñãí
MINI_GAME_YUTNORI_RETHROW_POPUP	ãÍÙæÙ! Åäå ÏæÑß ãÌÏÏÇ.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	áÊÈÏÃ íæÊäæÑí¡ ÊÍÊÇÌ Åáì %d íÇäÛ æÅáì %d áæÍÉ áÚÈ íæÊäæÑí. \n ÇáÚÈ ÇáÂä¿
MINUTE	Ï
MISTS_ISLAND_BUFF_MSG_01	ØÇŞÉ +2
MISTS_ISLAND_BUFF_MSG_02	ãÚÏá ÅÓŞÇØ ÇáÈäæÏ +10%
MISTS_ISLAND_BUFF_MSG_03	ŞæÉ¡ ĞßÇÁ¡ ÍíæíÉ¡ ãäÇæÑÉ +3
MISTS_ISLAND_BUFF_MSG_04	ãÚÏá ÅÓŞÇØ ÇáíÇäÛ +10%
MISTS_ISLAND_BUFF_MSG_05	ÒíÇÏÉ ÚáÇæÇÊ ÇáÃÒíÇÁ ÈäÓÈÉ 3%
MISTS_ISLAND_INFO_01	ãÓÊæÇß ãÇ ÒÇá ÖÚíİğÇ.
MISTS_ISLAND_INFO_02	áíÓ áÏíß íÇäÛ ßÇİò.
MISTS_ISLAND_INFO_03	áÇ ÊæÌÏ ãÚÑßÉ ÍÇáíÉ.
MISTS_ISLAND_MSG_01	áŞÏ Êã ÊÏãíÑ %s ÈæÇÓØÉ %s!
MISTS_ISLAND_MSG_02	ŞÇã %s ÈÛÒæ %s!
MISTS_ISLAND_MSG_03	áŞÏ ŞÇã %s ÈÅÍÊáÇá %s!
MISTS_ISLAND_MSG_04	áŞÏ ÍÕá %s Úáì %s!
MISTS_ISLAND_MSG_05	áŞÏ ŞÇã %s ÈÊØæíÑ %s Åáì ÇáãÓÊæì %d ÈäÌÇÍ!
MISTS_ISLAND_MSG_06	áŞÏ ÙåÑ %s İí ÓÇÍÉ ÇáãÚÑßÉ!
MISTS_ISLAND_QUESTION_01	åá ÊÑíÏ Ãä ÊÛÇÏÑ ãÚÑßÉ ÇáÃÖÑÍÉ ÇáÎãÓÉ¿
MISTS_ISLAND_QUESTION_02	åá ÊÑÛÈ ÈÇáÅäÊŞÇá İæÑÇ Åáì ÇáÖÑíÍ ÇáĞí ÊÚÑÖ ááåÌæã ãÄÎÑğÇ¿ \n ÇáÓÚÑ: %s íÇäÛ
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	ÅÍÊáÇá ÇáÅãÈÑÇØæÑíÉ: %s
MISTS_ISLAND_TOOLTIP_03	ãÓÊæì ÇáÊÍÓíä: +%d
MISTS_ISLAND_TOOLTIP_04	ÚáÇæÉ ÇáÅÍÊáÇá: %s
MISTS_ISLAND_TOOLTIP_05	ÛÒæ ÇáÃÖÑÍÉ
MISTS_ISLAND_TOOLTIP_06	1. ááÓíØÑÉ Úáì ÖÑíÍ¡ íÌÈ ÃæáÇ Ãä íÊã ÊÏãíÑå.
MISTS_ISLAND_TOOLTIP_07	2. ÇáããáßÉ ÇáÊí áÏíåÇ ÃßÈÑ ÚÏÏ ãä ÇáãŞÇÊáíä İí ãßÇä ŞÑíÈ ÈÚÏ ÏŞíŞÉ æÇÍÏÉ¡ ÓÊÍÊá ÇáÖÑíÍ.
MISTS_ISLAND_TOOLTIP_08	3. ÈÚÏ 3 ÏŞÇÆŞ¡ íÙåÑ ÇáÖÑíÍ Èáæä ÇáÅãÈÑÇØæÑíÉ ÇáÊí ŞÇãÊ ÈÛÒæå.
MISTS_ISLAND_TOOLTIP_09	4. ßáãÇ ÒÇÏÊ ãÏÉ ÓíØÑÊ ÇáÅãÈÑÇØæÑíÉ äİÓåÇ Úáì ÇáÖÑíÍ¡ ßáãÇ ßÇä ãä ÇáÕÚÈ Úáì ÇáÖÑíÍ ÊÏãíÑ äİÓå.
MONETARY_UNIT0	íÇäÛ
MONETARY_UNIT1	ÚÔÑÉ Ãáİ
MONETARY_UNIT2	ãÆÉ ãáíæä
MONEY_INPUT_DIALOG_SELLPRICE	ÓÚÑ ÇáÈíÚ:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	ÓíÙåÑ äíßæÓ ŞÑíÈÇ.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Êã ÊÍÏíÏ åĞÇ ÇáÈäÏ ÈÇáİÚá.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	áÇ íãßäß ÇáŞíÇã ÈåĞÇ ãä İæŞ ÏÇÈÉ.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	íãßäß ÒíÇÏÉ ãÓÊæì ÍÕÇäß ÈãÌÑÏ æÕæáß Åáì ãÓÊæì ÇáÈØá.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	ÊÍÊÇÌ Åáì %d Úáİ ÇáÍÕÇä æ %d íÇäÛ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	åá ÊÑíÏ ãÍÇæáÉ ÑİÚ ãÓÊæì ÍÕÇäß Åáì %d¿
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	áÑİÚ ãÓÊæì ÇáÍÕÇä ÇáÎÇÕ Èß ÊÍÊÇÌ Åáì %d Úáİ ÇáÍÕÇä¡ %d ÛÇíÇ æ %d íÇäÛ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	áíÓ áÏíß ãÇ íßİí ãä ÇáÛÇíÇ.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	İÔá İí ÑİÚ ãÓÊæì ÇáÍÕÇä
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Êã ÑİÚ ãÓÊæì ÇáÍÕÇä Åáì %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	áíÓ áÏíß ãÇ íßİí ãä Úáİ ÇáÍÕÇä Ãæ ÇáíÇäÛ.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	ÇáãÓÊæì ÇáÊÇáí: %d (ÇáÃŞÕì %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	ÅáÛÇÁ
MOVE_CHANNEL_NOTICE	ÃäÊ ãÊÕáğÇ ÈÇáŞäÇÉ %d.
MOVE_CHANNEL_NOT_MOVE	áÇ íãßäß ÊÛííÑ ŞäÇÊß.
MOVE_CHANNEL_SELECT	ãæÇİŞ
MOVE_CHANNEL_TITLE	ÇÎÊíÇÑ ÇáŞäÇÉ
MOVE_ITEM_FAILURE_PRIVATE_SHOP	áÇ íãßäß ÊÛííÑ ãßÇä Ãí ÔíÁ¡ ØÇáãÇ Ãäß Êãáß ãÊÌÑÇğ ÔÎÕíÇğ.
MUSIC_EMPTY_MUSIC_LIST	ÈÏæä ãæÓíŞì ãÑÇİŞÉ.
MUSIC_METIN2_DEFAULT_THEMA	ãæÓíŞì Metin2
MUSIC_NOT_SELECT_MUSIC	áã íÊã ÇÎÊíÇÑ ãáİ ãæÓíŞí.
NEEFD_REST	Úáíß ÃæáÇğ ÇáÇÓÊÑÇÍÉ.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	áÇ íãßäß ÅÖÇİÉ İÊÍÇÊ ÃËäÇÁ ÊÌåíÒ ÇáÈäÏ.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	áÇ íãßäß ÅÖÇİÉ İÊÍÇÊ áåĞÇ ÇáÈäÏ.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	áÇ íãßäß ÅÖÇİÉ Ãí İÊÍÇÊ ÃÎÑì.
NOT_YET_SUPPORT	áÇ íÊã ÏÚãå.
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	åĞå ÇáÎÑíØÉ ÛíÑ ãõÊÇÍÉ.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	áÇ íãßäß ÑÄíÉ ÇáÎÑíØÉ ÈÃßãáåÇ.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	ÃßãáåÇ ÃæáÇ: %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	áÇ íãßäß ÇáÇäÊŞÇá ãÈÇÔÑÉğ Åáì ÔÎÕíÉ ãÇ (æáíÓ áÇÚÈğÇ) ÅáÇ ÅĞÇ ßäÊ Úáì äİÓ ÇáÎÑíØÉ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	ÇáÎÑíØÉ ÇáãÍÏÏÉ ÛíÑ ãÊÇÍÉ áãÓÊæÇß ÇáÍÇáí.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	íãßäß ÇáÇäÊŞÇá İæÑíğÇ ãÑÉ ÃÎÑì ÎáÇá %d ÏŞíŞÉ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	íãßäß ÇáÇäÊŞÇá İæÑíÇ ãÑÉ ÃÎÑì İí ÃŞá ãä ÏŞíŞÉ æÇÍÏÉ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	áÇ íãßäß ÇáÇäÊŞÇá ÇáİæÑí æÃäÊ ãíÊ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	áÇ íãßäß ÇáÇäÊŞÇá İæÑíğÇ Åáì ÔÎÕíÉ ãæÌæÏÉ İí ÇãÈÑÇØæÑíÉ ÇÎÑì.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	áíÓ áÏíß ãÇíßİí ãä %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	áÇ íãßäß ÇáÇäÊŞÇá İæÑíğÇ Åáì åĞå ÇáÔÎÕíÉ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	áÇ íãßäß ÇáäŞá ÇáİæÑí Åáì ÈÑÌ ãÍÕä.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	áíÓ áÏíß ãÇíßİí ãä %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	ÇáÎÑíØÉ ÇáãÍÏÏÉ ÛíÑ ãÊÇÍÉ áãÓÊæÇß ÇáÍÇáí.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	áÇ íãßäß ÇáÇäÊŞÇá ÇáİæÑí ÇËäÇÁ ÇáÑßæÈ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	íÌÈ Ãä Êßæä İí ãÓÊæì ÇáÈØá 1 áÊÊãßä ãä ÇáäŞá İæÑíğÇ.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	áÇ íãßäß ÇáÇäÊŞÇá ÇáİæÑí ãä ãßÇä æÌæÏß.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	áíÓ áÏíß ãÇ íßİí ãä ÃÍÌÇÑ ÇáäŞá ÇáİæÑí.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	áÇ íãßäß ÇáäŞá İæÑíğÇ ÃËäÇÁ İÊÍ ŞæÇÆã ÃÎÑì.
NPC_LOCATION_HELPER_MAP_LOCKED	ÛíÑ ãõÊÇÍ
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	áÏíß åĞå ÇáÎÑíØÉ ÈÇáİÚá.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	íÌÈ Ãä íßæä ãßÊÔİ ÇáÔÎÕíÇÊ áÏíß ãİÚáÇğ.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	áÇ íãßä ÇÓÊÎÏÇã ãßÊÔİ ÇáÔÎÕíÇÊ åäÇ.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	áÇ íãßä ÊÈÏíá ÇáÎÑíØÉ İí åĞå ÇáãäØŞÉ.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	íÌÈ Ãä íßæä ãßÊÔİ ÇáÔÎÕíÇÊ áÏíß ãİÚáÇğ.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	íÌÈ Ãä íßæä ãßÊÔİ ÇáÔÎÕíÇÊ áÏíß ãİÚáÇğ.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	áÇ íãßäß äŞá äİÓß ÇáÂä.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	ÇáÑÌÇÁ ÇáãÍÇæáÉ ãÌÏÏğÇ.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	áÇ ÊæÌÏ ÎÑíØÉ ãÊÇÍÉ åäÇ.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	%s ÇßÊãáÊ. ÇáÂä íãßäß ÇÓÊÎÏÇã ÌãíÚ æÙÇÆİ %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	áŞÏ Êã ÚÑÖ ãäØŞÉ åĞÇ ÇáæÍÔ áß ÈÇáİÚá.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	áÇ íãßäß ÚÑÖ ÇáãäØŞÉ ÇáãÍÏÏÉ ááæÍÔ ÇáĞí íÙåÑ İŞØ Úáì ÎÑíØÉ ÃÎÑì.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	ãäØŞÉ ÇáæÍÔ ÇáãÍÏÏ ÛíÑ ãÚÑæİÉ.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(ÛíÑ ãõÊÇÍ ÍÇáíğÇ) áíÓ áÏíß ÇáÈäÏ ÇáãØáæÈ áãÚÑİÉ ãßÇä æÌæÏ åĞÇ ÇáæÍÔ.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(ÛíÑ ãõÊÇÍ ÍÇáíğÇ)ÍÏÏ ÇáæÍÔ ÇáĞí ÊÑÛÈ İí ãÚÑİÉ ãßÇä æÌæÏå.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	ÇáãäØŞÉ ÇáÊí íÊæÇÌÏ İíåÇ %s ãæÖÍÉ Úáì ÇáÎÑíØÉ.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	áíÓ áÏíß ãÇ íßİí ãä ÃÍÌÇÑ ÇáäŞá ÇáİæÑí.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	ÇáÔÎÕíÉ ÇáãÎÊÇÑÉ ŞÑíÈÉ.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	ÍÏÏ ÇáãäØŞÉ.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	áÇ íãßäß ÇÓÊÚãÇá åĞÇ ÇáÔíÁ ÈÚÏ ÇáÂä.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	ßíãíÇÁ ÍÌÑ ÇáÊäíä
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	ãÒÌ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	ÕäÇÚÉ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	ãÏÎá ÇáÈÑÌ ÇáãÍÕä
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	ÊÌÇÑ ÇáÚÊÇÏ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	ÇÍÊİÇáíÉ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	ÇÏæÇÊ ÕíÏ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	ÛÇíÇ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	ãæÇÏ ÇÓÊåáÇßíÉ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	ÃÑÖ ÇáÑÇÈØÉ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	ÇáãÚáã
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	ÈÑíÏ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	ÇáÊÚÏíä
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	ÏæÇÈ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	ÔÎÕíÇÊ ÃÎÑì
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	ÈæøÇÈÉ
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	ÊÍÓíä
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	ÇäÊŞÇá
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Ããíä ÇáãÓÊæÏÚ
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	åá ÊÑíÏ ÊİÚíá ãßÊÔİ ÇáÔÎÕíÇÊ¿
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	Ãæ
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d íÇäÛ
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	åá ÊÑíÏ ÇÓÊÎÏÇã %d ÍÌÑ ÇáäŞá/ÍÌÑ ÇáäŞá+ ááÇäÊŞÇá İæÑíğÇ Åáì %s¿
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	ÇáãØáæÈ ááäŞá ÇáİæÑí:
OKEY_EVENT_MESSAGE_CARD_GAIN	ÍÕáÊ Úáì ãÌãæÚÉ (ãÌãæÚÇÊ) ÈØÇŞÉ Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	ÍÕáÊ Úáì ÈØÇŞÇÊ Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	áÇ íãßäß áÚÈ Okey ÚäÏãÇ íßæä áÏíß äÇİĞÉ ÃÎÑì ãİÊæÍÉ.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	íÌÈ Ãä íßæä ãÓÊæÇß 70 Úáì ÇáÃŞá ááãÔÇÑßÉ.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	áíÓ áÏíß ãÇ íßİí ãä ÇáÈäæÏ Ãæ ÇáãÇá ááÚÈ.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	áÇ íãßäß ÇÓÊáÇã ÇáãÒíÏ ãä ãÌãæÚÇÊ Okey.
OPEN_THE_SPECIAL_ACTION_KIT	Êã ÅÖÇİÉ %s Åáì ÇáÚÇØİÉ.
OPTION_ESCAPE_BUTTON_COOLTIME	ÇáÑÌÇÁ ÅÚÇÏÉ ÇáãÍÇæáÉ áÇÍŞğÇ.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	áÇ íãßäß ÊÍÑíÑ äİÓß ÇáÂä. ÇáÑÌÇÁ ÅÚÇÏÉ ÇáãÍÇæáÉ áÇÍŞğÇ.
OPTION_ESCAPE_FAR_DISTANCE	áÇ íãßäß ÊÍÑíÑ äİÓß áÃäß ÊÍÑßÊ ÃßËÑ ãä 10 ÃãÊÇÑ.
OPTION_ESCAPE_QUESTION_ANSWER_NO	ÃäÊ áã ÊÍÑÑ äİÓß.
OPTION_ESCAPE_QUESTION_MESSAGE	ÓíÊã äŞáß ÅãÇ Åáì ãßÇä İÇÑÛ Ãæ Åáì ÇáŞÑíÉ.\n åá ÊÑíÏ ÊÍÑíÑ ÔÎÕíÊß¿
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	ÇÓÊÎÏã åĞÇ ÇáÎíÇÑ ÅĞÇ æÇÌåÊß ãÔßáÉ.
OPTION_ESCAPE_WAIT_MESSAGE	ÓíÊã ÅØáÇŞ ÓÑÇÍß İí ÛÖæä %d ËÇäíÉ.
