ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	Ş
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Èİëåéò íá ÷ñçóéìïğïéŞóåéò %d Ëßèïõò ôçëåìåôáöïñÜò/Ëßèïõò ôçëåìåôáöïñÜò+, ãéá íá ôçëåìåôáöåñèåßò óôçí ôïğïèåóßá %s;
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Ãéá ôçí ÔçëåìåôáöïñÜ áğáéôåßôáé:
OKEY_EVENT_MESSAGE_CARD_GAIN	ÁğïêôÜò Óåô Êáñôşí Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	ÁğïêôÜò ÊÜñôåò Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Äåí ìğïñåßò íá ğáßîåéò Okey üóï åßíáé áíïé÷ôü İíá Üëëï ğáñÜèõñï.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Ğñİğåé íá İ÷åéò öôÜóåé ôïõëÜ÷éóôïí óôï åğßğåäï 70, ãéá íá ğÜñåéò ìİñïò.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Äåí İ÷åéò áñêåôÜ áíôéêåßìåíá Ş ÷ñŞìáôá, ãéá íá ğáßîåéò.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Äåí ìğïñåßò íá áğïêôŞóåéò Üëëá Óåô Êáñôşí Okey.
OPEN_THE_SPECIAL_ACTION_KIT	Ôï %s ğñïóôİèçêå óôá óõíáéóèŞìáôá.
OPTION_ESCAPE_BUTTON_COOLTIME	Ğáñáêáëïıìå, äïêßìáóå îáíÜ áñãüôåñá.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Äåí ìğïñåßò íá åëåõèåñùèåßò áõôŞí ôç óôéãìŞ. Ğáñáêáëïıìå, äïêßìáóå îáíÜ áñãüôåñá.
OPTION_ESCAPE_FAR_DISTANCE	Äåí ìğïñåßò íá åëåõèåñùèåßò, åğåéäŞ êéíŞèçêåò ğÜíù áğü 10 ìİôñá.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Äåí åëåõèåñşèçêåò.
OPTION_ESCAPE_QUESTION_MESSAGE	Èá ôçëåìåôáöåñèåßò óå İíá åëåıèåñï óçìåßï Ş óôï ÷ùñéü.\n Èİëåéò íá åëåõèåñşóåéò ôï ÷áñáêôŞñá óïõ;
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	×ñçóéìïğïßçóå áõôŞí ôçí åğéëïãŞ, áí êïëëŞóåéò.
OPTION_ESCAPE_WAIT_MESSAGE	Èá åëåõèåñùèåßò óå %d äåõô.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Äåí ìğïñåßò íá åíåñãïğïéŞóåéò Mode Óõíôå÷íßáò üôáí äåí áíŞêåéò óå Óõíôå÷íßá.
OPTION_PVPMODE_NOT_SUPPORT	Äåí ìğïñåßò íá åğéëİîåéò áõôŞ ôç ñıèìéóç óôï PvP.
OPTION_PVPMODE_PROTECT	Ğñİğåé íá İ÷åéò öôÜóåé óôï åğßğåäï %d ãéá íá áëëÜîåéò ôçí åöáñìïãŞ PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Èİëåéò íá âãåéò áğü ôç ìÜ÷ç;
OTHER_WORLD_EXCHANGE_COOLTIME	Ğáñáêáëïıìå äïêßìáóå îáíÜ áñãüôåñá.
OTHER_WORLD_EXCHANGE_FAIL	Äõóôõ÷şò äåí İëáâåò ôßğïôá áğü ôçí áíôáëëáãŞ.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ğåñéóóüôåñá áğü ôïí ìİãéóôï áñéèìü áíôéêåéìİíùí.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	ÁíôáëëáãŞ Íåêñïöëïãşí
OTHER_WORLD_GET_DEAD_SOUL	Áğİêôçóåò %d x Øõ÷Ş ÈáíÜôïõ.
OTHER_WORLD_GET_HELL_GATE_KEY	Áğİêôçóåò %d x Êëåéäß Áóìüäåïõ.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Áğİêôçóåò %d x Ìáıñç ÅğéóôïëŞ.
OTHER_WORLD_GET_REINCARNATION_WATER	Áğİêôçóåò %d x Åõëïãßá ÆùŞò.
OTHER_WORLD_GET_WISP	Áğİêôçóåò %d x Íåêñïöëüãåò.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Åğßëåîå ôïí ¢ããåëï ôçò Ãçò ğïõ èİëåéò íá áíôéìåôùğßóåéò.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	¼ôáí ğåèáßíåé İíáò ÷áñáêôŞñáò, ôï ÷ñïíüìåôñï ôïõ ìğïõíôñïõìéïı ìåéşíåôáé êáôÜ 1 ëåğôü.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Ôï Íåñü ôçò ÆùŞò äåí åßíáé äéáèİóéìï.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Óêüôùóå üëá ôá ôİñáôá óôïí ğñïêáèïñéóìİíï ÷ñüíï.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Íßêçóå ôïí ¢ããåëï ôçò Íı÷ôáò ÷ùñßò íá ğåèÜíåéò.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Íßêçóå ôïí Áóìüäåï ğñéí ëŞîåé ï ÷ñüíïò.
PAID_CHARACTER_COUNT_TOOLTIP	Ğñïíïìéïı÷ïé ÷áñáêôŞñåò: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Äåí ìğïñåßò íá äçìéïõñãŞóåéò Üëëïí ÷áñáêôŞñá.
PAID_CHARACTER_CREATE_MODE	(Ğñïíïìéïı÷ïò ÷áñáêôŞñáò)
PAID_CHARACTER_CREATE_QUESTION	Èİëåéò íá äçìéïõñãŞóåéò İíáí ğñïíïìéïı÷ï ÷áñáêôŞñá;
PAID_CHARACTER_CREATE_TOOLTIP	Äçìéïõñãßá Ğñïíïìéïı÷ïõ ÷áñáêôŞñá
PAID_CHARACTER_DELETE_CONFIRM_1	Áí ôïí äéáãñÜøåéò, ğñİğåé íá áãïñÜóåéò İíá åğéğëİïí ÅéóéôŞñéï ğñïíïìéïı÷ïõ ÷áñáêôŞñá ğñéí ìğïñİóåéò íá äçìéïõñãŞóåéò İíáí íİï Ğñïíïìéïı÷ï ÷áñáêôŞñá.
PAID_CHARACTER_DELETE_CONFIRM_2	Óßãïõñá èİëåéò íá ğñï÷ùñŞóåéò óôçí äéáãñáöŞ;
PAID_CHARACTER_DELETE_RETRY	Áõôüò äåí åßíáé ï åğéëåãìİíïò ÷áñáêôŞñáò.\nĞáñáêáëïıìå äïêßìáóå îáíÜ.
PAID_CHARACTER_FULL_CAPACITY	Äåí ìğïñåßò íá äçìéïõñãŞóåéò Üëëïí Ğñïíïìéïı÷ï ÷áñáêôŞñá.
PAID_CHARACTER_NEED_TICKET	×ñåéÜæåóáé İíá ÅéóéôŞñéï ğñïíïìéïı÷ïõ ×áñáêôŞñá, ãéá íá äçìéïõñãŞóåéò İíáí íİï Ğñïíïìéïı÷ï ÷áñáêôŞñá.
PAID_CHARACTER_SELECT_TOOLTIP	Ğñïíïìéïı÷ïò ÷áñáêôŞñáò
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	ĞÜóá ×áñáêôŞñá: %d
PAID_CHARACTER_TICKET_LOADING	Öüñôùóç...
PARTY_ANSWER_TIMEOVER	Ç ğñüóêëçóç áğïññßöèçêå.
PARTY_BONUS_ATTACKER	Áîßá Åğßèåóçò: +%d	SA
PARTY_BONUS_BERSERKER	Ôá÷ıôçôá Åğßèåóçò: +%d	SA
PARTY_BONUS_BUFFER	ÄéÜñêåéá ÉêáíïôŞôùí: +%d	SA
PARTY_BONUS_DEFENDER	¢ìõíá +%d%%	SA
PARTY_BONUS_EXP	Ìğüíïõò ÅÌĞ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	ÅğáíáöïñÜ HP áíÜ kill +%d%%	SA
PARTY_BONUS_TANKER	Ìåã. HP: +%d	SA
PARTY_BREAK_UP	ÄéÜëõóç ÏìÜäáò
PARTY_DO_YOU_ACCEPT	: Èİëåé íá ãßíåé ìİëïò ôçò ïìÜäáò.
PARTY_DO_YOU_JOIN	Ï   óå êÜëåóå óå ìéá ïìÜäá. Áğïäİ÷åóáé;
PARTY_EXP_DISTRIBUTION_MODE	ÊáôáíïìŞ ÅÌĞ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Åîáñô. áğü åğßğåäï
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Ôá ìİëç ôçò ïìÜäáò ìå ìåãáëıôåñï åğßğåäï áğïêôïıí ğåñéóóüôåñç åìğåéñßá.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Ïìïéüìïñöá
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	¼ëá ôá ìİëç ôçò ïìÜäáò êåñäßæïõí ôçí ßäéá ÅÌĞ.
PARTY_HEAL_ALL_MEMBER	ÁğïêáôÜóôáóç üëùí
PARTY_INCREASE_AREA_150	Ç áêôßíáò ïìÜäáò áíáâáèìßóôçêå êáôÜ ğáñÜãïíôá 1,5.	SNA
PARTY_INCREASE_AREA_200	Ç áêôßíáò ïìÜäáò áíáâáèìßóôçêå êáôÜ ğáñÜãïíôá 2.	SNA
PARTY_LEAVE	¸îïäïò áğü ïìÜäá
PARTY_LONGTIME_BONUS_EXP	Bonus ÅÌĞ ãéá ìåãÜëï ğáé÷í. ïìÜäáò: +%d%%	SA
PARTY_MATCH_CANCEL	Ç áíáæŞôçóç ïìÜäáò ãéá [%s] áêõñşèçêå.
PARTY_MATCH_FAIL_FULL_MEMBER	Ç ïìÜäá äåí ìğïñåß íá áğïêôŞóåé Üëëï ìİëïò.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Äåí ìğïñåßò íá åããñáöåßò óå áõôü ôï ìğïõíôñïıìé.
PARTY_MATCH_FAIL_LEVEL	Ôï åğßğåäü óïõ åßíáé õğåñâïëéêÜ ÷áìçëü.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Ôï ìİëïò %s äåí ğëçñïß ôéò áğáñáßôçôåò ğñïûğïèİóåéò.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Åğßëåîå ğñşôá İíá ìğïõíôñïıìé.
PARTY_MATCH_FAIL_NOT_LEADER	Ìüíï ï áñ÷çãüò ôçò ïìÜäáò ìğïñåß íá ğñáãìáôïğïéŞóåé ôçí åããñáöŞ.
PARTY_MATCH_FAIL_NO_ITEM	Äåí İ÷åéò áñêåôÜ %s.
PARTY_MATCH_SEARCHING	ÁíáæŞôçóç
PARTY_MATCH_START	¸÷åéò åããñÜøåé ôçí ïìÜäá óïõ óôï áêüëïõèï ìğïõíôñïıìé: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	ÊëŞóç ìİëïõò ïìÜäáò
PARTY_REGEN_BONUS	Ìğüíïõò áíáãİííçóçò HP + SP: +%d%%	SA
PARTY_REQUEST_DENIED	Ç áßôçóç óïõ áğïññßöèçêå.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ëßóôá êáôÜôáîçò öıëáêá Ãéïõ
PARTY_RK_CATEGORY_CZ_COW	Ëßóôá êáôÜôáîçò öıëáêá Ôóïõ
PARTY_RK_CATEGORY_CZ_DOG	Ëßóôá êáôÜôáîçò öıëáêá Îéïõ
PARTY_RK_CATEGORY_CZ_DRAGON	Ëßóôá êáôÜôáîçò öıëáêá Ôóåí
PARTY_RK_CATEGORY_CZ_HORSE	Ëßóôá êáôÜôáîçò öıëáêá Ãïõ
PARTY_RK_CATEGORY_CZ_MONKEY	Ëßóôá êáôÜôáîçò öıëáêá Óåí
PARTY_RK_CATEGORY_CZ_MOUSE	Ëßóôá êáôÜôáîçò öıëáêá Æé
PARTY_RK_CATEGORY_CZ_PIG	Ëßóôá êáôÜôáîçò öıëáêá ×Üé
PARTY_RK_CATEGORY_CZ_RABBIT	Ëßóôá êáôÜôáîçò öıëáêá ÌÜï
PARTY_RK_CATEGORY_CZ_SHEEP	Ëßóôá êáôÜôáîçò öıëáêá Ãïõİé
PARTY_RK_CATEGORY_CZ_SNAKE	Ëßóôá êáôÜôáîçò öıëáêá Óé
PARTY_RK_CATEGORY_CZ_TIGER	Ëßóôá êáôÜôáîçò öıëáêá Ãéí
PARTY_SET_ATTACKER	Ïñéóìüò ùò Åğéôéèİìåíïò
PARTY_SET_BERSERKER	Ïñéóìüò ùò Ìğåñæİñêåñ
PARTY_SET_BUFFER	Ïñéóìüò ùò Áğüêñïõóç
PARTY_SET_DEFENDER	Ïñéóìüò ùò Áìõíüìåíïò
PARTY_SET_NORMAL	ÁíÜêëçóç ñıèìéóçò
PARTY_SET_SKILL_MASTER	ÅğéëïãŞ şò âáóéêŞò éêáíüôçôáò.
PARTY_SET_TANKER	Óıíôáîç ìá÷çôŞ Óşìá ìå Óşìá
PARTY_SKILL_ATTACKER	ÂáóéêŞ åğßèåóç åğéôéèİìåíïõ +%.0f
PARTY_SKILL_BERSERKER	Ôá÷ıôçôá åğßèåóçò Ìğåñæİñêåñ +%.0f
PARTY_SKILL_BUFFER	ÄéÜñêåéá Éêáíüôçôáò Ìğëïê +%.0f
PARTY_SKILL_DEFENDER	¢ìõíá áìõíüìåíïõ +%.0f%%
PARTY_SKILL_HP_REGEN	ÁíáğëŞñùóç HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Áêôßíá ÏìÜäáò +%d%%
PARTY_SKILL_SKILL_MASTER	ÅğéóôñïöŞ HP ùò Master éêáíïôŞôùí +%.0f%%
PARTY_SKILL_SP_REGEN	ÁíáğëŞñùóç SP +%.0f%%
PARTY_SKILL_TANKER	Måã. HP Ìá÷çôŞ Óşìá ìå Óşìá +%.0f
PARTY_SKILL_WARP	Ìğïñåßò íá êáëİóåéò ìİëç ïìÜäáò.
PASSIVE_ATTR_ADD_FAIL	Áğïôõ÷ßá! Ôá ìğüíïõò äåí ìåôáöİñèçêáí óôï ÊåéìŞëéï Øõ÷şí.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Ôï ÊåéìŞëéï Øõ÷şí äåí ìğïñåß íá áğïññïöŞóåé Üëëá ìğüíïõò.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Èá ÷ñåéáóôåßò İíá ÊåéìŞëéï Øõ÷şí ãéá ôçí êëÜóç óïõ.
PASSIVE_ATTR_ADD_SUCCESS	Åğéôõ÷ßá! Ôá ìğüíïõò ìåôáöİñèçêáí óôï ÊåéìŞëéï Øõ÷şí.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Ôï ÊåéìŞëéï Øõ÷şí óïõ İ÷åé öïñôùèåß Şäç.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Äåí ÷ñåéÜæåôáé íá öïñôùèåß êÜğïéï ÊåéìŞëéï Øõ÷şí.
PASSIVE_ATTR_CHARGE_QUESTION	Èİëåéò íá öïñôşóåéò ôï ÊåéìŞëéï Øõ÷şí;
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Ï ÷ñüíïò Êåéìçëßïõ öïñôşèçêå ğëŞñùò.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Äåí ìğïñåßò íá ôï êÜíåéò áõôü êáôÜ ôçí åíåñãïğïßçóç.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Ğáñáêáëïıìå äïêßìáóå îáíÜ áñãüôåñá.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Èá ÷ñåéáóôåßò ìéá øõ÷Ş ğïõ ôáéñéÜæåé.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Ìğïñïıí íá ÷ñçóéìïğïéçèïıí 4 øõ÷İò, ãéá íá ğñïóôåèïıí Ş íá áíáíåùèïıí éäéüôçôåò óå ÊåéìŞëéá øõ÷Şò ãéá óõãêåêñéìİíåò êëÜóåéò.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Ïé éäéüôçôåò ğïõ ğñïóôİèçêáí äåí ìğïñïıí íá áëëÜîïõí. Ìüëéò åíåñãïğïéçèïıí, óïõ äßíïõí ìğüíïõò êáé ç äéÜñêåéÜ ôïõò ìåéşíåôáé.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Áêüìç êáé ìåôÜ áğü ôç ëŞîç ôçò äéÜñêåéáò, ôï êåéìŞëéï äåí åîáöáíßæåôáé êáé ìğïñåß íá åíåñãïğïéçèåß îáíÜ, ìüëéò öïñôşóåé îáíÜ ï ÷ñüíïò.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Ìğïñåßò íá áğïêôŞóåéò êåéìŞëéá ìå åğáíáëáìâáíüìåíåò áğïóôïëİò. Ìğïñåßò íá ôéò áğïäå÷ôåßò áöïı ïëïêëçñşóåéò ôéò áğïóôïëİò ôïõ Ôñáõìáôßá óôçí ĞåäéÜäá Dongan.
PASSIVE_ATTR_TOOLTIP_LINE5	(Ïé áğïóôïëİò åßíáé äéáèİóéìåò ìüëéò öôÜóåéò óôï åğßğåäï 120 êáé ïëïêëçñşóåéò ôçí áğïóôïëŞ «Ôåëåôïõñãßá Åíü÷ëçóçò».)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Ìğïñåßò íá áãïñÜóåéò øõ÷İò êáé óôï shop.
PASSIVE_ATTR_TOOLTIP_TITLE	Ìğüíïõò êåéìçëßùí
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Èá ÷ñåéáóôåßò İíá ÊåéìŞëéï Øõ÷şí ãéá ôçí êëÜóç óïõ.
PASSIVE_JOB_DESTROY_POPUP	Áí âãÜëåéò ôï ÊåéìŞëéï Øõ÷şí, èá êáôáóôñáöåß. Åßóáé óßãïõñïò;
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Äåí ìğïñåßò íá äşóåéò áëëïı ôï ÊåéìŞëéï ìåôÜ ôçí åíåñãïğïßçóç.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Ôá áíôéêåßìåíá èá ÷áèïıí. Åßóáé óßãïõñïò;
PASSIVE_JOB_LEFT_TIME	Õğüëïéğïò ÷ñüíïò: %s
PASSIVE_JOB_MAX_TIME	Ìİãéóôïò ÷ñüíïò êåéìçëßïõ: %s
PASSWORD_TITLE	Êùäéêüò áğïèŞêçò
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Èİëåéò íá áëëÜîåéò ôşñá ôá ÷áñáêôçñéóôéêÜ ôïõ êáôïéêéäßïõ óïõ;\n Èá êáôáíáëùèåß ôï áíôéêåßìåíï «ÌÜãåìá êáôïéêéäßïõ».\n Ç äéáäéêáóßá ìğïñåß íá áğïôı÷åé.
PET_ATTR_CHANGE_USE	¼óï áëëÜæïõí ôá ÷áñáêôçñéóôéêÜ ôïõ êáôïéêéäßïõ óïõ, äåí ìğïñåß íá ãßíåé áõôŞ ç åíİñãåéá.
PET_ATTR_DETERMINE_TYPE1	Åßäïò 1: Áäİîéï Äåí åßíáé ğïëı äõíáôü.\nMå ôïí êáéñü ìğïñåßò íá áõîŞóåéò ôéò éêáíüôçôİò ôïõ.
PET_ATTR_DETERMINE_TYPE2	Åßäïò 2: Ğåñßåñãï Äåí åßíáé ğïëı äõíáôü.\nĞéóôüò óıíôñïöïò, ôïõ ïğïßïõ ïé éêáíüôçôåò áõîÜíïíôáé ìå ôïí êáéñü.
PET_ATTR_DETERMINE_TYPE3	Åßäïò 3: Áôñüìçôï ¸÷åé ìİôñéá äıíáìç.\nMå ôïí êáéñü ìğïñåßò íá áõîŞóåéò ôéò éêáíüôçôİò ôïõ.
PET_ATTR_DETERMINE_TYPE4	Åßäïò 4: Èáññáëİï ¸÷åé ìİôñéá äıíáìç.\nĞéóôüò óıíôñïöïò, ôïõ ïğïßïõ ïé éêáíüôçôåò áõîÜíïíôáé ìå ôïí êáéñü.
PET_ATTR_DETERMINE_TYPE5	Åßäïò 5: ĞáñÜôïëìï Äõíáôü.\nÌå ôïí êáéñü ìğïñåßò íá áõîŞóåéò ôéò éêáíüôçôİò ôïõ.
PET_ATTR_DETERMINE_TYPE6	Åßäïò 6: Èñõëéêü Äõíáôü.\nĞéóôüò óıíôñïöïò, ôïõ ïğïßïõ ïé éêáíüôçôåò áõîÜíïíôáé ìå ôïí êáéñü.
PET_ATTR_DETERMINE_TYPE7	Åßäïò 7: Ìõèéêü Ğïëı äõíáôü.\nÈá öôÜóåé óôéò ğëŞñåéò äõíÜìåéò ôïõ ìå ôïí êáéñü.
PET_ATTR_DETERMINE_TYPE8	Åßäïò 8: Ğñéóìáôéêü ĞÜñá ğïëı äõíáôü.\nÌğïñåßò íá âáóéóôåßò óå áõôüí ôïí óıíôñïöï.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Ğñİğåé ğñşôá íá êáëİóåéò ôï êáôïéêßäéü óïõ.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Ãé' áõôü ôï Åğßğåäï áíÜğôõîçò ï ÷áñáêôŞñáò óïõ ğñİğåé íá İ÷åé öôÜóåé óôï Åğßğåäï ğñùôáèëçôŞ 1.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Ãé' áõôü ôï Åğßğåäï áíÜğôõîçò ï ÷áñáêôŞñáò óïõ ğñİğåé íá İ÷åé öôÜóåé óôï Åğßğåäï ğñùôáèëçôŞ 15.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s: Äåí èá áğïêôŞóåé Üëëç ÅÌĞ.
PET_CANNOT_FEED_CUBEOPEN	Äåí ìğïñåßò íá ôáÀóåéò ôï êáôïéêßäéü óïõ, üóï åßíáé áíïé÷ôü ôï ğáñÜèõñï åîåõãåíéóìïı.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Áõôü åßíáé äéáèİóéìï ìüíï ãéá êáôïéêßäéá ğïõ İöôáóáí óôï Åğßğåäï ğñùôáèëçôŞ.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	Óå áõôŞí ôç èİóç ìğïñåßò íá åğéëİîåéò ìüíï ÁâãÜ êáôïéêéäßùí.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Äåí ìğïñåßò íá áëëÜîåéò ôá ÷áñáêôçñéóôéêÜ åíüò íåêñïı êáôïéêéäßïõ.
PET_CAN_NOT_EGG_ITEM_USE	Äåí ìğïñåßò íá áíïßîåéò ôï Êïõôß Åğşáóçò üóï êÜíåéò åìğüñéï Ş İ÷åéò áíïé÷ôü ôï éäéùôéêü óïõ êáôÜóôçìá Ş ôçí áğïèŞêç óïõ.
PET_CAN_NOT_FEED_SPLIT_ITEM	Äåí ìğïñåßò íá ôïğïèåôŞóåéò İíá ÷ùñéóìİíï áíôéêåßìåíï óå áõôü ôï ğáñÜèõñï.
PET_CAN_NOT_FEED_TYPE	Äåí ìğïñåßò íá ôáÀóåéò ôï êáôïéêßäéü óïõ ìå áõôüí ôïí ôñüğï. Ğáñáêáëïıìå äïêßìáóå êÜôé Üëëï.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Ãéá íá åêğáéäåıóåéò ôï êáôïéêßäéü óïõ óôï åğüìåíï åğßğåäï, ğñİğåé íá âñßóêåôáé óôï åğßğåäï %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Ãéá íá åêğáéäåıóåéò ôï êáôïéêßäéï óôï åğüìåíï åğßğåäï, ğñİğåé íá İ÷åé 100% åìğåéñßá.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Ôï êáôïéêßäéü óïõ ğñİğåé íá İ÷åé öôÜóåé óôï Åğßğåäï ğñùôáèëçôŞ %d, ãéá íá ôï åîåëßîåéò.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Ôï êáôïéêßäéü óïõ İ÷åé Şäç öôÜóåé óôï áíşôáôï åğßğåäï.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Äåí ìğïñåßò íá áíïßîåéò éäéùôéêü êáôÜóôçìá üóï êÜíåéò åìğïñéêİò óõíáëëáãİò ìå Üëëïõò.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Ãéá íá åêğáéäåıóåéò ôï êáôïéêßäéï óôï åğüìåíï åğßğåäï, ğñİğåé íá åßíáé ôïõëÜ÷éóôïí %d çìåñşí.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Äåí ìğïñåßò íá êáëİóåéò ôï êáôïéêßäéü óïõ, åğåéäŞ İ÷åé ëŞîåé ï ÷ñüíïò.
PET_CAN_NOT_USE_BAG	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò ôï ìåôáöïñéêü êïõôß, åğåéäŞ ôï êáôïéêßäéü óïõ İ÷åé ëŞîåé.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	Óå áõôŞí ôç èİóç ìğïñåßò íá åğéëİîåéò ìüíï ÁâãÜ êáôïéêéäßùí.
PET_CAN_REGISTER_PET_EGG	Áí İ÷åéò ìéá åëåıèåñç èİóç, ìğïñåßò íá åğéëİîåéò İíá áğü ôá ÁâãÜ êáôïéêéäßùí óïõ.
PET_CAN_SPECIAL_EVOL	×ñåéÜæåóáé çñùéêÜ Âéâëßá Êáôïéêéäßùí ãéá áõôü ôï Åğßğåäï áíÜğôõîçò.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	ÄéÜôñ. ìğëïê. (% óõíïë. áîßáò)
PET_CONQUEROR_BILITIES_HIT_PCT	Áêñßâåéá óå ğïóïóôü
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Èİëçóç SungMa (RES) óå %
PET_EGG_REMOVE_ANSWER_1	Åğéâåâáßùóç
PET_EGG_REMOVE_ANSWER_2	Áêıñùóç
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Èİëåéò íá ôï áöáéñİóåéò ğÜëé ôï åğéëåãìİíï %s;
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Áí áöáéñİóåéò ôï áâãü, äåí èá ôï ğÜñåéò ğßóù.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Ôï êáôïéêßäéï äåí äéáèİôåé éêáíüôçôåò ğïõ íá åğéäİ÷ïíôáé åğáíáöïñÜ.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Ôï êáôïéêßäéü óïõ áğİêôçóå ìéá Éêáíüôçôá Äõíáìéêïı (%s).
PET_HATCHING_ACCEPT	Èİëåéò íá äïêéìÜóåéò ôï êáôïéêßäéü óïõ «%s»;
PET_HATCHING_MONEY	ÔéìŞ: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Áí åßíáé áíïé÷ôü ôï Êïõôß Åğşáóçò, äåí ìğïñåßò íá áëëçëåğéäñÜóåéò.
PET_INFORMATION_STAGE1	Íİï
PET_INFORMATION_STAGE2	¢ãñéï
PET_INFORMATION_STAGE3	Ãåííáßï
PET_INFORMATION_STAGE4	Çñùéêü
