ACCE_ABSORB_COST	Koszty po³¹czenia: %d
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	Obszar, w którym wystêpuje %s, zostanie ci pokazany na mapie.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Masz za ma³o kamieni teleportacji.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	Wybrana przez ciebie postaæ znajduje siê w pobli¿u.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Wybierz region.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Nie mo¿esz ju¿ tego u¿yæ.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Alchemia Smoczych Kamieni
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Kombinacja
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Wytwarzanie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Wejœcie do instancji
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Handlarz wyposa¿eniem
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Event
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Przybory wêdkarskie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Dobra Konsumpcyjne
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Obszar gildii
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Nauczyciel
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Poczta
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Górnictwo
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Wierzchowce
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Pozosta³e postacie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portale
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Ulepszenie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleport
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Dozorca
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Chcesz aktywowaæ wyszukiwarkê postaci?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	lub
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Chcesz u¿yæ %d kamieni teleportacji/teleportacji+, aby teleportowaæ siê do %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Potrzebny do teleportu:
OKEY_EVENT_MESSAGE_CARD_GAIN	Otrzymujesz zestaw (zestawy) kart Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Otrzymujesz karty Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Nie mo¿esz zagraæ w Okey, dopóki masz otwarte inne okno.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Musisz osi¹gn¹æ co najmniej poziom 70, aby móc wzi¹æ udzia³.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Masz za ma³o przedmiotów lub pieniêdzy, aby graæ.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Nie mo¿esz otrzymaæ kolejnych zestawów kart Okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s dodano do emocji.
OPTION_ESCAPE_BUTTON_COOLTIME	Spróbuj póŸniej ponownie.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Teraz nie mo¿esz siê uwolniæ. Spróbuj póŸniej ponownie.
OPTION_ESCAPE_FAR_DISTANCE	Nie mo¿esz siê uwolniæ, poniewa¿ przemieœci³eœ siê o ponad 10 metrów.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Nie uda³o ci siê uwolniæ.
OPTION_ESCAPE_QUESTION_MESSAGE	Teleportujesz siê do wolnego miejsca lub do wioski.\n Chcesz uwolniæ swoj¹ postaæ?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	U¿yj tej opcji, jeœli siê zablokujesz.
OPTION_ESCAPE_WAIT_MESSAGE	Uwolnisz siê za %d sek.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Aby aktywowaæ ten tryb musisz nale¿eæ do jakiejœ Gildii.
OPTION_PVPMODE_NOT_SUPPORT	Nie mo¿esz wybraæ tej konfiguracji w Trybie PvP.
OPTION_PVPMODE_PROTECT	Musisz mieæ co najmniej %d poziom, aby móc zmieniæ tryb PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Chcesz zakoñczyæ walkê?
OTHER_WORLD_EXCHANGE_COOLTIME	Spróbuj póŸniej ponownie.
OTHER_WORLD_EXCHANGE_FAIL	Niestety, nie uda³o ci siê nic otrzymaæ z wymiany.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Nie mo¿esz u¿yæ wiêcej przedmiotów ni¿ ich maksymalna iloœæ.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Wymiana Trupich P³omieni
OTHER_WORLD_GET_DEAD_SOUL	Otrzymujesz %dx dusza zmar³ych.
OTHER_WORLD_GET_HELL_GATE_KEY	Otrzymujesz %dx klucz Asmodeusza.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Otrzymujesz %dx czarny list.
OTHER_WORLD_GET_REINCARNATION_WATER	Otrzymujesz %dx ¿yciodajn¹ wodê.
OTHER_WORLD_GET_WISP	Otrzymujesz %dx trupi p³omieñ
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Wybierz Pos³añca Ziemi, z którym chcesz siê zmierzyæ.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Za ka¿dym razem, gdy postaæ zginie, od licznika czasu instancji zostanie odliczona 1 min.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	¯yciodajna Woda jest niedostêpna.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Zabij wszystkie potwory w wyznaczonym czasie.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Pokonaj Pos³añca Nocy, nie gin¹c w walce.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Pokonaj Asmodeusza zanim minie czas.
PAID_CHARACTER_COUNT_TOOLTIP	Postacie premium: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Nie mo¿esz tworzyæ wiêcej postaci.
PAID_CHARACTER_CREATE_MODE	(Postaæ premium)
PAID_CHARACTER_CREATE_QUESTION	Czy chcesz utworzyæ postaæ premium?
PAID_CHARACTER_CREATE_TOOLTIP	Utwórz postaæ premium
PAID_CHARACTER_DELETE_CONFIRM_1	Usuniêcie tej postaci wi¹¿e siê z koniecznoœci¹ zakupu kolejnego biletu postaci premium, który pozwoli na utworzenie nowej postaci premium.
PAID_CHARACTER_DELETE_CONFIRM_2	Czy na pewno chcesz kontynuowaæ usuwanie?
PAID_CHARACTER_DELETE_RETRY	To nie jest wybrana postaæ.\nSpróbuj ponownie.
PAID_CHARACTER_FULL_CAPACITY	Nie mo¿esz utworzyæ kolejnych postaci premium.
PAID_CHARACTER_NEED_TICKET	Do utworzenia postaci premium potrzebujesz biletu postaci premium.
PAID_CHARACTER_SELECT_TOOLTIP	Postaæ premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Przepustki postaci: %d
PAID_CHARACTER_TICKET_LOADING	£adowanie...
PARTY_ANSWER_TIMEOVER	Zaproszenie zosta³o odrzucone.
PARTY_BONUS_ATTACKER	Wartoœæ Ataku: +%d	SA
PARTY_BONUS_BERSERKER	Szybkoœæ Ataku: +%d	SA
PARTY_BONUS_BUFFER	Czas Trwania: +%d	SA
PARTY_BONUS_DEFENDER	Obrona +%d%%	SA
PARTY_BONUS_EXP	Bonus DOŒ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Regeneracja P¯ za uœmiercenie +%d%%	SA
PARTY_BONUS_TANKER	Max P¯: +%d	SA
PARTY_BREAK_UP	Usuñ Grupê
PARTY_DO_YOU_ACCEPT	 chce do³¹czyæ do grupy.
PARTY_DO_YOU_JOIN	 zaprasza Ciê do grupy. Czy chcesz przyj¹æ zaproszenie?
PARTY_EXP_DISTRIBUTION_MODE	Podzia³ DOŒ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	zale¿y od poziomu
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Cz³onkowie grupy o wy¿szym poziomie otrzymuj¹ wiêcej PD.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	równo
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Wszyscy otrzymuj¹ tak¹ sam¹ iloœæ PD.
PARTY_HEAL_ALL_MEMBER	Odnów wszystko.
PARTY_INCREASE_AREA_150	Zasiêg grupy zwiêkszony o wspó³czynnik 1,5.	SNA
PARTY_INCREASE_AREA_200	Zasiêg grupy zwiêkszony o wspó³czynnik 2.	SNA
PARTY_LEAVE	Opuœæ grupê
PARTY_LONGTIME_BONUS_EXP	Bonus DOŒ za d³ug¹ grê grupow¹: +%d%%	SA
PARTY_MATCH_CANCEL	Wyszukiwanie grupy do [%s] zosta³a anulowana.
PARTY_MATCH_FAIL_FULL_MEMBER	Twoja grupa nie mo¿e przyj¹æ wiêcej cz³onków.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nie mo¿esz zarejestrowaæ siê do tego lochu.
PARTY_MATCH_FAIL_LEVEL	Masz za niski poziom.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Cz³onek %s nie spe³nia wymagañ.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Wybierz najpierw loch.
PARTY_MATCH_FAIL_NOT_LEADER	Tylko lider grupy mo¿e przeprowadziæ rejestracjê.
PARTY_MATCH_FAIL_NO_ITEM	Masz za ma³o %s.
PARTY_MATCH_SEARCHING	Szukaj
PARTY_MATCH_START	Twoja grupa zosta³a pomyœlnie zarejestrowana do lochu: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Wezwij cz³onka grupy.
PARTY_REGEN_BONUS	Bonus za P¯- + PE regeneracja: +%d%%	SA
PARTY_REQUEST_DENIED	Odrzucono zaproszenie.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ranking Stra¿nika Yu
PARTY_RK_CATEGORY_CZ_COW	Ranking Stra¿nika Chou
PARTY_RK_CATEGORY_CZ_DOG	Ranking Stra¿nika Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Ranking Stra¿nika Chen
PARTY_RK_CATEGORY_CZ_HORSE	Ranking Stra¿nika Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Ranking Stra¿nika Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Ranking Stra¿nika Zi
PARTY_RK_CATEGORY_CZ_PIG	Ranking Stra¿nika Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Ranking Stra¿niczki Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Ranking Stra¿nika Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Ranking Stra¿niczki Si
PARTY_RK_CATEGORY_CZ_TIGER	Ranking Stra¿nika Yin
PARTY_SET_ATTACKER	Ustanów jako Atakuj¹cego.
PARTY_SET_BERSERKER	Ustanów jako Berserker.
PARTY_SET_BUFFER	Ustanów jako Blokuj¹cego.
PARTY_SET_DEFENDER	Ustanów jako Obroñcê.
PARTY_SET_NORMAL	Wycofaj bonus.
PARTY_SET_SKILL_MASTER	Ustanów jako Mistrza Umiejêtnoœci.
PARTY_SET_TANKER	Ustanów jako Walcz¹cego W Zwarciu.
PARTY_SKILL_ATTACKER	Podstawowa Wartoœæ Ataku +%.0f
PARTY_SKILL_BERSERKER	Szybkoœæ Ataku +%.0f
PARTY_SKILL_BUFFER	Czas trwania +%.0f
PARTY_SKILL_DEFENDER	Obrona jako obroñca +%.0f%%
PARTY_SKILL_HP_REGEN	Regeneracja P¯ +%.0f%%
PARTY_SKILL_PARTY_AREA	Zasiêg Grupy +%d%%
PARTY_SKILL_SKILL_MASTER	Regeneracja P¯ jako Mistrza Umiejêtnoœci +%.0f%%
PARTY_SKILL_SP_REGEN	Regeneracja PE +%.0f%%
PARTY_SKILL_TANKER	Max P¯ +%.0f
PARTY_SKILL_WARP	Mo¿liwe wezwanie cz³onków grupy.
PASSIVE_ATTR_ADD_FAIL	Pora¿ka! Bonusy nie zosta³y przeniesione na relikt duszy.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Relikt duszy nie mo¿e absorbowaæ wiêcej bonusów.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Potrzebujesz do tego relikt duszy twojej klasy.
PASSIVE_ATTR_ADD_SUCCESS	Sukces! Bonusy zosta³y przeniesione na relikt duszy.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Relikt duszy jest ju¿ na³adowany.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Nie musi byæ na³adowany ¿aden relikt duszy.
PASSIVE_ATTR_CHARGE_QUESTION	Czy chcesz na³adowaæ relikt duszy?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Czas reliktu zosta³ ca³kowicie na³adowany.
PASSIVE_ATTR_CONTROL_FAIL_MSG	W trakcie aktywacji nie mo¿esz tego zrobiæ.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Spróbuj ponownie póŸniej.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Potrzebujesz do tego odpowiedni¹ duszê.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Mo¿na wykorzystaæ 4 dusze do dodania atrybutów do reliktów duszy charakterystycznych dla danej klasy lub do przed³u¿enia ich dzia³ania.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Dodanych atrybutów nie mo¿na zmieniaæ. Po aktywacji zapewniaj¹ ci bonusy, jednak czas ich dzia³ania jest skrócony.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Nawet po up³ywie czasu trwania relikt nie znika i mo¿na go ponownie aktywowaæ, gdy tylko czas zostanie ponownie do³adowany.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Relikty mo¿na zdobywaæ poprzez wykonywanie misji powtarzalnych. Mo¿esz je przyj¹æ po ukoñczeniu misji Rannego na Dongan.
PASSIVE_ATTR_TOOLTIP_LINE5	(Misje staj¹ siê dostêpne po osi¹gniêciu poziomu 120 i ukoñczeniu misji "Rytua³ Zak³ócenia".)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Dusze mo¿na równie¿ nabyæ w Sklepie.
PASSIVE_ATTR_TOOLTIP_TITLE	Bonus reliktu
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Potrzebujesz do tego relikt duszy twojej klasy.
PASSIVE_JOB_DESTROY_POPUP	Jeœli od³o¿ysz relikt duszy, zostanie on zniszczony. Czy na pewno chcesz tego?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Po aktywacji nie mo¿esz przekazaæ ju¿ reliktu.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Przy tym tracisz przedmioty. Czy na pewno chcesz tego?
PASSIVE_JOB_LEFT_TIME	Pozosta³y czas: %s
PASSIVE_JOB_MAX_TIME	Maksymalny czas reliktu: %s
PASSWORD_TITLE	Has³o do magazynu
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Czy chcesz teraz zmieniæ atrybuty swojego zwierzaka?\n Przedmiot "Zaczaruj zwierzaka" zostanie przy tym zu¿yty.\n Proces mo¿e siê nie udaæ.
PET_ATTR_CHANGE_USE	Nie mo¿na przeprowadziæ tej akcji, podczas zmiany atrybutów zwierzaka.
PET_ATTR_DETERMINE_TYPE1	Typ 1: niezdara. Niezbyt silny.\nZ czasem mo¿esz ulepszaæ jego umiejêtnoœci.
PET_ATTR_DETERMINE_TYPE2	Typ 2: ciekawski. Niezbyt silny.\nWierny towarzysz, którego umiejêtnoœci rosn¹ z czasem.
PET_ATTR_DETERMINE_TYPE3	Typ 3: pe³en werwy. Przeciêtnie silny.\nZ czasem mo¿esz zwiêkszaæ jego umiejêtnoœci.
PET_ATTR_DETERMINE_TYPE4	Typ 4: odwa¿ny. Przeciêtnie silny.\nWierny towarzysz, którego umiejêtnoœci bêd¹ ros³y z czasem.
PET_ATTR_DETERMINE_TYPE5	Typ 5: szalenie odwa¿ny. Silny.\nZ czasem mo¿esz jeszcze bardziej zwiêkszaæ jego umiejêtnoœci.
PET_ATTR_DETERMINE_TYPE6	Typ 6: legendarny. Silny.\nWierny towarzysz, którego umiejêtnoœci z czasem rosn¹ nawet jeszcze bardziej.
PET_ATTR_DETERMINE_TYPE7	Typ 7: mityczny. Bardzo silny.\nZ czasem rozwinie swój ca³y potencja³.
PET_ATTR_DETERMINE_TYPE8	Typ 8: pryzmatyczny. Ekstremalnie silny.\nWierny towarzysz, na którym mo¿esz polegaæ.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Najpierw musisz przywo³aæ swojego zwierzaka.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Dla tego etapu rozwoju twoja postaæ musi osi¹gn¹æ poziom czempiona 1.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Dla tego etapu rozwoju twoja postaæ musi osi¹gn¹æ poziom czempiona 15.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s nie otrzyma ju¿ dodatkowych PD.
PET_CANNOT_FEED_CUBEOPEN	Nie mo¿esz karmiæ swojego zwierzaka przy otwartym okienku uszlachetnienia.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Jest to dostêpne tylko dla zwierzaków, które osi¹gnê³y poziom czempiona.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	W tym slocie mo¿esz wybraæ tylko jaja zwierzaka.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nie mo¿esz zmieniæ atrybutów zmar³ego zwierzaka.
PET_CAN_NOT_EGG_ITEM_USE	Nie mo¿esz otworzyæ inkubatora, gdy handlujesz lub masz otwarty magazyn lub prywatny sklep.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nie mo¿esz wstawiæ w to okienko podzielonego przedmiotu.
PET_CAN_NOT_FEED_TYPE	W taki sposób nie mo¿esz karmiæ zwierzaka. Spróbuj inn¹ akcjê.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Aby wytrenowaæ zwierzaka na nastêpny etap rozwoju, musi osi¹gn¹æ poziom %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Aby wytrenowaæ zwierzaka na nastêpny etap rozwoju, zwierzak ten musi posiadaæ 100% doœwiadczenia.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Twój zwierzak musi osi¹gn¹æ poziom czempiona %d, aby umo¿liwiæ ci jego rozwój.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Twój zwierzak osi¹gn¹³ ju¿ najwy¿szy etap rozwoju.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nie mo¿esz otworzyæ prywatnego sklepu, gdy przywo³asz swojego zwierzaka.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Aby wytrenowaæ zwierzaka na nastêpny etap rozwoju, wiek zwierzaka musi wynosiæ min. %d dni.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nie mo¿esz przywo³aæ swojego zwierzaka, jeœli jego czas up³yn¹³.
PET_CAN_NOT_USE_BAG	Nie mo¿esz u¿yæ klatki transportowej, poniewa¿ czas trwania twojego zwierzaka dobieg³ ju¿ koñca.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	W tym slocie mo¿esz wybraæ tylko jaja zwierzaka.
PET_CAN_REGISTER_PET_EGG	Jeœli posiadasz wolny slot, mo¿esz wybraæ jedno ze swoich jaj zwierzaka.
PET_CAN_SPECIAL_EVOL	Dla tego etapu rozwoju potrzebujesz bohaterskich Ksi¹g Zwierza.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Przebicie bloku (% wart. ca³k.)
PET_CONQUEROR_BILITIES_HIT_PCT	Precyzja w procentach
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Wola SungMa (ODP) w %
PET_EGG_REMOVE_ANSWER_1	PotwierdŸ
PET_EGG_REMOVE_ANSWER_2	Anuluj
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Czy chcesz usun¹æ wybrane %s?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Jeœli usuniesz jajo, nie mo¿esz go ju¿ otrzymaæ z powrotem.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Zwierzak nie posiada umiejêtnoœci do resetu.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Twój zwierzak zdoby³ umiejêtnoœæ potencja³u (%s).
PET_HATCHING_ACCEPT	Chcesz nazwaæ swojego zwierzaka "%s"?
PET_HATCHING_MONEY	Cena: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nie mo¿esz dokonywaæ interakcji, gdy inkubator jest otwarty.
PET_INFORMATION_STAGE1	M³ody
PET_INFORMATION_STAGE2	Dziki
PET_INFORMATION_STAGE3	Dzielny
PET_INFORMATION_STAGE4	Heroiczny
PET_INFORMATION_STAGE5	Przebudzony
PET_INFORMATION_STAGE6	Potê¿ny
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f%%
PET_INFO_CONQUEROR_BUTTON	Czempion
PET_INFO_CONQUEROR_EXP	Aktualne PD poziomu czempiona: %s
PET_INFO_EXP	Aktualne PD: %s
PET_INFO_ITEM_EXP	Aktualne PD przedmiotu: %s
PET_INFO_NEXT_CONQUEROR_EXP	Pozosta³e PD poziomu czempiona: %s
PET_INFO_NEXT_EXP	Pozosta³e PD: %s
PET_INFO_NEXT_ITEM_EXP	Pozosta³e PD przedmiotu: %s
PET_INFO_NORMAL_BUTTON	Normalny
PET_INFO_POTENTIAL_BUTTON	Potencja³
PET_INFO_POTENTIAL_LEFT_TIME	Pozosta³y czas: %s
PET_INFO_POTENTIAL_SKILL	Umiejêtnoœci potencja³u
PET_INFO_SKILL_BUTTON	Umiejêtnoœci zwierzaka
PET_MSG_NOT_ENOUGH_MONEY	Nie masz wystarczaj¹cej iloœci Yang.
PET_NAME_CHANGE_ACCEPT	Czy chcesz zmieniæ nazwê swojego zwierzaka na "%s"?
PET_NAME_MIN	Podana nazwa jest za krótka.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	Umiejêtnoœæ potencja³u "%s" jest teraz aktywna.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	1. slot na umiejêtnoœci potencja³u odblokowany.
PET_OPEN_POTENTIAL_SKILL_SLOT_2	2. slot na umiejêtnoœci potencja³u odblokowany.
PET_REGISTER_ANSWER_1	PotwierdŸ
PET_REGISTER_ANSWER_2	Anuluj
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	Czy chcesz wybraæ to jajo zwierzaka?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	Jeœli wybierzesz to jajo, zostanie usuniête z twojego ekwipunku.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	Umiejêtnoœæ potencja³u "%s" zosta³a usuniêta.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Nie ma zwierzaka do wskrzeszenia.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Nie masz wystarczaj¹co materia³ów.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Umiejêtnoœci s¹ teraz dostêpne.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Reset umiejêtnoœci twojego zwierzaka jest nieodwracalny.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Chcesz kontynuowaæ?
PET_SKILL_LEARN_FAIL_CONDITIONS	Twój zwierzak nie ma wymaganego poziomu. Tylko bohaterskie zwierzaki mog¹ nabywaæ umiejêtnoœci.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Chcesz rozpocz¹æ bohaterski trening ze zwierzakiem "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Czas wypoczynku: %d sekund
PET_SKILL_TOOLTIP_DURATION	Czas trwania: %d sek.
PET_SKILL_TOOLTIP_FEATHER	Zwierzak aktywuje bezszelestny chód z %d%% szans¹ na %.1f sek.\n Atak %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Gdy twoje P¯ spadn¹ poni¿ej 20%%, otrzymujesz \n %d%% szansy na podwy¿szenie swoich P¯ o %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Twoja postaæ posiada %d%% szansy na nieœmiertelnoœæ,\n gdy Twoje P¯ spadn¹ poni¿ej 10%%. \n Czas trwania efektu: %.1f sek.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Natychmiastowo usuwa takie efekty jak trucizna, spowolnienie \n lub krwawienie z prawdopodobieñstwem %d%%, jeœli dotycz¹ one twojej postaci.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Bohaterski trening - nastêpny poziom?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Koszty: %s
PET_TOOLTIP_CONQUEROR_BLOCK_PENETRATE_PCT	Przebicie bloku w %%: +%0.1f%% wartoœci ca³kowitej
PET_TOOLTIP_CONQUEROR_HIT_PCT	Precyzja w %%: +%0.1f%%
PET_TOOLTIP_CONQUEROR_LEVEL_AND_LIFETIME	Pz. C %d (%s)
PET_TOOLTIP_CONQUEROR_SUNGMA_MOVE	Wola SungMa (ODP) w %%: +%0.1f%%
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Obrona
PET_TOOLTIP_HP	P¯
PET_TOOLTIP_LEVEL	Poziom
PET_TOOLTIP_LIFETIME_OVER	Up³yn¹³
PET_TOOLTIP_POTENTIAL_SKILL	Umiejêtnoœæ potencja³u: %s (%d)
PET_TOOLTIP_POTENTIAL_SKILL_REMAINING_TIME	Pozosta³y czas: %s
PET_TOOLTIP_SKILL_BONUS_VALUE	w bohaterskim treningu
PET_TOOLTIP_SKILL_CUR_LEVEL	Poziom: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Nastêpny poziom: %d (maks. %d)
PET_TOOLTIP_SP	PE
PET_TOOLTIP_TRADABLE	Zdatne do handlu
PET_TOOLTUP_SKILL	%s (poziom %d)
PICK_ITEM_TITLE	Numer Przedmiotu
PICK_MONEY_TITLE	Kwota
POPUP_MESSAGE_CLIENT_VERSION_NOT_MATCH	Nast¹pi³o wylogowanie z powodu niezgodnoœci wersji klienta. Zaktualizuj swoj¹ wersjê i zaloguj siê ponownie.
POPUP_NOTICE_CHECKBOX_TEXT	Dzisiaj nie pokazuj wiêcej
PREMIUM_MEMBERSHIP_CANNOT_ADD_TIME_MESSAGE	Nie mo¿esz dodaæ jeszcze wiêcej czasu.
