ACCE_ABSORB_COST	Coûts de combi : %d
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Vous ne pouvez pas obtenir d'autres sets de cartes Okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s a été chargé en émotions.
OPTION_ESCAPE_BUTTON_COOLTIME	Réessayez plus tard.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Vous ne pouvez pas vous libérer maintenant. Réessayez plus tard.
OPTION_ESCAPE_FAR_DISTANCE	Vous ne pouvez pas vous libérer maintenant, car vous vous êtes déplacé de plus de 10 mètres.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Vous ne vous êtes pas libéré.
OPTION_ESCAPE_QUESTION_MESSAGE	Vous allez être téléporté vers un endroit libre ou vers le village.\n Souhaitez-vous libérer votre personnage ?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Utilisez cette option si vous êtes bloqué.
OPTION_ESCAPE_WAIT_MESSAGE	Vous serez libéré dans %d secondes.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Vous ne pouvez pas activer le Mode guilde lorsque vous n'appartenez à aucune guilde.
OPTION_PVPMODE_NOT_SUPPORT	Vous ne pouvez pas choisir cette configuration en Mode PvP.
OPTION_PVPMODE_PROTECT	Vous devez être au moins de niveau %d pour utiliser le Mode PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Voulez-vous quitter le combat ?
OTHER_WORLD_EXCHANGE_COOLTIME	Réessayez plus tard.
OTHER_WORLD_EXCHANGE_FAIL	Vous n'avez malheureusement rien reçu en échange.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Vous ne pouvez pas dépasser le nombre maximum d'objets utilisables.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Échanger des flammes funestes
OTHER_WORLD_GET_DEAD_SOUL	Vous avez reçu %dx âme de défunt.
OTHER_WORLD_GET_HELL_GATE_KEY	Vous avez reçu %dx clé d'Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Vous avez reçu %dx missive noire.
OTHER_WORLD_GET_REINCARNATION_WATER	Vous avez reçu %d x eau de la vie.
OTHER_WORLD_GET_WISP	Vous avez reçu %dx flamme funeste.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Choisissez le messager de la Terre que vous souhaitez défier.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Chaque fois qu'un personnage est éliminé, le temps du minuteur de donjon est réduit de 1 minute.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Eau de la vie non disponible.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Éliminez tous les monstres dans le temps imparti.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Triomphez du messager de la Nuit sans mourir.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Triomphez d'Asmodeus dans le temps imparti.
PAID_CHARACTER_COUNT_TOOLTIP	Personnages premium : %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Vous ne pouvez pas créer de personnage supplémentaire.
PAID_CHARACTER_CREATE_MODE	Personnage premium
PAID_CHARACTER_CREATE_QUESTION	Voulez-vous créer un personnage premium ?
PAID_CHARACTER_CREATE_TOOLTIP	Créer un personnage premium
PAID_CHARACTER_DELETE_CONFIRM_1	Si vous le supprimez, vous devez acheter un autre ticket de personnage premium avant de pouvoir créer un nouveau personnage premium.
PAID_CHARACTER_DELETE_CONFIRM_2	Êtes-vous sûr de vouloir effectuer la suppression ?
PAID_CHARACTER_DELETE_RETRY	Il ne s'agit pas du personnage sélectionné.\nMerci de réessayer.
PAID_CHARACTER_FULL_CAPACITY	Vous ne pouvez pas créer de personnage premium supplémentaire.
PAID_CHARACTER_NEED_TICKET	Il vous faut un ticket de personnage premium pour pouvoir créer un personnage premium.
PAID_CHARACTER_SELECT_TOOLTIP	Personnage premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Pass personnage : %d
PAID_CHARACTER_TICKET_LOADING	Chargement...
PARTY_ANSWER_TIMEOVER	L'invitation a été déclinée.
PARTY_BONUS_ATTACKER	Valeur d'attaque : +%d	SA
PARTY_BONUS_BERSERKER	Vitesse d'attaque : +%d	SA
PARTY_BONUS_BUFFER	Durée compétence : +%d	SA
PARTY_BONUS_DEFENDER	Défense +%d %%	SA
PARTY_BONUS_EXP	Bonus EXP : %d%%	SA
PARTY_BONUS_SKILL_MASTER	Restauration de PV par victime +%d %%	SA
PARTY_BONUS_TANKER	PV max. : +%d	SA
PARTY_BREAK_UP	Supprimer le Groupe
PARTY_DO_YOU_ACCEPT	 aimerait rejoindre le groupe.
PARTY_DO_YOU_JOIN	  vous a invité à rejoindre un groupe. Accepter ?
PARTY_EXP_DISTRIBUTION_MODE	Distribution par EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Selon niveau
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Les membres de plus haut niveau reçoivent plus d'EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribution égale
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tous les membres du Groupe reçoivent autant d'EXP.
PARTY_HEAL_ALL_MEMBER	Restaure tout.
PARTY_INCREASE_AREA_150	L'écart le plus grand dans le Groupe atteint un facteur de 1,5.	SNA
PARTY_INCREASE_AREA_200	L'écart le plus grand dans le Groupe atteint un facteur de 2.	SNA
PARTY_LEAVE	Quitter le Groupe
PARTY_LONGTIME_BONUS_EXP	Bonus EXP pour un temps de jeu en groupe important : +%d%%	SA
PARTY_MATCH_CANCEL	La recherche de groupe pour %s a été interrompue.
PARTY_MATCH_FAIL_FULL_MEMBER	Votre groupe ne peut plus accueillir de nouveaux membres.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Vous ne pouvez pas vous inscrire à ce donjon.
PARTY_MATCH_FAIL_LEVEL	Votre niveau est trop bas.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Le membre %s ne satisfait pas aux conditions requises.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Sélectionnez d'abord un donjon.
PARTY_MATCH_FAIL_NOT_LEADER	Seul le chef du groupe peut effectuer l'inscription.
PARTY_MATCH_FAIL_NO_ITEM	Vous n'avez pas suffisamment de %s.
PARTY_MATCH_SEARCHING	Chercher
PARTY_MATCH_START	Vous avez inscrit votre groupe au donjon suivant : %s !
PARTY_MEMBER_OFFLINE	[Déconnecté]
PARTY_RECALL_MEMBER	Appeler un Membre du Groupe
PARTY_REGEN_BONUS	Bonus de régénération PV + PM : +%d%%	SA
PARTY_REQUEST_DENIED	Votre demande a été rejetée.
PARTY_RK_CATEGORY_CZ_CHICKEN	Classement du gardien Yu
PARTY_RK_CATEGORY_CZ_COW	Classement du gardien Chou
PARTY_RK_CATEGORY_CZ_DOG	Classement du gardien Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Classement du gardien Chen
PARTY_RK_CATEGORY_CZ_HORSE	Classement du gardien Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Classement du gardien Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Classement du gardien Zi
PARTY_RK_CATEGORY_CZ_PIG	Classement du gardien Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Classement de la gardienne Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Classement du gardien Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Classement de la gardienne Si
PARTY_RK_CATEGORY_CZ_TIGER	Classement du gardien Yin
PARTY_SET_ATTACKER	Désigner comme Attaquant.
PARTY_SET_BERSERKER	Désigner comme Berserker.
PARTY_SET_BUFFER	Désigner comme Bloqueur.
PARTY_SET_DEFENDER	Désigner comme Défenseur.
PARTY_SET_NORMAL	Rétablir les paramètres.
PARTY_SET_SKILL_MASTER	Désigner comme Maître de compétence
PARTY_SET_TANKER	Désigner comme combattant au corps-à-corps.
PARTY_SKILL_ATTACKER	Valeur d'attaque de base de l'Attaquant +%.0f
PARTY_SKILL_BERSERKER	Vitesse d'attaque du Berserker +%.0f
PARTY_SKILL_BUFFER	Durée compétence Bloqueur +%.0f
PARTY_SKILL_DEFENDER	Défense comme défenseur +%.0f %%
PARTY_SKILL_HP_REGEN	Régénération des PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Rang du Groupe +%d%%
PARTY_SKILL_SKILL_MASTER	Régénération de PV comme maître de la compétence +%.0f %%
PARTY_SKILL_SP_REGEN	Régénération des PM +%.0f%%
PARTY_SKILL_TANKER	PV max. combattant au corps-à-corps +%.0f
PARTY_SKILL_WARP	Possibilité d'appeler des membres du Groupe
PASSIVE_ATTR_ADD_FAIL	Échec ! Les bonus n'ont pas été transférés à la relique d'âme.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	La relique d'âme ne peut pas absorber de bonus supplémentaires.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Il vous faut une relique d'âme adaptée à votre classe.
PASSIVE_ATTR_ADD_SUCCESS	Succès ! Les bonus ont été transférés à la relique d'âme.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	La relique d'âme est déjà chargée.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Aucune relique d'âme ne doit être chargée.
PASSIVE_ATTR_CHARGE_QUESTION	Souhaitez-vous charger la relique d'âme ?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Le temps de la relique a été entièrement rechargé.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Vous ne pouvez rien faire pendant l'activation.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Merci de réessayer plus tard.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Il vous faut une âme adaptée.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Vous pouvez utiliser 4 âmes pour ajouter des attributs aux reliques d'âmes de classe ou les prolonger.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Vous ne pouvez pas modifier les attributs ajoutés. Une fois qu'ils sont activés, ils vous accordent des bonus et leur durée diminue.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Même une fois la durée écoulée, la relique ne disparait pas et vous pouvez à nouveau l'utiliser une fois le temps rechargé.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Vous pouvez obtenir des reliques via les quêtes à répétition. Vous pouvez les accepter après avoir terminé les quêtes du blessé sur le Niveau Dongan.
PASSIVE_ATTR_TOOLTIP_LINE5	(Les quêtes sont disponibles une fois que vous avez atteint le niveau 120 et terminé la quête « Rituel de tourmente ».)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Les âmes peuvent également être acquises via la boutique.
PASSIVE_ATTR_TOOLTIP_TITLE	Bonus de relique
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Il vous faut une relique d'âme adaptée à votre classe.
PASSIVE_JOB_DESTROY_POPUP	Si vous vous séparez de la relique d'âme, elle sera détruite. Êtes-vous sûr de vouloir poursuivre ?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Après l'activation, vous ne pourrez plus céder la relique.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Les objets seront alors perdus. Êtes-vous sûr de vouloir poursuivre ?
PASSIVE_JOB_LEFT_TIME	Temps restant : %s
PASSIVE_JOB_MAX_TIME	Durée maximale de la relique : %s
PASSWORD_TITLE	Mot de passe de l'entrepôt
PET_ABILITIES_VALUE	+%s %%
PET_ATTR_CHANGE_DIALOG_TEXT	Voulez-vous modifier maintenant les caractéristiques de votre familier ?\n L'objet « enchantement du familier » sera utilisé.\n L'opération peut échouer.
PET_ATTR_CHANGE_USE	Cette action ne peut pas être effectuée pendant que les caractéristiques du familier sont modifiées.
PET_ATTR_DETERMINE_TYPE1	Type 1 : maladroit. Il n'est pas très fort.\nAvec le temps, vous pouvez améliorer ses compétences.
PET_ATTR_DETERMINE_TYPE2	Type 2 : curieux. Il n'est pas très fort.\nC'est un fidèle compagnon dont les compétences augmentent au fil du temps.
PET_ATTR_DETERMINE_TYPE3	Type 3 : vaillant. Il est moyennement fort.\nAvec le temps, vous pouvez améliorer ses compétences.
PET_ATTR_DETERMINE_TYPE4	Type 4 : courageux. Il est moyennement fort.\nC'est un fidèle compagnon dont les compétences augmentent au fil du temps.
PET_ATTR_DETERMINE_TYPE5	Type 5 : intrépide. Il est fort.\nAvec le temps, vous pouvez améliorer encore ses compétences.
PET_ATTR_DETERMINE_TYPE6	Type 6 : légendaire. Il est fort.\nC'est un fidèle compagnon dont les compétences augmentent encore au fil du temps.
PET_ATTR_DETERMINE_TYPE7	Type 7 : mythique. Il est très fort.\nIl déploie tout son potentiel au fil du temps.
PET_ATTR_DETERMINE_TYPE8	Type de familier 8 : prismatique. Il est extrêmement fort.\nC'est un fidèle compagnon sur lequel vous pouvez compter.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Vous devez d'abord invoquer votre familier.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Pour ce niveau de progression, votre personnage doit avoir atteint le 1er niveau de champion.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Pour ce niveau de progression, votre personnage doit avoir atteint le 15e niveau de champion.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s n'obtiendra plus d'EXP.
PET_CANNOT_FEED_CUBEOPEN	Vous ne pouvez pas nourrir votre familier quand la fenêtre de raffinage est ouverte.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Ceci est réservé aux familiers ayant atteint le niveau de champion.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	Cet emplacement vous permet uniquement de sélectionner des œufs de familier.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Vous ne pouvez pas modifier les caractéristiques d'un familier mort.
PET_CAN_NOT_EGG_ITEM_USE	Vous ne pouvez pas ouvrir la couveuse pendant un échange ou pendant l'ouverture de votre entrepôt ou de votre magasin privé.
PET_CAN_NOT_FEED_SPLIT_ITEM	Vous ne pouvez pas déposer d'objet divisé dans cette fenêtre.
PET_CAN_NOT_FEED_TYPE	Vous ne pouvez pas nourrir votre familier de cette façon. Veuillez tenter une autre action.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit avoir le niveau %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit avoir 100 % d'expérience.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Votre familier doit avoir atteint le niveau de champion %d pour pouvoir évoluer.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Votre familier a déjà atteint le niveau maximum.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Vous ne pouvez pas ouvrir de magasin privé quand vous avez appelé votre familier.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit être âgé de %d jours.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Vous ne pouvez pas appeler votre familier, car sa durée d'utilisation a  expiré.
PET_CAN_NOT_USE_BAG	Vous ne pouvez pas utiliser le sac de transport, car votre familier a déjà expiré.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	Cet emplacement vous permet uniquement de sélectionner des œufs de familier.
PET_CAN_REGISTER_PET_EGG	Si vous avez un emplacement libre, vous pouvez sélectionner un de vos œufs de familier.
PET_CAN_SPECIAL_EVOL	Ce niveau nécessite des livres de familier héroïques.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Percée (% de la valeur totale)
PET_CONQUEROR_BILITIES_HIT_PCT	Précision (pourcentage)
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Volonté de SungMa (RES) (%)
PET_EGG_REMOVE_ANSWER_1	Confirmer
PET_EGG_REMOVE_ANSWER_2	Annuler
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Souhaitez-vous supprimer le %s sélectionné ?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Si vous supprimez l'œuf, vous ne pourrez pas le récupérer.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Le familier ne possède pas de compétences à réinitialiser.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Votre familier a obtenu une compétence de potentiel (%s).
PET_HATCHING_ACCEPT	Souhaitez-vous appeler votre familier « %s » ?
PET_HATCHING_MONEY	Prix : %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Quand votre couveuse est ouverte, vous ne pouvez pas effectuez d'interactions.
PET_INFORMATION_STAGE1	Jeune
PET_INFORMATION_STAGE2	Sauvage
PET_INFORMATION_STAGE3	Vaillant
PET_INFORMATION_STAGE4	Héroïque
PET_INFORMATION_STAGE5	Alerte
PET_INFORMATION_STAGE6	Puissant
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f %%
PET_INFO_CONQUEROR_BUTTON	Champion
PET_INFO_CONQUEROR_EXP	EXP de champion actuelle : %s
PET_INFO_EXP	EXP actuelle : %s
PET_INFO_ITEM_EXP	EXP d'objet actuelle : %s
PET_INFO_NEXT_CONQUEROR_EXP	EXP de champion restante : %s
PET_INFO_NEXT_EXP	EXP restante : %s
PET_INFO_NEXT_ITEM_EXP	EXP d'objets restante : %s
PET_INFO_NORMAL_BUTTON	Normal
PET_INFO_POTENTIAL_BUTTON	Potentiel
PET_INFO_POTENTIAL_LEFT_TIME	Temps restant : %s
PET_INFO_POTENTIAL_SKILL	Compétences de potentiel
PET_INFO_SKILL_BUTTON	Compétences de familier
PET_MSG_NOT_ENOUGH_MONEY	Vous n'avez pas assez de Yangs.
PET_NAME_CHANGE_ACCEPT	Voulez-vous modifier le nom de votre familier en « %s » ?
PET_NAME_MIN	Le nom entré est trop court.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	La compétence de potentiel « %s » est désormais active.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	1er emplacement pour compétences de potentiel déverrouillé
PET_OPEN_POTENTIAL_SKILL_SLOT_2	2e emplacement pour compétences de potentiel déverrouillé
PET_REGISTER_ANSWER_1	Confirmer
PET_REGISTER_ANSWER_2	Annuler
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	Souhaitez-vous sélectionner cet œuf de familier ?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	Si vous sélectionnez cet œuf, il sera supprimé de votre inventaire.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	La compétence de potentiel « %s » a été supprimée.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Il n'a pas de familier à ressusciter.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Vous n'avez pas assez de matériel.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Les compétences sont maintenant disponibles.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	La réinitialisation des compétences de votre familier est irrévocable.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Voulez-vous continuer ?
PET_SKILL_LEARN_FAIL_CONDITIONS	Votre familier n'a pas le niveau nécessaire. Seuls les familiers héroïques peuvent apprendre des compétences.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Souhaitez-vous débuter l'entraînement héroïque de « %s » ?
PET_SKILL_TOOLTIP_COOLTIME	Temps de rechargement : %d secondes
PET_SKILL_TOOLTIP_DURATION	Durée : %d secondes
PET_SKILL_TOOLTIP_FEATHER	Ce familier a %d %% de chances d'activer l'effet Foulée de plume pendant %.1f secondes.\n Attaque : %d à %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Quand vos PV tombent sous les 20%%, vous obtenez une \n chance de %d%% d'augmenter les PV de %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Votre personnage a %d%% de chances de devenir invincible\n quand vos PV passent sous les 10%%.\n Durée de l'effet : %.1f secondes.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Neutralise immédiatement les effets des poisons, ralentissements \n ou saignements avec une chance de %d%% \n quand votre personnage est affecté.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Passer au niveau supérieur de l'entraînement ?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Coût : %s
PET_TOOLTIP_CONQUEROR_BLOCK_PENETRATE_PCT	Percée en %% : +%0.1f %% de la valeur totale
PET_TOOLTIP_CONQUEROR_HIT_PCT	Précision en %% : +%0.1f %%
PET_TOOLTIP_CONQUEROR_LEVEL_AND_LIFETIME	Niveau de C %d (%s)
PET_TOOLTIP_CONQUEROR_SUNGMA_MOVE	Volonté de SungMa (RES) en %% : +%0.1f %%
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Défense
PET_TOOLTIP_HP	PV
PET_TOOLTIP_LEVEL	Niveau
PET_TOOLTIP_LIFETIME_OVER	Expiré
PET_TOOLTIP_POTENTIAL_SKILL	Compétence de potentiel : %s (%d)
PET_TOOLTIP_POTENTIAL_SKILL_REMAINING_TIME	Temps restant : %s
PET_TOOLTIP_SKILL_BONUS_VALUE	à l'entraînement héroïque
PET_TOOLTIP_SKILL_CUR_LEVEL	Niveau : %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Niveau suivant : %d (max. %d)
PET_TOOLTIP_SP	PM
PET_TOOLTIP_TRADABLE	Échangeable
PET_TOOLTUP_SKILL	%s (niveau %d)
PICK_ITEM_TITLE	Numéro de l'objet
PICK_MONEY_TITLE	Somme
POPUP_MESSAGE_CLIENT_VERSION_NOT_MATCH	Vous avez été déconnecté car votre version du client n'est pas adéquate. Merci de mettre votre client à jour puis de vous reconnecter.
POPUP_NOTICE_CHECKBOX_TEXT	Ne plus afficher ce message aujourd'hui.
PREMIUM_MEMBERSHIP_CANNOT_ADD_TIME_MESSAGE	Vous ne pouvez pas ajouter de temps supplémentaire.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	Les objets que vous proposez à la vente ne doivent pas dépasser le montant total autorisé.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	Les objets que vous proposez à la vente ne doivent pas dépasser le montant total autorisé.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	Cela fait plus de 3 000 Wons. Commencez par récupérer votre argent.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	Il s'agit de plus de 2 milliards de Yangs. Commencez par récupérer votre argent.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	Vous ne pouvez pas l'ouvrir sur cette carte.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Souhaitez-vous fermer votre magasin privé ?
PREMIUM_PRIVATE_SHOP_DURATION	Durée : %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	Le magasin n'est pas ouvert actuellement, car il est en cours de gestion.
PREMIUM_PRIVATE_SHOP_NO_BUFF	Ce bouton est pour le magasin premium privé. Vous devez l'acquérir en boutique pour pouvoir l'utiliser.
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC1	Saisir le mot de passe
PREMIUM_PRIVATE_SHOP_PASSWORD_DESC2	pour ouvrir le magasin premium.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Mot de passe
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_REJECT_BUFF_MESSAGE	Vous ne pouvez pas ajouter de temps supplémentaire.
PREMIUM_PRIVATE_SHOP_USE_ITEM	Voulez-vous utiliser l'objet « Magasin premium privé » ?
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	Vous ne pouvez pas récupérer l'argent, car vous auriez alors plus de 3 000 Wons.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	Vous ne pouvez pas récupérer l'argent, car vous auriez plus de 2 milliards de Yangs.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	Il n'y a pas d'argent à récupérer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	Vous avez déposé plus de Wons que vous ne pouvez en retirer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	Vous avez déposé plus de Yangs que vous ne pouvez en retirer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	Vous ne pouvez pas récupérer l'argent, car vous avez indiqué un montant trop élevé.
PRIVATESHOPSEARCH_ABLITY_POTION	Rosée
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Tissu fin
PRIVATESHOPSEARCH_ARMOR	Armures
PRIVATESHOPSEARCH_ARROW	Flèches
PRIVATESHOPSEARCH_BELL	Gongs
PRIVATESHOPSEARCH_BELT	Ceintures
PRIVATESHOPSEARCH_BLEND	Potions
PRIVATESHOPSEARCH_BLOOD_PEARL	Perle de sang
PRIVATESHOPSEARCH_BLUE_PEARL	Perle bleue
PRIVATESHOPSEARCH_BODY	Armures
PRIVATESHOPSEARCH_BOW	Arcs
PRIVATESHOPSEARCH_BUYTIME	Souhaitez-vous acheter l'objet sélectionné ?
PRIVATESHOPSEARCH_CLAW	Griffes
PRIVATESHOPSEARCH_CLEAR_POTION	Élixirs
PRIVATESHOPSEARCH_COSTUME	Costumes
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Coiffure
PRIVATESHOPSEARCH_COSTUME_ACCE	Étole
PRIVATESHOPSEARCH_COSTUME_MOUNT	Monture
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Dagues
PRIVATESHOPSEARCH_DEAD	mort
PRIVATESHOPSEARCH_DETACHMENT	Livre des pierres
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchimie des pierres-dragons
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Saphir
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubis
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Grenat
PRIVATESHOPSEARCH_EAR	Boucles d'oreilles
PRIVATESHOPSEARCH_FAN	Éventails
PRIVATESHOPSEARCH_FISH	Poissons
PRIVATESHOPSEARCH_FOOTS	Chaussures
PRIVATESHOPSEARCH_GEM	Gemmes
PRIVATESHOPSEARCH_GIFTBOX	Coffrets cadeaux
PRIVATESHOPSEARCH_HEAD	Casques
PRIVATESHOPSEARCH_LIVE	vivant
PRIVATESHOPSEARCH_MATERIAL	Matériaux
PRIVATESHOPSEARCH_METIN	Pierres d'Esprit
PRIVATESHOPSEARCH_NECK	Colliers
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Vous ne pouvez pas acheter d'objets si vous ne possédez pas le bon paquet.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Vous ne pouvez pas chercher d'objets si vous ne possédez pas le bon paquet.
PRIVATESHOPSEARCH_NEED_ITEM_NAME	Recherche par nom
PRIVATESHOPSEARCH_NODELAY_POTION	Objets PV
PRIVATESHOPSEARCH_ORE	Minerai
PRIVATESHOPSEARCH_PET	Système de familier
PRIVATESHOPSEARCH_PETAGG	Œufs de familiers
PRIVATESHOPSEARCH_PETSKILLBOOK	Livres de compétence de familier
PRIVATESHOPSEARCH_PICK	Pioches
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_QUEST	Quête
PRIVATESHOPSEARCH_QUIVER	Carquois de flèches
