ACCE_ABSORB_COST	Costo combinazione: %d
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Questa mappa non è disponibile.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Non puoi visualizzare l'intera mappa.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Completa prima: %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Puoi teletrasportarti direttamente da un personaggio (non su un giocatore) solo se ti trovi sulla stessa mappa.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	La mappa selezionata non è disponibile per il livello attuale.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Puoi teletrasportarti nuovamente tra %d min.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Tra meno di 1 minuto potrai di nuovo teletrasportarti.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Se sei morto, non puoi teletrasportarti.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Non puoi teletrasportarti da un personaggio che si trova in un altro regno.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Non hai abbastanza %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Non puoi teletrasportarti da questo personaggio.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Non puoi teletrasportarti in un'istanza.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Non hai abbastanza %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	La mappa selezionata non è disponibile per il livello attuale.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Stai cavalcando, non puoi teletrasportarti.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Per teletrasportarti devi aver raggiunto il Livello Campione 1.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Non puoi teletrasportarti dal luogo in cui ti trovi attualmente.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Non hai abbastanza Pietre del teletrasporto.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Hai degli altri menù aperti, non puoi teletrasportarti.
NPC_LOCATION_HELPER_MAP_LOCKED	Non disponibile
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Possiedi già questa carta.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Devi attivare il Trova-personaggi.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Il Trova-personaggi non si può usare qui.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Non è possibile cambiare la mappa in questa zona.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Devi attivare il Trova-personaggi.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Devi attivare il Trova-personaggi.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Al momento non ti puoi teletrasportare.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Riprova.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Qui non è disponibile alcuna mappa.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	La %s è stata completata. Ora puoi usufruire di tutte le funzioni della %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	La zona di questo mostro ti è già stata mostrata.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Non puoi visualizzare la zona esatta di un mostro che appare solo su un'altra mappa.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	La zona del mostro selezionato è sconosciuta.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Al momento non disponibile) Non hai l'oggetto necessario per scoprire dove si trova questo mostro.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Al momento non disponibile) Seleziona un mostro di cui vorresti sapere dove compare.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	La zona in cui %s compare viene mostrata sulla mappa.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Non hai abbastanza Pietre del teletrasporto.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	Il personaggio selezionato è nelle vicinanze.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Scegli la regione.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Non si può più utilizzare.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Alchimia delle Pietre del drago
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Fusione
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Produzione
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Ingresso del dungeon.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Mercante di equipaggiamento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Evento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Necessario per la pesca
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Beni di consumo
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Terreno della gilda
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Insegnante
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Posta
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Scienza mineraria
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Cavalcature
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Altri personaggi
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portali
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Miglioramento
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teletrasporto
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Amministratore dei magazzini
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Vuoi attivare il Trova-personaggi?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	oppure
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Vuoi usare %d Pietra/e del teletrasporto+ per teletrasportarti qui: %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Necessario per il teletrasporto:
OKEY_EVENT_MESSAGE_CARD_GAIN	Ottieni Set di carte Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Ottieni delle Carte Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Non puoi giocare a Okey finché hai delle altre finestre aperte.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Per partecipare bisogna aver raggiunto almeno il livello 70.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	No hai abbastanza item o soldi per giocare.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Non puoi ottenere altri Set di carte Okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s fa ora parte delle emozioni.
OPTION_ESCAPE_BUTTON_COOLTIME	Riprova più tardi.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Al momento non ti puoi liberare. Riprova più tardi.
OPTION_ESCAPE_FAR_DISTANCE	Non puoi liberarti perché ti sei mosso per più di 10 metri.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Non ti sei liberato.
OPTION_ESCAPE_QUESTION_MESSAGE	Sarai teletrasportato verso un luogo libero oppure nel villaggio.\n Vuoi liberare il tuo personaggio?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Usa questa opzione se dovessi rimanere bloccato.
OPTION_ESCAPE_WAIT_MESSAGE	Sarai liberato tra %d sec.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità Gilda se non appartieni ad una Gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi usare la configuarazione PvP.
OPTION_PVPMODE_PROTECT	Devi aver raggiunto il livello %d per modificare la modalità PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Vuoi abbandonare la battaglia?
OTHER_WORLD_EXCHANGE_COOLTIME	Riprova più tardi.
OTHER_WORLD_EXCHANGE_FAIL	Sfortunatamente, dopo lo scambio, non hai ricevuto nulla.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Non è possibile utilizzare un numero di item superiore alla quantità di item massima consentita.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Scambio Fiamme letali
OTHER_WORLD_GET_DEAD_SOUL	Hai ricevuto %dx Anima defunta.
OTHER_WORLD_GET_HELL_GATE_KEY	Hai ricevuto %dx Chiave Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Hai ricevuto %dx Lettera oscura.
OTHER_WORLD_GET_REINCARNATION_WATER	Hai ottenuto %dx Acqua della vita.
OTHER_WORLD_GET_WISP	Hai ricevuto %dx Fiamme letali.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Seleziona l'Araldo della terra che vuoi affrontare.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Quando un personaggio muore, il tempo del timer del dungeon diminuisce di 1 minuto.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	L'Acqua della vita non è disponibile.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Elimina tutti i mostri nel tempo stabilito.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Sconfiggi l'Araldo della notte senza morire.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Sconfiggi Asmodeus prima che scada il tempo.
PAID_CHARACTER_COUNT_TOOLTIP	Personaggi premium: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Non puoi più creare alcun personaggio.
PAID_CHARACTER_CREATE_MODE	(Personaggio premium)
PAID_CHARACTER_CREATE_QUESTION	Vuoi creare un personaggio premium?
PAID_CHARACTER_CREATE_TOOLTIP	Crea un personaggio premium
PAID_CHARACTER_DELETE_CONFIRM_1	Se lo elimini, dovrai acquistare un altro Ticket personaggio premium prima di poter creare un nuovo personaggio premium.
PAID_CHARACTER_DELETE_CONFIRM_2	Sei sicuro di voler continuare con l'eliminazione?
PAID_CHARACTER_DELETE_RETRY	Questo non è il personaggio selezionato.\nRiprova.
PAID_CHARACTER_FULL_CAPACITY	Non puoi creare altri personaggi premium.
PAID_CHARACTER_NEED_TICKET	Hai bisogno di un Ticket personaggio premium per creare un personaggio premium.
PAID_CHARACTER_SELECT_TOOLTIP	Personaggio premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Pass personaggio: %d
PAID_CHARACTER_TICKET_LOADING	Sta caricando...
PARTY_ANSWER_TIMEOVER	L'invito è stato rifiutato.
PARTY_BONUS_ATTACKER	Valore d'attacco: +%d	SA
PARTY_BONUS_BERSERKER	Velocità d'attacco: +%d	SA
PARTY_BONUS_BUFFER	Durata dell'abilità: +%d	SA
PARTY_BONUS_DEFENDER	Difesa +%d%%	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Ripristino HP per ogni kill +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Sciogli gruppo
PARTY_DO_YOU_ACCEPT	  desidera entrare nel gruppo.
PARTY_DO_YOU_JOIN	 ti ha invitato a unirti al suo gruppo. Accetti?
PARTY_EXP_DISTRIBUTION_MODE	Divisione per EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	In base al livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri di livello più alto ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Equilibrato
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricevono la stessa quantità di EXP.
PARTY_HEAL_ALL_MEMBER	Rigenerare tutto
PARTY_INCREASE_AREA_150	Raggio d'azione del gruppo alzato di fattore 1,5.	SNA
PARTY_INCREASE_AREA_200	Raggio d'azione del gruppo alzato di fattore 2.	SNA
PARTY_LEAVE	Abbandona il gruppo.
PARTY_LONGTIME_BONUS_EXP	EXP bonus per un gioco di gruppo lungo: +%d%%	SA
PARTY_MATCH_CANCEL	La Ricerca gruppi per [%s] è stata annullata.
PARTY_MATCH_FAIL_FULL_MEMBER	Il tuo gruppo non può accettare altri membri.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Non puoi registrarti per questo Dungeon.
PARTY_MATCH_FAIL_LEVEL	Il tuo livello è troppo basso.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	%s, uno dei membri del gruppo, non soddisfa i requisiti necessari.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Scegli innanzitutto un Dungeon.
PARTY_MATCH_FAIL_NOT_LEADER	Solo il capogruppo può effettuare la registrazione.
PARTY_MATCH_FAIL_NO_ITEM	Non hai abbastanza %s.
PARTY_MATCH_SEARCHING	Cerca
PARTY_MATCH_START	Hai registrato il tuo gruppo per il seguente Dungeon: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Chiamare a sè un membro del gruppo.
PARTY_REGEN_BONUS	Bonus per HP + Rigenerazione MP: +%d%%	SA
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_RK_CATEGORY_CZ_CHICKEN	Classifica del Guardiano Yu
PARTY_RK_CATEGORY_CZ_COW	Classifica del Guardiano Chou
PARTY_RK_CATEGORY_CZ_DOG	Classifica del Guardiano Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Classifica del Guardiano Chen
PARTY_RK_CATEGORY_CZ_HORSE	Classifica del Guardiano Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Classifica del Guardiano Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Classifica del Guardiano Zi
PARTY_RK_CATEGORY_CZ_PIG	Classifica del Guardiano Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Classifica della Guardiana Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Classifica del Guardiano Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Classifica della Guardiana Si
PARTY_RK_CATEGORY_CZ_TIGER	Classifica del Guardiano Yin
PARTY_SET_ATTACKER	Annotare come aggressore.
PARTY_SET_BERSERKER	Annotare come feroce.
PARTY_SET_BUFFER	Annotare come bloccatore.
PARTY_SET_DEFENDER	Annotare come difensore.
PARTY_SET_NORMAL	Annullare le impostazioni.
PARTY_SET_SKILL_MASTER	Annotare come maestro delle abilità.
PARTY_SET_TANKER	Annotare come lottatore corpo a corpo.
PARTY_SKILL_ATTACKER	Valore d'attacco base aggressore  +%.0f
PARTY_SKILL_BERSERKER	Velocità d'attacco feroce +%.0f
PARTY_SKILL_BUFFER	Durata dell'abilità bloccatore +%.0f
PARTY_SKILL_DEFENDER	Difesa nel ruolo di difensore +%.0f%%
PARTY_SKILL_HP_REGEN	Rigenerazione HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Raggio d'azione del gruppo +%d%%
PARTY_SKILL_SKILL_MASTER	Rigenerazione HP nel ruolo di maestro delle abilità +%.0f%%
PARTY_SKILL_SP_REGEN	Rigenerazione MP +%.0f%%
PARTY_SKILL_TANKER	Max. HP lottatore corpo a corpo +%.0f
PARTY_SKILL_WARP	Capacità di chiamare a sè i membri del gruppo.
PASSIVE_ATTR_ADD_FAIL	L'operazione non è andata a buon fine! Non è stato possibile trasferire i bonus sulla Reliquia dell'anima.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	La Reliquia dell'anima non può più assorbire alcun bonus.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Ti serve una Reliquia dell'anima per la tua classe.
PASSIVE_ATTR_ADD_SUCCESS	Fantastico! I bonus sono stati trasferiti sulla Reliquia dell'anima.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	La Reliquia dell'anima è già carica.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Non è necessario ricaricare la Reliquia dell'anima.
PASSIVE_ATTR_CHARGE_QUESTION	Vuoi ricaricare la Reliquia dell'anima?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	La Reliquia dell'anima è stata ricaricata completamente.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Non è possibile eseguire questa operazione durante l'attivazione.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Riprova più tardi.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Ti serve un'anima adatta.
PASSIVE_ATTR_TOOLTIP_LINE1	1. È possibile utilizzare 4 anime per aggiungere attributi alle Reliquie dell'anima specifiche di classe o per prolungarne la durata.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Gli attributi aggiunti non possono essere modificati. Una volta attivati, ti garantiscono dei bonus e la loro durata viene ridotta.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Anche dopo la scadenza, la reliquia non scompare e può essere riattivata non appena il tempo è stato ricaricato.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Le reliquie possono essere ottenute completando missioni ripetibili. Potrai accettarla dopo aver completato le missioni del ferito nella Piana Dongan.
PASSIVE_ATTR_TOOLTIP_LINE5	(Le quest saranno disponibili non appena avrai raggiunto il livello 120 e completato la quest "Il rituale del turbamento").
PASSIVE_ATTR_TOOLTIP_LINE6	5. Le anime possono essere acquistate anche nello Shop.
PASSIVE_ATTR_TOOLTIP_TITLE	Bonus Reliquia
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Ti serve una Reliquia dell'anima per la tua classe.
PASSIVE_JOB_DESTROY_POPUP	Una volta rimossa, la Reliquia dell'anima verrà distrutta. Vuoi continuare?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Una volta attivata, la reliquia non potrà più essere ceduta.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Procedendo, perderai gli oggetti. Vuoi continuare?
PASSIVE_JOB_LEFT_TIME	Tempo rimanente: %s
PASSIVE_JOB_MAX_TIME	Durata massima della reliquia: %s
PASSWORD_TITLE	Password Magazzino
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Vuoi modificare gli attributi del tuo pet?\n Quest'azione consuma l'item Incanta pet.\n Il processo potrebbe non andare a buon fine.
PET_ATTR_CHANGE_USE	Non è possibile eseguire quest'azione durante la modifica degli attributi del pet.
PET_ATTR_DETERMINE_TYPE1	Tipologia 1: goffo. Non è particolarmente forte.\nCon il tempo puoi migliorarne le abilità.
PET_ATTR_DETERMINE_TYPE2	Tipologia 2: curioso. Non è particolarmente forte.\nÈ un compagno fedele che con il tempo migliora le proprie abilità.
PET_ATTR_DETERMINE_TYPE3	Tipologia 3: intrepido. È moderatamente forte.\nCon il tempo puoi migliorarne le abilità.
PET_ATTR_DETERMINE_TYPE4	Tipologia 4: coraggioso. È moderatamente forte.\nÈ un compagno fedele che con il tempo migliora le proprie abilità.
PET_ATTR_DETERMINE_TYPE5	Tipologia 5: temerario. È forte.\nCon il tempo puoi migliorarne ulteriormente le abilità.
PET_ATTR_DETERMINE_TYPE6	Tipologia 6: leggendario. È forte.\nÈ un compagno fedele che con il tempo migliora ulteriormente le proprie abilità.
PET_ATTR_DETERMINE_TYPE7	Tipologia 7: mitico. È molto forte.\nCon il tempo, sprigionerà tutto il suo potenziale.
PET_ATTR_DETERMINE_TYPE8	Tipologia 8: prismatico. È estremamente forte.\nÈ un compagno fedele del quale ci si può fidare a occhi chiusi.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Prima devi evocare il tuo pet.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Per questo livello di evoluzione, il personaggio deve aver raggiunto il livello Campione 1.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Per questo livello di evoluzione, il personaggio deve aver raggiunto il livello Campione 15.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s non otterrà ulteriori EXP.
PET_CANNOT_FEED_CUBEOPEN	Non puoi nutrire il tuo pet, se la finestra del raffinamento è aperta.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	È disponibile solo per i pet che hanno raggiunto il livello Campione.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	In questo slot è possibile selezionare solo Uova del pet.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Non puoi modificare gli attributi di un pet morto.
PET_CAN_NOT_EGG_ITEM_USE	Non puoi aprire l'Incubatrice mentre stai commerciando, oppure mentre il tuo magazzino o il negozio privato sono aperti.
PET_CAN_NOT_FEED_SPLIT_ITEM	Non puoi inserire un oggetto diviso in questa finestra.
PET_CAN_NOT_FEED_TYPE	In questo modo non potrai dar da mangiare al tuo pet. Prova con un'altra azione.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il livello %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il 100% di esperienza.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Il tuo pet deve aver raggiunto il livello Campione %d prima di poterlo evolvere.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Il tuo pet ha già raggiunto il massimo livello di evoluzione.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Non puoi aprire un negozio privato se hai già chiamato il tuo pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto %d giorni di età.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Non puoi chiamare il pet perché il tempo è scaduto.
PET_CAN_NOT_USE_BAG	Non puoi usare il Trasportino se il periodo di utilizzo del pet è scaduto.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	In questo slot è possibile selezionare solo Uova del pet.
PET_CAN_REGISTER_PET_EGG	Se hai uno slot libero, puoi selezionare una delle tue Uova del pet.
PET_CAN_SPECIAL_EVOL	Per questo livello di evoluzione servono Libri del pet eroici.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Penetrazione blocco (% del tot.)
PET_CONQUEROR_BILITIES_HIT_PCT	Precisione in percentuale
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Volontà SungMa (RES) in %
PET_EGG_REMOVE_ANSWER_1	Conferma
PET_EGG_REMOVE_ANSWER_2	Annulla
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Vuoi rimuovere nuovamente il %s selezionato?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Se rimuovi l'uovo, non è possibile recuperarlo.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Questo pet non ha delle abilità che si possano resettare.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Il tuo pet ha acquisito un'abilità potenziale (%s).
PET_HATCHING_ACCEPT	Vuoi chiamare il tuo pet "%s"?
PET_HATCHING_MONEY	Prezzo: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Non puoi eseguire nessuna interazione mentre l'Incubatrice è aperta.
PET_INFORMATION_STAGE1	Cucciolo
PET_INFORMATION_STAGE2	Selvatico
PET_INFORMATION_STAGE3	Coraggioso
PET_INFORMATION_STAGE4	Eroico
PET_INFORMATION_STAGE5	Risvegliato
PET_INFORMATION_STAGE6	Potente
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f%%
PET_INFO_CONQUEROR_BUTTON	Campione
PET_INFO_CONQUEROR_EXP	EXP livello Campione attuali: %s
PET_INFO_EXP	EXP attuali: %s
PET_INFO_ITEM_EXP	EXP item attuali: %s
PET_INFO_NEXT_CONQUEROR_EXP	EXP livello Campione rimanenti: %s
PET_INFO_NEXT_EXP	EXP rimanenti: %s
PET_INFO_NEXT_ITEM_EXP	EXP item rimanenti: %s
PET_INFO_NORMAL_BUTTON	Normale
PET_INFO_POTENTIAL_BUTTON	Potenziale
PET_INFO_POTENTIAL_LEFT_TIME	Tempo rimanente: %s
PET_INFO_POTENTIAL_SKILL	Abilità potenziali
PET_INFO_SKILL_BUTTON	Abilità del pet
PET_MSG_NOT_ENOUGH_MONEY	Non hai abbastanza Yang.
PET_NAME_CHANGE_ACCEPT	Vuoi modificare il nome del tuo pet in "%s"?
PET_NAME_MIN	Il nome inserito è troppo corto.
PET_NOTICE_POTENTIAL_SKILL_EFFECT	L'abilità potenziale "%s" è ora attiva.
PET_OPEN_POTENTIAL_SKILL_SLOT_1	1° slot per le abilità potenziali sbloccato
PET_OPEN_POTENTIAL_SKILL_SLOT_2	2° slot per le abilità potenziali sbloccato
PET_REGISTER_ANSWER_1	Conferma
PET_REGISTER_ANSWER_2	Annulla
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_1	Vuoi scegliere questo Uovo del pet?
PET_REGISTER_IN_POTENTIAL_SLOT_QUESTION_2	Se selezioni l'uovo, questo verrà rimosso dall'inventario.
PET_REMOVE_POTENTIAL_SKILL_SUCCESS	L'abilità potenziale "%s" è stata rimossa.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Non hai un pet da resuscitare.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Non hai abbastanza materiale.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Ora le abilità sono disponibili.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Il reset della/delle abilità del tuo pet è irreversibile.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Vuoi continuare?
PET_SKILL_LEARN_FAIL_CONDITIONS	Il tuo pet non ha il livello richiesto. Solo i pet eroi possono apprendere le abilità.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Vuoi avviare l'addestramento eroico con "%s".
PET_SKILL_TOOLTIP_COOLTIME	Tempo di ricarica: %d secondi
PET_SKILL_TOOLTIP_DURATION	Durata: %d secondi
