ACCEPT	ÎÊ
LANGUAGE_ES	Èñïàíñêèé
LANGUAGE_FR	Ôğàíöóçñêèé
LANGUAGE_GR	Ãğå÷åñêèé
LANGUAGE_HU	Âåíãåğñêèé
LANGUAGE_IT	Èòàëüÿíñêèé
LANGUAGE_NL	Íèäåğëàíäñêèé
LANGUAGE_NONE	Íè÷åãî íå âûáğàíî
LANGUAGE_PL	Ïîëüñêèé
LANGUAGE_PT	Ïîğòóãàëüñêèé
LANGUAGE_RO	Ğóìûíñêèé
LANGUAGE_RU	Ğóññêèé
LANGUAGE_TR	Òóğåöêèé
LEFT_SEAT	Íå â èãğå
LEFT_SEAT_10_MIN	10 ìèí.
LEFT_SEAT_30_MIN	30 ìèí.
LEFT_SEAT_60_MIN	60 ìèí.
LEFT_SEAT_90_MIN	90 ìèí.
LEFT_SEAT_120_MIN	120 ìèí.
LEFT_SEAT_180_MIN	180 ìèí.
LEFT_SEAT_LOGOUT	Âûéòè
LEFT_SEAT_OFF	ÂÛÊË
LOAD_ERROR	Ôàéë äàííûõ ïîâğåæä¸í. Ïîïğîáóéòå óñòàíîâèòü Êëèåíò çàíîâî. Íàæìèòå ñåé÷àñ íà ' ESC '.
LOGIN_CONNECT	Ñîåäèíèòü
LOGIN_CONNECTING	Ïğîèñõîäèò ñîåäèíåíèå ñ ñåğâåğîì.
LOGIN_DEFAULT_SERVERADDR	Èìÿ ñåğâåğà, Êàíàë 1
LOGIN_EXIT	Âûõîä
LOGIN_ID	Èìÿ ïîëüçîâàòåëÿ
LOGIN_PASSWORD	Ïàğîëü
LOGIN_REGION_TITLE	Âûáğàòü ìåñòî äëÿ ñ÷¸òà
LOGIN_SELECT_BUTTON	Âûáğàòü
LOGIN_SELECT_EXIT	Âûõîä
LOGIN_SELECT_OK	ÎÊ
LOGIN_SELECT_TITLE	Âûáğàòü ñåğâåğ
LOOTING_SYSTEM_ARMOR	Áğîíÿ
LOOTING_SYSTEM_CATEGORY_COMMON	Ïğî÷åå
LOOTING_SYSTEM_CATEGORY_COMMON_BELT	Ïîÿñà
LOOTING_SYSTEM_CATEGORY_COMMON_EAR	Ñåğüãè
LOOTING_SYSTEM_CATEGORY_COMMON_FOOTS	Òóôëè
LOOTING_SYSTEM_CATEGORY_COMMON_GLOVE	Ïåğ÷àòêè
LOOTING_SYSTEM_CATEGORY_COMMON_NECK	Îæåğåëüÿ
LOOTING_SYSTEM_CATEGORY_COMMON_PENDANT	Òàëèñìàíû
LOOTING_SYSTEM_CATEGORY_COMMON_PICK	Êèğêè
LOOTING_SYSTEM_CATEGORY_COMMON_ROD	Óäî÷êè
LOOTING_SYSTEM_CATEGORY_COMMON_SHIELD	Ùèòû
LOOTING_SYSTEM_CATEGORY_COMMON_WRIST	Áğàñëåòû
LOOTING_SYSTEM_CATEGORY_COSTUME	Êîñòşì
LOOTING_SYSTEM_CATEGORY_COSTUME_ACCE	Øàğôû
LOOTING_SYSTEM_CATEGORY_COSTUME_ARMOR	Êîñòşìû
LOOTING_SYSTEM_CATEGORY_COSTUME_AURA	Îäåÿíèÿ àóğû
LOOTING_SYSTEM_CATEGORY_COSTUME_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_COSTUME_HAIR	Ïğè÷åñêè
LOOTING_SYSTEM_CATEGORY_COSTUME_WEAPON	Îáëèêè îğóæèÿ
LOOTING_SYSTEM_CATEGORY_DS	Òèï
LOOTING_SYSTEM_CATEGORY_DS_DS	Êîğ Äğàêîíèñ
LOOTING_SYSTEM_CATEGORY_DS_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_ETC	Ïğî÷åå
LOOTING_SYSTEM_CATEGORY_ETC_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_ETC_GIFTBOX	Ïîäàğî÷íûå ëàğöû
LOOTING_SYSTEM_CATEGORY_ETC_MATRIMONY	Ñâàäüáà è Áğàê
LOOTING_SYSTEM_CATEGORY_ETC_PARTY	Ãğóïïà
LOOTING_SYSTEM_CATEGORY_ETC_POLYMORPH	Ïğåâğàùåíèå
LOOTING_SYSTEM_CATEGORY_ETC_RECIPE	Èçãîòîâëåíèå
LOOTING_SYSTEM_CATEGORY_ETC_SEAL	Ïåğãàìåíòû
LOOTING_SYSTEM_CATEGORY_ETC_WEAPON_ARROW	Ñòğåëû
LOOTING_SYSTEM_CATEGORY_FISH_MINING	Òèï
LOOTING_SYSTEM_CATEGORY_FISH_MINING_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_FISH_MINING_FOOD	Ïèòàíèå
LOOTING_SYSTEM_CATEGORY_FISH_MINING_STONE	Ğóäû è êàìíè
LOOTING_SYSTEM_CATEGORY_JOB	Êëàññ
LOOTING_SYSTEM_CATEGORY_JOB_ASSASSIN	Íèíäçÿ
LOOTING_SYSTEM_CATEGORY_JOB_PUBLIC	Ïğî÷åå
LOOTING_SYSTEM_CATEGORY_JOB_SHAMAN	Øàìàí
LOOTING_SYSTEM_CATEGORY_JOB_SURA	Ñóğà
LOOTING_SYSTEM_CATEGORY_JOB_WARRIOR	Âîèí
LOOTING_SYSTEM_CATEGORY_JOB_WOLFMAN	Ëèêàí
LOOTING_SYSTEM_CATEGORY_MOUNT_PET	Òèï
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_CHARGED_PET	Ïèòîìöû
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_EGG	ßéöà ïèòîìöåâ
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_FREE_PET	Äëÿ ïèòîìöåâ
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_MOUNT	Åçäîâûå æèâîòíûå
LOOTING_SYSTEM_CATEGORY_POTION	Òèï
LOOTING_SYSTEM_CATEGORY_POTION_ABILITY	Ìàòåğèàëû
LOOTING_SYSTEM_CATEGORY_POTION_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_POTION_HAIRDYE	Êğàñêà äëÿ âîëîñ
LOOTING_SYSTEM_CATEGORY_REFINE	Òèï
LOOTING_SYSTEM_CATEGORY_REFINE_ALCHEMY	Ïîâûøàåò âåğîÿòíîñòü
LOOTING_SYSTEM_CATEGORY_REFINE_ETC	Äğóãîå
LOOTING_SYSTEM_CATEGORY_REFINE_MATERIAL	Ìàòåğèàëû
LOOTING_SYSTEM_CATEGORY_REFINE_STONE	Êàìåíü äóõà
LOOTING_SYSTEM_CATEGORY_UNIQUE	Òèï
LOOTING_SYSTEM_CATEGORY_UNIQUE_ABILITY	Ïîòğåá. òîâàğû
LOOTING_SYSTEM_CATEGORY_UNIQUE_ETC	Äğóãîå
LOOTING_SYSTEM_COMMON	Îñîáîå ñíàğÿæåíèå
LOOTING_SYSTEM_COSTUME	Êîñòşì
LOOTING_SYSTEM_DS	Àëõèìèÿ êàìíåé Äğàêîíà
LOOTING_SYSTEM_ETC	Äğóãîé ïğåäìåò
LOOTING_SYSTEM_EVENT	Ïğåäìåò äëÿ ñîáûòèÿ
LOOTING_SYSTEM_EXIT_WITHOUT_SAVING	Çàêğûòü áåç ñîõğàíåíèÿ?
LOOTING_SYSTEM_EXIT_WITH_SAVING	Ñîõğàíèòü è çàêğûòü? Èçìåíåíèÿ âñòóïÿò â ñèëó, êîãäà âû èñïîëüçóåòå ïğîïóñê äîáû÷è.
LOOTING_SYSTEM_FISH_MINING	Ğûáàëêà è ãîğíîå äåëî
LOOTING_SYSTEM_HEAD	Øëåì
LOOTING_SYSTEM_INIT	Ñáğîñèòü
LOOTING_SYSTEM_INIT_QUESTION_DIALOG_TITLE	Õîòèòå ñáğîñèòü íàñòğîéêè?
LOOTING_SYSTEM_MESSAGE_ENABLE_VOUCHER	Ôóíêöèè àêòèâèğóşòñÿ ñ ïğîïóñêîì äîáû÷è
LOOTING_SYSTEM_MESSAGE_POSSIBLE_ITEM_PICKUP	Âû ïîëó÷àåòå äîáû÷ó ñîãëàñíî íàñòğîéêàì.
LOOTING_SYSTEM_MOUNT_PET	Åçäîâûå æèâîòíûå è ïèòîìöû
LOOTING_SYSTEM_OFF	ÂÛÊË
LOOTING_SYSTEM_ON	ÂÊË
LOOTING_SYSTEM_POTION	Çåëüÿ
LOOTING_SYSTEM_QUESTION_ARMOR	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà áğîíè.
LOOTING_SYSTEM_QUESTION_COMMON	Âû ìîæåòå íàñòğîèòü ïàğàìåòğû ñáîğà ïğî÷èõ ïğåäìåòîâ, êîòîğûå ìîãóò èñïîëüçîâàòü âñå êëàññû.
LOOTING_SYSTEM_QUESTION_COSTUME	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà êîñòşìîâ (îğóæèÿ, áğîíè, ãîëîâíûõ óáîğîâ, øàğôîâ è îäåÿíèé àóğû).
LOOTING_SYSTEM_QUESTION_DS	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ïğåäìåòîâ Àëõèìèè êàìíåé Äğàêîíà.
LOOTING_SYSTEM_QUESTION_ETC	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà äëÿ äğóãèõ ïğåäìåòîâ èç ñëåäóşùèõ êàòåãîğèé: ñíàğÿæåíèå, êîñòşìû, óëó÷øåíèå, çåëüÿ, åçäîâûå æèâîòíûå, ïèòîìöû, ğûáàëêà, ãîğíîå äåëî, êíèãè íàâûêîâ è ïğåäìåòû ñîáûòèÿ.
LOOTING_SYSTEM_QUESTION_EVENT	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà ïğåäìåòîâ ê ñîáûòèş.
LOOTING_SYSTEM_QUESTION_FISH_MINING	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà ïğåäìåòîâ äëÿ ğûáàëêè è ãîğíîãî äåëà.
LOOTING_SYSTEM_QUESTION_HEAD	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà ïğåäìåòîâ Àëõèìèè êàìíåé Äğàêîíà.
LOOTING_SYSTEM_QUESTION_MOUNT_PET	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà åçäîâûõ æèâîòíûõ è ïèòîìöåâ.
LOOTING_SYSTEM_QUESTION_POTION	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà çåëèé.
LOOTING_SYSTEM_QUESTION_REFINE	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà ïğåäìåòîâ äëÿ óëó÷øåíèÿ.
LOOTING_SYSTEM_QUESTION_SKILL_BOOK	Âêëş÷àåò â ñåáÿ êíèãè íàâûêîâ äëÿ íåêîòîğûõ êëàññîâ, à òàêæå íàâûêîâ êîíÿ.
LOOTING_SYSTEM_QUESTION_UNIQUE	Çäåñü ìîæíî íàñòğîèòü ïàğàìåòğû ñáîğà óíèêàëüíûõ ïğåäìåòîâ.
LOOTING_SYSTEM_QUESTION_WEAPON	Ê îğóæèş îòíîñèòñÿ âñ¸ îğóæèå, êîòîğîå ìîæíî âûáğàòü, êğîìå ñòğåë.
LOOTING_SYSTEM_REFINE	Óëó÷øåíèå
LOOTING_SYSTEM_SAVE	Ñîõğàíèòü
LOOTING_SYSTEM_SAVING	Õîòèòå ñîõğàíèòü?\nÔóíêöèè àêòèâèğóşòñÿ, êîãäà ïğèìåíÿåòñÿ Ïğîïóñê äîáû÷è.
LOOTING_SYSTEM_SKILL_BOOK	Êíèãà íàâûêîâ
LOOTING_SYSTEM_TITLE	Ôèëüòğ äîáû÷è
LOOTING_SYSTEM_UNIQUE	Óíèêàëüíûå
LOOTING_SYSTEM_WEAPON	Îğóæèå
LOOTING_SYSTEM_WEARING_LEVEL	Íóæíûé óğîâåíü
LUCKY_BOX_NOTICE_YANG	Ïëàòà â ÿíã çà «Íîâûé ïğåäìåò íàóäà÷ó»
LUCKY_BOX_RECV_BUTTON	Ïğèíÿòü ïğåäìåò
LUCKY_BOX_RECV_NAME	Ñîäåğæèìîå:
LUCKY_BOX_RETRY_BUTTON	«Íîâûé ïğåäìåò íàóäà÷ó»
LUCKY_BOX_TITLE_NAME	ßùè÷åê óäà÷è
MAILBOX_POST_ALL_DELETE_BUTTON	Óäàëèòü âñå
MAILBOX_POST_ALL_RECEIVE	Ïğèíÿòü âñå
MAILBOX_POST_READ_BLOCK	Áëîêèğîâàòü
MAILBOX_POST_READ_DELETE	Óäàëèòü
MAILBOX_POST_READ_FROM	Îò:
MAILBOX_POST_READ_MAIN_TITLE	Ñîîáùåíèå
MAILBOX_POST_READ_RECV	Ïğèíÿòü
MAILBOX_POST_READ_TITLE	Òåìà:
MAILBOX_POST_SEND_TITLE	Ñîîáùåíèå
MAILBOX_POST_WRITE_BUTTON_TEXT	Îòïğàâèòü
MAILBOX_POST_WRITE_CLOSE_TEXT	Çàêğûòü
MAILBOX_POST_WRITE_CONFIRM_TEXT	Ïğîâåğèòü ïîëó÷àòåëÿ
MAILBOX_POST_WRITE_SEND_TEXT	Îòïğàâèòü
MAILBOX_POST_WRITE_TITLE	Òåìà:
MAILBOX_POST_WRITE_TO	Êîìó:
MAILBOX_TITLE	Âõîäÿùèå
MALL_PASSWORD_TITLE	Ïàğîëü
MALL_TITLE	Ñêëàä ìàãàçèíà
MARKET_TITLE	Çàãğóçêà
MARKLIST_REFRESH	Îáíîâèòü
MARKLIST_TITLE	Ğåãèñòğèğîâàòü ñèìâîë ãèëüäèè
MC_ACHIEV_ABLE_REGIST	Çàáğàòü
MC_ACHIEV_APPLY	Ïğèìåíèòü
MC_ACHIEV_APPLYING	Àêòèâíî
MC_ACHIEV_BONUS_NONE	Áåç áîíóñà
MC_ACHIEV_DISABLE	Íåàêòèâíî
MC_ACHIEV_DUNGEON	Äîñòèæåíèÿ â ïîäçåìåëüå
MC_ACHIEV_DUNGEON_BONUS	Áîíóñ çà ïîäçåìåëüå
MC_ACHIEV_FIELD	Äîñòèæåíèÿ â ïîëå
MC_ACHIEV_FIELD_BONUS	Áîíóñ çà ïîëå
MC_ACHIEV_REGIST	Çàáğàòü äîñòèæåíèå
MC_ACHIEV_SHOW	Äåòàëè
MC_ACHIEV_SORT_ABLE_REGIST	Çàáğàòü
MC_ACHIEV_SORT_ALL	Âñå
MC_ACHIEV_SORT_APPLYING	Àêòèâíî
MC_ACHIEV_SORT_DISABLE	Íå âûïîëíåíî
MC_ACHIEV_SORT_REGIST	Ìîæíî àêòèâèğîâàòü
MC_EXCHANGE_BUTTON	Îáìåíÿòü
MC_MISSION_INIT_BUTTON	Èçìåíèòü óğîâåíü çàäàíèÿ
MC_MOTION_BUTTON	Äâèæåíèå
MC_POLY_BUTTON	Ïğåâğàòèòüñÿ
MC_PROMOTION_BUTTON	Óëó÷øèòü
MC_REQUEST_MISSION_BUTTON	Ïîëó÷èòü çàäàíèå
MC_REWARD_CARD_BUTTON	Ïîëó÷èòü êàğòó ìîíñòğà
MC_SHUFFLE_BUTTON	Èçìåíèòü ïîğÿäîê êàğò çàäàíèé
MC_SUMMON_BUTTON	Ïğèçâàòü
MC_TAB_BUTTON_ACHIEV	Áîíóñû çà äîñòèæåíèÿ
MC_TAB_BUTTON_CARD_MISSION	Çàäàíèå ñ êàğòû
MC_TAB_BUTTON_PARTY	Èç ïîäçåìåëèé
MC_TAB_BUTTON_SOLO	Íå èç ïîäçåìåëèé
MC_WARP_BUTTON	Òåëåïîğòèğîâàòü
MERCENARY_MANAGE_DELAY_CURE	Äîëãîå ëå÷åíèå
MERCENARY_MANAGE_DRAIN_MAIN	Íàåìíèê-ó÷åíèê
MERCENARY_MANAGE_DRAIN_START	Îáó÷åíèå
MERCENARY_MANAGE_DRAIN_SUB	Íàåìíèê-ó÷èòåëü
MERCENARY_MANAGE_EXP	Î÷êè îïûòà íàåìíèêà
MERCENARY_MANAGE_FIRE	Óâîëèòü
MERCENARY_MANAGE_IMMEDIATELY_CURE	Áûñòğîå ëå÷åíèå
MERCENARY_MANAGE_INFO	Î íàåìíèêå
MERCENARY_MANAGE_LEVEL	Óğîâåíü íàåìíèêà
MERCENARY_MANAGE_LEVELUP	Ïîäíÿòü óğîâåíü íàåìíèêà
MERCENARY_MANAGE_NAME	Èìÿ
MERCENARY_MANAGE_NEXT_EXP	Íóæíûé äëÿ çàäàíèÿ îïûò
MERCENARY_MANAGE_NEXT_LEVEL	Ñëåäóşùèé óğîâåíü
MERCENARY_MANAGE_REGIST_DRAIN	Îáó÷åíèå
MERCENARY_MANAGE_SKILL	Íàâûê
MERCENARY_MANAGE_SPECIFICITY	Ñïåöèàëèçàöèÿ
MERCENARY_MISSION_ACTIVE	Çàïàñ ñèë
MERCENARY_MISSION_ALL_CANCLE	Óâîëèòü âñåõ
MERCENARY_MISSION_AUTO_JOIN	Àâòî-âûáîğ
MERCENARY_MISSION_BONUS_REWARD	Ïîëó÷èòü áîíóñíóş íàãğàäó!
MERCENARY_MISSION_CURRENT_INFO	Ñòàòóñ çàäàíèé
MERCENARY_MISSION_DECREASE_RUNTIME	Óìåíüøèòü äëèòåëüíîñòü çàäàíèÿ
MERCENARY_MISSION_DECREAS_INJURE	Ñíèæàåò ğèñê ğàíåíèÿ
MERCENARY_MISSION_DISPATCH_BENEFITS	Áîíóñû ãğóïïû
MERCENARY_MISSION_DISPATCH_MERCENARY	Îòïğàâèòü íàåìíèêà
MERCENARY_MISSION_EXP_BONUS	Ïîëó÷èòü áîíóñíûå î÷êè îïûòà!
MERCENARY_MISSION_INFO	Î çàäàíèè
MERCENARY_MISSION_JOIN	Ó÷àñòâîâàòü
MERCENARY_MISSION_LIMIT_ACTIVE	Íóæíûé çàïàñ ñèë
MERCENARY_MISSION_LIMIT_LEVEL	Íóæíûé óğîâåíü íàåìíèêà
MERCENARY_MISSION_MERCENARY_LIST	Çàâåğáîâàííûå íàåìíèêè
MERCENARY_MISSION_REGIST	Çàäàíèÿ
MERCENARY_MISSION_REWARD_LIST	Íàãğàäû
MERCENARY_MISSION_SUCCESS_PCT	Øàíñ íà óñïåõ
MERCENARY_MISSION_SUGGESTION	Ğåêîìåíäóåìûå íàåìíèêè
MERCENARY_MISSION_TYPE	Òèï çàäàíèÿ
MERCENARY_TITLE	Ñèñòåìà íàåìíèêîâ
MESSAGE	İòî-ñîîáùåíèå
MESSENGER_ADD_FRIEND	Äîáàâèòü äğóãà
MESSENGER_BLOCK	Áëîêèğîâàòü
MESSENGER_BLOCK_FRIEND	Áëîêèğîâàòü
MESSENGER_DELETE_FRIEND	Óäàëèòü
MESSENGER_MOBILE	Ïîñëàòü ñìñ
MESSENGER_OPEN_GUILD	Îòêğûòü îêíî Ãèëüäèè
MESSENGER_TITLE	Äğóçüÿ
MESSENGER_USE_GUILD_MOVE_SKILL	Ïğèìåíÿéòå íàâûê ïåğåäâèæåíèÿ Ãèëüäèè
MESSENGER_WHISPER	Øåïòàíèå
MINIGAME_FISH_EVENT_USE_COUNT	Êîëè÷åñòâî
MINIMIZE	Ñâåğíóòü
MINI_BOSS_DUNGEON_DESC_BTN	Ïğàâèëà ñîáûòèÿ
MINI_BOSS_DUNGEON_TITLE_NAME	Ó÷àñòíèê
MINI_BOSS_DUNGEON_TITLE_NUM	Ğàíã
MINI_BOSS_DUNGEON_TITLE_POINT	Î÷êè àïîêàëèïñèñà
MINI_BOSS_DUNGEON_TOOTIP_01	Îáçîğ ïîäçåìåëüÿ
MINI_BOSS_DUNGEON_TOOTIP_02	Àïîêàëèïñèñ: óğîâåíü 40–80
MINI_BOSS_DUNGEON_TOOTIP_03	Àïîêàëèïñèñ ñ 81 óğîâíÿ
MINI_BOSS_DUNGEON_TOOTIP_04	Âîéòè
MINI_BOSS_DUNGEON_TOOTIP_05	Îñòàâøååñÿ âğåìÿ
MINI_BOSS_DUNGEON_TOOTIP_06	Ìîè î÷êè àïîêàëèïñèñà
MINI_BOSS_DUNGEON_TOOTIP_07	Îñòàâø. àïîêàëèïñèñû
MINI_BOSS_DUNGEON_TOOTIP_08	Ìîÿ íàãğàäà
MINI_BOSS_TITLE	Çîäèàê-àïîêàëèïñèñ
MINI_GAME_BLACK_AND_WHITE_DONATE	Ñäåëàòü âçíîñ
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Ñîñòÿçàíèå ïğîâèäöåâ
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Ğåéòèíã
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ïğèçû
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Íà÷àòü
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Ñîñòÿçàíèå ïğîâèäöåâ
MINI_GAME_CATCHKING_CHALLENGE	Âûáîğ êîëîä
MINI_GAME_CATCHKING_HELP_TEXT	Ïğàâèëà
MINI_GAME_CATCHKING_HIGH_SCORE	Ğåêîğä
MINI_GAME_CATCHKING_MYNUMBER	Ìîÿ êàğòà
MINI_GAME_CATCHKING_POPUP_CONFIRM	Ïîäñêàçêè âêë/âûêë
MINI_GAME_CATCHKING_RETRY	Åùå ğàç
MINI_GAME_CATCHKING_REWARD	Âàø ïğèç
MINI_GAME_CATCHKING_SCORE	Î÷êè
MINI_GAME_CATCHKING_SELECTION_NUMBER	Îòêğûòàÿ êàğòà
MINI_GAME_CATCHKING_START_TEXT	Íà÷àòü
MINI_GAME_CATCHKING_TITLE	«Õâàòàé êîğîëÿ»
MINI_GAME_FISH_HELP_TEXT	Ïîìîùü
MINI_GAME_FISH_START_TEXT	Íà÷àòü
MINI_GAME_FISH_TITLE	Ğûáàëêà-ãîëîâîëîìêà
MINI_GAME_RUMI_DISCARD_TEXT	Áåçîïàñíûé ğåæèì
MINI_GAME_RUMI_EXIT	Çàâåğøèòü
MINI_GAME_RUMI_LBUTTON_DESC	Äîáàâèòü êàğòó ëåâîé êíîïêîé ìûøè
MINI_GAME_RUMI_RBUTTON_DESC	Óäàëèòü êàğòó ïğàâîé êíîïêîé ìûøè
MINI_GAME_RUMI_SCORE	Î÷êè
MINI_GAME_RUMI_START_TEXT	Ñòàğò
MINI_GAME_RUMI_TITLE	Êàğòî÷íàÿ èãğà Îêåé
MINI_GAME_YUTNORI_COM_TEXT	Êîìïüşòåğ
MINI_GAME_YUTNORI_PLAYER_TEXT	Èãğîê
MINI_GAME_YUTNORI_PROBABILITY	Âåğîÿòíîñòü
MINI_GAME_YUTNORI_PROB_DESC	Âûáåğèòå áğîñîê, âåğîÿòíîñòü êîòîğîãî õîòèòå óâåëè÷èòü.
MINI_GAME_YUTNORI_REMAIN_COUNT	Õîäû
MINI_GAME_YUTNORI_REWARD_TEXT	Íàãğàäà
MINI_GAME_YUTNORI_SCORE	Ğåçóëüòàò
MINI_GAME_YUTNORI_START_TEXT	Íà÷àòü
MINI_GAME_YUTNORI_THROW	Áğîñèòü
MINI_GAME_YUTNORI_TITLE	Şòíîğè
MINI_GAME_YUTNORI_YUTSEM1	Äî
MINI_GAME_YUTNORI_YUTSEM2	Ãå
MINI_GAME_YUTNORI_YUTSEM3	Ãåîë
MINI_GAME_YUTNORI_YUTSEM4	Éóò
MINI_GAME_YUTNORI_YUTSEM5	Ìî
MINI_GAME_YUTNORI_YUTSEM6	Áàê-äî
MISTS_ISLAND_EMPIRE_NAME	Èìÿ èìïåğèè
MISTS_ISLAND_EMPIRE_SCORE	×èñëî î÷êîâ èìïåğèè
MISTS_ISLAND_END_TIME	Äàòà îêîí÷àíèÿ
MISTS_ISLAND_EXIT	Âûéòè
MISTS_ISLAND_INFO_TEXT	Î ğàíãå è ñòàòóñå
MISTS_ISLAND_RANK	Ğàíã
MISTS_ISLAND_SCORE	×èñëî î÷êîâ
MISTS_ISLAND_TITLE_RANK	Èíôîğìàöèÿ î ğàíãå è ñòàòóñå
MISTS_ISLAND_TITLE_SCORE	Îáçîğ
MONSTER_CARD_ACHIEV_BONUS	Äîñòèæåíèÿ
MOONLIGHT_VALLEY_BOSS_SUMMONS_BUTTON	Ïğèçâàòü
MOONLIGHT_VALLEY_BOSS_SUMMONS_TITLE	Íèêîñ
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Âû áîëüøå íå ìîæåòå êîğìèòü êîíÿ.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Ïîêîğìèòå êîíÿ
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Ñêîğìèòå êîíş âåñü êîğì, ÷òîáû ïîâûñèòü óğîâåíü.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Íå õâàòàåò êîğìà äëÿ êîíÿ
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Ïîâûñèòü óğîâåíü
MOUNT_UPGRADE_SYSTEM_TITLE	Ïîâûñèòü óğîâåíü êîíÿ
MOUSEBUTTON_ATTACK	Íàïàäàòü
MOUSEBUTTON_AUTO_ATTACK	Íàïàäàòü àâòîìàòè÷åñêè
MOUSEBUTTON_CAMERA	Êàìåğà
MOUSEBUTTON_SKILL	Íàâûêè
MUSICLIST_TITLE	Âûáîğ ìóçûêè
MYSHOP_DECO_CANCEL	Çàêğûòü
MYSHOP_DECO_DEFAULT	Îáû÷íûé
MYSHOP_DECO_NEXT	Äàëüøå
MYSHOP_DECO_OK	Çàêğûòü
MYSHOP_DECO_PREV	Íàçàä
MYSHOP_DECO_SELECT_MODEL	Âûáåğèòå, êàê áóäåò âûãëÿäåòü âàø ìàãàçèí.
MYSHOP_DECO_SELECT_TITLE	Âûáåğèòå, êàê áóäåò âûãëÿäåòü èìÿ âàøåãî ìàãàçèíà.
NO	Íåò
NPC_HELPER_ATLAS_EXPAND_BUTTON_TOOLTIP	Ïîêàçàòü ïîèñê ïåğñîíàæà
NPC_HELPER_ATLAS_SHRINK_BUTTON_TOOLTIP	Çàêğûòü ïîèñê ïåğñîíàæà
NPC_HELPER_ATLAS_SWITCH_TO_NPC_LOCATION_HELPER_BUTTON_TOOLTIP	Êàğòà ìåíÿåòñÿ íà ïîèñê ïåğñîíàæà
NPC_HELPER_ATLAS_SWITCH_TO_SMALL_BUTTON_TOOLTIP	Âêëş÷àåò ñòàğûé ğåæèì êàğòû îáğàòíî
NPC_HELPER_ATLAS_TITLE	Áîëüøàÿ êàğòà
NPC_HELPER_NPC_INFO_CONQUEROR_LEVEL	×.-óğ.
NPC_HELPER_NPC_INFO_LEVEL	Óğ.
NPC_HELPER_NPC_INFO_MENU_NPC_LIST	Ïåğñîíàæè
NPC_HELPER_NPC_INFO_MENU_SELECT_CATEGORY	Âûáğàòü ğåãèîí
NPC_HELPER_NPC_INFO_MENU_SELECT_MAP	Âûáğàòü êàğòó
NPC_HELPER_NPC_INFO_TITLE	Ïîèñê ïåğñîíàæà
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_DUNGEON	Ïîäçåìåëüÿ
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_FIELD	Èìïåğèè
NPC_LOCATION_HELPER_MAP_CATEGORY_EVIL_DRAGON_TERRITORY	Óòåñ Òåìíîãî äğàêîíà
NPC_LOCATION_HELPER_MAP_CATEGORY_LABYRINTH	Ïëàòî èëëşçèé
NPC_LOCATION_HELPER_MAP_CATEGORY_NEUTRAL	Íåéòğàëüíûå ğåãèîíû
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_DUNGEON	Ïîäçåìåëüÿ â Yohara
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_FIELD	Yohara
NPC_LOCATION_HELPER_MOB_INFO_DROP_ITEM_INFO	Âîçìîæíàÿ äîáû÷à
NPC_LOCATION_HELPER_MOB_INFO_MOB_INFO	Ìîíñòğû
NPC_LOCATION_HELPER_MOB_INFO_TITLE	Ñïğàâî÷íèê ìîíñòğîâ
