ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Ñîáûòèå
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Äëÿ ğûáàëêè
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Ğàñõîäíèêè
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Çåìëÿ ãèëüäèè
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Ó÷èòåëü
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Ïî÷òà
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Ãîğíîå äåëî
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Åçäîâûå æèâîòíûå
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Ïğî÷èå ïåğñîíàæè
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Ïîğòàëû
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Óëó÷øåíèå
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Òåëåïîğò
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Êëàäîâùèê
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Õîòèòå àêòèâèğîâàòü ïîèñê ïåğñîíàæà?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	èëè
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d ÿíã
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Õîòèòå èñïîëüçîâàòü êàìíè òåëåïîğòàöèè/êàìíè òåëåïîğòàöèè+ (%d øò.), ÷òîáû ïåğåíåñòèñü ê %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Äëÿ òåëåïîğòà íóæíî:
OKEY_EVENT_MESSAGE_CARD_GAIN	Âû ïîëó÷àåòå íàáîğ(û) êàğò Îêåé.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Âû ïîëó÷àåòå êàğòû Îêåé.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Âû íå ìîæåòå èãğàòü â Îêåé, ïîêà îòêğûòî äğóãîå îêíî.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	×òîáû ó÷àñòâîâàòü, íóæíî íàáğàòü êàê ìèíèìóì 70-é óğîâåíü.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Ó âàñ íå õâàòàåò ïğåäìåòîâ èëè çîëîòà äëÿ èãğû.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Âû íå ìîæåòå ïîëó÷èòü áîëüøå íàáîğîâ êàğò Îêåé.
OPEN_THE_SPECIAL_ACTION_KIT	%s: äîáàâëåíî ê ıìîöèÿì.
OPTION_ESCAPE_BUTTON_COOLTIME	Ïîâòîğèòå ïîïûòêó ïîçæå.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Ñåé÷àñ âû íå ìîæåòå îñâîáîäèòüñÿ. Ïîâòîğèòå ïîïûòêó ïîçæå.
OPTION_ESCAPE_FAR_DISTANCE	Âû íå ìîæåòå îñâîáîäèòüñÿ, òàê êàê ñäâèíóëèñü áîëüøå, ÷åì íà 10 ìåòğîâ.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Âû íå îñâîáîäèëèñü.
OPTION_ESCAPE_QUESTION_MESSAGE	Âû ïåğåíåñåòåñü íà ñâîáîäíîå ìåñòî èëè â äåğåâíş.\n Õîòèòå îñâîáîäèòü ñâîåãî ïåğñîíàæà?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Èñïîëüçóéòå ıòó îïöèş, åñëè çàñòğÿëè.
OPTION_ESCAPE_WAIT_MESSAGE	Âû îñâîáîäèòåñü ÷åğåç %d ñåê.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Âû íå ìîæåòå àêòèâèğîâàòü ğåæèì Ãèëüäèè, ïîêà íå ÿâëÿåòåñü å¸ ÷ëåíîì.
OPTION_PVPMODE_NOT_SUPPORT	Âû íå ìîæåòå âûáğàòü ğåæèì PvP.
OPTION_PVPMODE_PROTECT	×òîáû èñïîëüçîâàòü PvP Ğåæèì, íóæíî äîñòèãíóòü õîòÿ áû óğîâåíü %d.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Õîòèòå âûéòè èç áîÿ?
OTHER_WORLD_EXCHANGE_COOLTIME	Ïîâòîğèòå ïîïûòêó ïîçæå.
OTHER_WORLD_EXCHANGE_FAIL	Âû íè÷åãî íå ïîëó÷èëè çà îáìåí.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Íåëüçÿ ïğèìåíÿòü ïğåäìåòû áîëüøå ìàêñèìàëüíî äîïóñòèìîãî ÷èñëà.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Îáìåí îãîíüêîâ ìåğòâûõ
OTHER_WORLD_GET_DEAD_SOUL	Âû ïîëó÷àåòå äóøó ìåğòâåöà x %d.
OTHER_WORLD_GET_HELL_GATE_KEY	Âû ïîëó÷àåòå êëş÷ Àñìîäåÿ x %d.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Âû ïîëó÷àåòå ÷åğíîå ïèñüìî x %d.
OTHER_WORLD_GET_REINCARNATION_WATER	Âû ïîëó÷àåòå æèâóş âîäó x %d.
OTHER_WORLD_GET_WISP	Âû ïîëó÷àåòå îãîíåê ìåğòâûõ x %d.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Âûáåğèòå ïîñëàííèêà çåìëè, ñ êîòîğûì õîòèòå ñğàçèòüñÿ.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Êîãäà ïîãèáàåò ëşáîé ïåğñîíàæ, òàéìåğ ïîäçåìåëüÿ óìåíüøàåòñÿ íà 1 ìèíóòó.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Æèâàÿ âîäà íåäîñòóïíà.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Óáåéòå âñåõ ìîíñòğîâ çà îòâåäåííîå âğåìÿ.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Ïîáåäèòå ïîñëàííèêà íî÷è, íå ïîãèáíóâ ïğè ıòîì.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Ïîáåäèòå Àñìîäåÿ, ïîêà íå èñòåêëî âğåìÿ.
PAID_CHARACTER_COUNT_TOOLTIP	Ïğåìèóì-ïåğñîíàæè: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Âû íå ìîæåòå ñîçäàòü áîëüøå ïåğñîíàæåé.
PAID_CHARACTER_CREATE_MODE	(Ïğåìèóì-ïåğñîíàæ)
PAID_CHARACTER_CREATE_QUESTION	Õîòèòå ñîçäàòü ïğåìèóì-ïåğñîíàæà?
PAID_CHARACTER_CREATE_TOOLTIP	Ñîçäàòü ïğåìèóì-ïåğñîíàæà
PAID_CHARACTER_DELETE_CONFIRM_1	Åñëè åãî ñòåğåòü, äëÿ ñîçäàíèÿ íîâîãî ïğåìèóì-ïåğñîíàæà íóæíî áóäåò ïîëó÷èòü åùå îäèí áèëåò ïğåìèóì-ïåğñîíàæà.
PAID_CHARACTER_DELETE_CONFIRM_2	Âû òî÷íî õîòèòå åãî ñòåğåòü?
PAID_CHARACTER_DELETE_RETRY	İòî íå âûáğàííûé ïåğñîíàæ.\nÏîïğîáóéòå åùå ğàç.
PAID_CHARACTER_FULL_CAPACITY	Íåëüçÿ ñîçäàòü áîëüøå ïğåìèóì-ïåğñîíàæåé.
PAID_CHARACTER_NEED_TICKET	×òîáû ñîçäàòü ïğåìèóì-ïåğñîíàæà, íóæåí áèëåò ïğåìèóì-ïåğñîíàæà.
PAID_CHARACTER_SELECT_TOOLTIP	Ïğåìèóì-ïåğñîíàæ
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Ïğîïóñêè ïåğñîíàæà: %d
PAID_CHARACTER_TICKET_LOADING	Çàãğóçêà...
PARTY_ANSWER_TIMEOVER	Ïğèãëàøåíèå îòêëîíåíî.
PARTY_BONUS_ATTACKER	Ïîêàçàòåëü àòàêè: +%d	SA
PARTY_BONUS_BERSERKER	Ñêîğîñòü àòàêè: +%d	SA
PARTY_BONUS_BUFFER	Ïğîäîëæèòåëüíîñòü äåéñòâèÿ íàâûêîâ: +%d	SA
PARTY_BONUS_DEFENDER	Çàùèòà +%d%%	SA
PARTY_BONUS_EXP	Áîíóñ ê îïûòó: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Âîññòàíîâëåíèå ÕÏ çà óáèéñòâî +%d%%	SA
PARTY_BONUS_TANKER	Ìàêñ. ÕÏ: +%d	SA
PARTY_BREAK_UP	Ëèêâèäèğîâàòü ãğóïïó
PARTY_DO_YOU_ACCEPT	---LOCA::SPACE--õîòåë áû ïğèñîåäèíèòüñÿ ê ãğóïïå.
PARTY_DO_YOU_JOIN	 ïğèãëàñèë(à) âàñ â ãğóïïó. Ïğèíÿòü ïğèãëàøåíèå?
PARTY_EXP_DISTRIBUTION_MODE	Ğàñïğåäåëåíèå îïûòà
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Â çàâèñèìîñòè îò óğîâíÿ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Ó÷àñòíèêè ãğóïïû ñ áîëåå âûñîêèì óğîâíåì ïîëó÷àşò áîëüøå îïûòà.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	ğàâíîìåğíî
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Âñå ó÷àñòíèêè ãğóïïû ïîëó÷àşò îäèíàêîâîå êîëè÷åñòâî îïûòà.
PARTY_HEAL_ALL_MEMBER	Âîññòàíîâèòü âñ¸
PARTY_INCREASE_AREA_150	Äèàïàçîí ãğóïïû óâåëè÷åí â 1,5 ğàçà.	SNA
PARTY_INCREASE_AREA_200	Äèàïàçîí ãğóïïû óâåëè÷åí â 2 ğàçà.	SNA
PARTY_LEAVE	Ïîêèíóòü ãğóïïó
PARTY_LONGTIME_BONUS_EXP	Áîíóñ ê îïûòó çà äîëãóş ãğóïïîâóş èãğó: +%d%%	SA
PARTY_MATCH_CANCEL	Ïîèñê ãğóïïû äëÿ [%s] ïğåêğàùåí.
PARTY_MATCH_FAIL_FULL_MEMBER	Â âàøó ãğóïïó áîëüøå íåëüçÿ íàáèğàòü ó÷àñòíèêîâ.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Âû íå ìîæåòå ğåãèñòğèğîâàòüñÿ äëÿ ıòîãî ïîäçåìåëüÿ.
PARTY_MATCH_FAIL_LEVEL	Ó âàñ ñëèøêîì íèçêèé óğîâåíü.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Ó÷àñòíèê %s íå ñîîòâåòñòâóåò òğåáîâàíèÿì.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Ñíà÷àëà âûáåğèòå ïîäçåìåëüå.
PARTY_MATCH_FAIL_NOT_LEADER	Ğåãèñòğèğîâàòü ãğóïïó ìîæåò òîëüêî ëèäåğ ãğóïïû.
PARTY_MATCH_FAIL_NO_ITEM	Ó âàñ íåäîñòàòî÷íî %s.
PARTY_MATCH_SEARCHING	Ïîèñê
PARTY_MATCH_START	Âû çàğåãèñòğèğîâàëè ñâîş ãğóïïó äëÿ ïîäçåìåëüÿ [%s]!
PARTY_MEMBER_OFFLINE	[îôôëàéí]
PARTY_RECALL_MEMBER	Ïîçâàòü ó÷àñòíèêà ãğóïïû.
PARTY_REGEN_BONUS	Áîíóñ çà ÕÏ- + ÌÏ-ğåãåíåğàöèÿ: +%d%%	SA
PARTY_REQUEST_DENIED	Âàøå ïğèãëàøåíèå íå ïğèíÿòî.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ğàíãè ïî Ñòğàæíèêó Şé
PARTY_RK_CATEGORY_CZ_COW	Ğàíãè ïî Ñòğàæíèêó ×æîó
PARTY_RK_CATEGORY_CZ_DOG	Ğàíãè ïî Ñòğàæíèêó Ñşé
PARTY_RK_CATEGORY_CZ_DRAGON	Ğàíãè ïî Ñòğàæíèêó ×æıíü
PARTY_RK_CATEGORY_CZ_HORSE	Ğàíãè ïî Ñòğàæíèêó Ó
PARTY_RK_CATEGORY_CZ_MONKEY	Ğàíãè ïî Ñòğàæíèêó Øıíü
PARTY_RK_CATEGORY_CZ_MOUSE	Ğàíãè ïî Ñòğàæíèêó Öè
PARTY_RK_CATEGORY_CZ_PIG	Ğàíãè ïî Ñòğàæíèêó Õàé
PARTY_RK_CATEGORY_CZ_RABBIT	Ğàíãè ïî Ñòğàæíèêó Ìàî
PARTY_RK_CATEGORY_CZ_SHEEP	Ğàíãè ïî Ñòğàæíèêó Âıé
PARTY_RK_CATEGORY_CZ_SNAKE	Ğàíãè ïî Ñòğàæíèêó Ñû
PARTY_RK_CATEGORY_CZ_TIGER	Ğàíãè ïî Ñòğàæíèêó Èíü
PARTY_SET_ATTACKER	Îïğåäåëèòü Áîéöîì àòàêè.
PARTY_SET_BERSERKER	Îïğåäåëèòü  Áåğñåğêåğîì.
PARTY_SET_BUFFER	Îïğåäåëèòü  Áëîêèğóşùèì.
PARTY_SET_DEFENDER	Îïğåäåëèòü Çàùèòíèêîì.
PARTY_SET_NORMAL	Îòìåíèòü óñòàíîâêó.
PARTY_SET_SKILL_MASTER	Îïğåäåëèòü  Ìàñòåğîì íàâûêîâ.
PARTY_SET_TANKER	Îïğåäåëèòü Áîéöîì áëèæíåãî áîÿ.
PARTY_SKILL_ATTACKER	Áàçîâûé ïîêàçàòåëü àòàêè Íàïàäàşùèé +%.0f
PARTY_SKILL_BERSERKER	Ñêîğîñòü àòàêè Áåğñåğêåğ +%.0f
PARTY_SKILL_BUFFER	Äëèòåëüíîñòü íàâûêà Áëîêèğóùèé +%.0f
PARTY_SKILL_DEFENDER	Çàùèòà â ğîëè çàùèòíèêà +%.0f%%
PARTY_SKILL_HP_REGEN	ÕÏ-ğåãåíåğàöèÿ +%.0f%%
PARTY_SKILL_PARTY_AREA	Äèàïàçîí ãğóïïû +%d%%
PARTY_SKILL_SKILL_MASTER	Ğåãåíåğàöèÿ ÕÏ êàê Ìàñòåğó íàâûêà +%.0f%%
PARTY_SKILL_SP_REGEN	ÌÏ-ğåãåíåğàöèÿ +%.0f%%
PARTY_SKILL_TANKER	Ìàêñèì. ÕÏ Áîåö áëèæíåãî áîÿ +%.0f
PARTY_SKILL_WARP	Âïğàâå âûçâàòü ó÷àñòíèêà ãğóïïû.
PASSIVE_ATTR_ADD_FAIL	Íåóäà÷à! Áîíóñû íå ïåğåíåñëèñü íà ğåëèêò äóøè.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Ğåëèêò äóøè áîëüøå íå âìåñòèò áîíóñîâ.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Äëÿ ıòîãî íóæåí ğåëèêò äóøè âàøåãî êëàññà.
PASSIVE_ATTR_ADD_SUCCESS	Óñïåøíî! Áîíóñû ïåğåíåñëèñü íà ğåëèêò äóøè.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Ğåëèêò äóøè óæå çàğÿæåí.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Çàğÿæàòü ğåëèêò äóøè íå íóæíî.
PASSIVE_ATTR_CHARGE_QUESTION	Õîòèòå çàğÿäèòü ğåëèêò äóøè?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Âğåìÿ ğåëèêòà ïîëíîñòüş çàğÿæåíî.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Âî âğåìÿ çàğÿäà íåëüçÿ íè÷åãî äåëàòü.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Ïîâòîğèòå ïîïûòêó ïîçæå.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Äëÿ ıòîãî íóæíà ïîäõîäÿùàÿ äóøà.
PASSIVE_ATTR_TOOLTIP_LINE1	1. Ìîæíî èñïîëüçîâàòü 4 äóøè, ÷òîáû äîáàâëÿòü ñâîéñòâà ğåëèêòàì äóøè äëÿ âàøåãî êëàññà èëè ïğîäëåâàòü èõ äåéñòâèå.
PASSIVE_ATTR_TOOLTIP_LINE2	2. Äîáàâëåííûå ñâîéñòâà íåëüçÿ èçìåíÿòü. Ïğè àêòèâàöèè îíè äàşò âàì áîíóñû, à ñğîê èõ äåéñòâèÿ íà÷èíàåò óìåíüøàòüñÿ.
PASSIVE_ATTR_TOOLTIP_LINE3	3. Ğåëèêò íå èñ÷åçàåò äàæå ïî èñòå÷åíèè ñğîêà äåéñòâèÿ; åãî ìîæíî àêòèâèğîâàòü ñíîâà, ïîïîëíèâ âğåìÿ.
PASSIVE_ATTR_TOOLTIP_LINE4	4. Ğåëèêòû ìîæíî ïîëó÷èòü çà ïîâòîğÿåìûå çàäàíèÿ. Âû ìîæåòå ïğèíèìàòü èõ, âûïîëíèâ çàäàíèÿ ğàíåíîãî íà Ğàâíèíå Äîíãàí.
PASSIVE_ATTR_TOOLTIP_LINE5	(Çàäàíèÿ äîñòóïíû äëÿ òåõ, êòî íàáğàë 120 óğîâåíü è âûïîëíèë çàäàíèå «Ğèòóàë»)
PASSIVE_ATTR_TOOLTIP_LINE6	5. Òàêæå äóøè ìîæíî ïîêóïàòü â ìàãàçèíå.
PASSIVE_ATTR_TOOLTIP_TITLE	Ğåëèêòîâûå áîíóñû
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Äëÿ ıòîãî íóæåí ğåëèêò äóøè âàøåãî êëàññà.
PASSIVE_JOB_DESTROY_POPUP	Åñëè ñäàòü ğåëèêò äóøè, îí óíè÷òîæàåòñÿ. Âû óâåğåíû?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Ïîñëå àêòèâàöèè ğåëèêò íåëüçÿ áóäåò ïåğåäàâàòü.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Ïğè ıòîì òåğÿşòñÿ ïğåäìåòû. Âû óâåğåíû?
PASSIVE_JOB_LEFT_TIME	Îñòàëîñü: %s
PASSIVE_JOB_MAX_TIME	Ìàêñ. âğåìÿ ğåëèêòà: %s
PASSWORD_TITLE	Ïàğîëü äëÿ ñêëàäà
PET_ABILITIES_VALUE	+%s%%
PET_ATTR_CHANGE_DIALOG_TEXT	Õîòèòå èçìåíèòü ïàğàìåòğû ñâîåãî ïèòîìöà?\n Ïğè ıòîì òğàòèòñÿ ïğåäìåò «Çà÷àğîâàòü ïèòîìöà».\n Ìîæíî ïîòåğïåòü íåóäà÷ó
PET_ATTR_CHANGE_USE	Ïîêà ïàğàìåòğû ïèòîìöà èçìåíÿşòñÿ, ıòî äåéñòâèå âûïîëíÿòü íåëüçÿ.
PET_ATTR_DETERMINE_TYPE1	Òèï 1: íåóêëşæèé. Íå ñëèøêîì ñèëüíûé.\nÑî âğåìåíåì åãî íàâûêè ìîæíî ğàçâèòü.
PET_ATTR_DETERMINE_TYPE2	Òèï 2: ëşáîïûòíûé. Íå ñëèøêîì ñèëüíûé.\nÂåğíûé ñïóòíèê, ÷üè íàâûêè ğàñòóò ñî âğåìåíåì.
PET_ATTR_DETERMINE_TYPE3	Òèï 3: îòâàæíûé. Äîñòàòî÷íî ñèëüíûé.\nÑî âğåìåíåì åãî íàâûêè ìîæíî ğàçâèòü.
PET_ATTR_DETERMINE_TYPE4	Òèï 4: õğàáğûé. Äîñòàòî÷íî ñèëüíûé.\nÂåğíûé ñïóòíèê, ÷üè íàâûêè åùå ğàñòóò ñî âğåìåíåì.
PET_ATTR_DETERMINE_TYPE5	Òèï 5: áåçğàññóäíûé. Ñèëüíûé.\nÑî âğåìåíåì åãî íàâûêè ìîæíî ğàçâèòü.
PET_ATTR_DETERMINE_TYPE6	Òèï 6: ëåãåíäàğíûé. Ñèëüíûé.\nÂåğíûé ñïóòíèê, ÷üè íàâûêè åùå áîëüøå ğàñòóò ñî âğåìåíåì.
PET_ATTR_DETERMINE_TYPE7	Òèï 7: ìèôè÷åñêèé. Î÷åíü ñèëüíûé.\nÑî âğåìåíåì ğàñêğîåò âåñü ñâîé ïîòåíöèàë.
PET_ATTR_DETERMINE_TYPE8	Òèï 8: ïğèçìàòè÷åñêèé. Íåâåğîÿòíî ñèëüíûé.\nÂåğíûé ñïóòíèê, íà êîòîğîãî ìîæíî ïîëîæèòüñÿ.
PET_BAG_DESC	%s
PET_CANNOT_EAT_BATTLE_EXP_FOOD	Ñïåğâà íóæíî ïğèçâàòü ïèòîìöà.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_1	Äëÿ ıòîé ñòàäèè ğàçâèòèÿ âàø ïåğñîíàæ äîëæåí íàáğàòü 1-é ÷åìïèîíñêèé óğîâåíü.
PET_CANNOT_EVOL_FROM_OWNER_LEVEL_2	Äëÿ ıòîé ñòàäèè ğàçâèòèÿ âàø ïåğñîíàæ äîëæåí íàáğàòü 15-é ÷åìïèîíñêèé óğîâåíü.
PET_CANNOT_FEED_BATTLE_EXP_FOOD	%s áîëüøå íå ìîæåò ïîëó÷àòü îïûò.
PET_CANNOT_FEED_CUBEOPEN	Âû íå ìîæåòå êîğìèòü ïèòîìöà, ïîêà îòêğûòî îêíî óëó÷øåíèÿ.
PET_CANNOT_OPEN_POTENTIAL_SKILL_WINDOW	Òîëüêî äëÿ ïèòîìöåâ, êîòîğûå íàáğàëè ÷åìïèîíñêèé óğîâåíü.
PET_CANNOT_REGISTER_POTENTIAL_SLOT_FROM_ITEM	Äëÿ ıòîé ÿ÷åéêè ìîæíî âûáèğàòü òîëüêî ÿéöà ïèòîìöåâ.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Âû íå ìîæåòå èçìåíÿòü ïàğàìåòğû ìåğòâîãî ïèòîìöà.
PET_CAN_NOT_EGG_ITEM_USE	Âû íå ìîæåòå îòêğûòü èíêóáàòîğ âî âğåìÿ òîğãà, ïîêà îòêğûò âàø ñêëàä èëè ëàâêà.
PET_CAN_NOT_FEED_SPLIT_ITEM	Âû íå ìîæåòå ïîìåñòèòü â ıòî îêíî ğàçäåëåííûé ïğåäìåò.
PET_CAN_NOT_FEED_TYPE	Òàê âû, ê ñîæàëåíèş, íå ìîæåòå êîğìèòü ïèòîìöà. Ïîïğîáóéòå åùå ğàç ñ ïîìîùüş äğóãîãî äåéñòâèÿ.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Äëÿ òîãî, ÷òîáû îáó÷èòü è ïîâûñèòü ñòåïåíü ïèòîìöà äî ñëåäóşùåãî óğîâíÿ, óğîâåíü ïèòîìöà äîëæåí áûòü %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Äëÿ òîãî, ÷òîáû îáó÷èòü è ïîâûñèòü ñòåïåíü ğàçâèòèÿ ïèòîìöà, ó íåãî äîëæíî áûòü 100% îïûòà.
PET_CAN_NOT_OPEN_EVOL_BUTTON_FROM_CONQUEROR_LEVEL	Âàø ïèòîìåö äîëæåí íàáğàòü %d-é ÷åìïèîíñêèé óğîâåíü, ÷òîáû âû ìîãëè åãî ğàçâèòü.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Âàø ïèòîìåö óæå äîñòèã âûñøåãî óğîâíÿ.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Âû íå ìîæåòå îòêğûòü ëàâêó åñëè ïğèçâàëè ïèòîìöà.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Äëÿ òîãî, ÷òîáû îáó÷èòü è ïîâûñèòü ñòåïåíü ïèòîìöà äî ñëåäóşùåãî óğîâíÿ, ïèòîìöó äîëæíî áûòü %d äíåé.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Âû íå ìîæåòå ïğèçâàòü ïèòîìöà òàê êàê åãî ñğîê äåéñòâèÿ óæå èñòåê.
PET_CAN_NOT_USE_BAG	Âû íå ìîæåòå èñïîëüçâîòü Òğàíñïîğòíóş êëåòêó òàê êàê ñğîê äåéñòâèÿ âàøåãî ïèòîìöà èñòåê.
PET_CAN_ONLY_REGISTER_PET_EGG_IN_SLOT	Äëÿ ıòîé ÿ÷åéêè ìîæíî âûáèğàòü òîëüêî ÿéöà ïèòîìöåâ.
PET_CAN_REGISTER_PET_EGG	Åñëè ó âàñ åñòü ñâîáîäíàÿ ÿ÷åéêà, âû ìîæåòå âûáğàòü îäíî èç âàøèõ ÿèö ïèòîìöåâ.
PET_CAN_SPECIAL_EVOL	Äëÿ ıòîé ñòàäèè ğàçâèòèÿ âàì íóæíû ãåğîè÷åñêèå êíèãè ïèòîìöà.
PET_CONQUEROR_BILITIES_BLOCK_PENETRATE_PCT	Ïğîáèòèå áëîêà (% îò îáù. çíà÷.)
PET_CONQUEROR_BILITIES_HIT_PCT	Ìåòêîñòü â ïğîöåíòàõ
PET_CONQUEROR_BILITIES_SUNGMA_MOVE	Âîëÿ Ñóíã Ìà (ÑÎÏĞ) â %
PET_EGG_REMOVE_ANSWER_1	Ïîäòâåğäèòü
PET_EGG_REMOVE_ANSWER_2	Ïğåêğàòèòü
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_1	Õîòèòå ñíîâà óáğàòü âûáğàííûå %s?
PET_EGG_REMOVE_IN_POTENTIAL_SLOT_QUESTION_2	Åñëè óáğàòü ÿéöî, âû óæå íå ñìîæåòå åãî âåğíóòü.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Ó ïèòîìöà íåò íàâûêîâ, êîòîğûå ìîæíî ñáğîñèòü.
PET_GRANT_POTENTIAL_SKILL_SUCCESS	Âàø ïèòîìåö ïîëó÷èë íàâûê ïîòåíöèàëà (%s).
PET_HATCHING_ACCEPT	Æåëàåòå íàçâàòü ñâîåãî ïèòîìöà "%s"?
PET_HATCHING_MONEY	Öåíà: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Êîãäà ó âàñ îòêğûò èíêóáàòîğ, âû íå ìîæåòå âûïîëíÿòü êàêèå-ëèáî âçàèìîäåéñòâèÿ.
PET_INFORMATION_STAGE1	Ìîëîäîé
PET_INFORMATION_STAGE2	Äèêèé
PET_INFORMATION_STAGE3	Îòâàæíûé
PET_INFORMATION_STAGE4	Ãåğîè÷åñêèé
PET_INFORMATION_STAGE5	Ïğîáóæäåíí.
PET_INFORMATION_STAGE6	Ìîãó÷.
PET_INFO_CONQUEROR_ABILITIES_VALUE	+%0.1f%%
PET_INFO_CONQUEROR_BUTTON	×åìïèîí
PET_INFO_CONQUEROR_EXP	Òåêóùèé îïûò äëÿ ÷åìï. óğîâíåé: %s
PET_INFO_EXP	Òåêóùèé îïûò: %s
PET_INFO_ITEM_EXP	Òåêóùèé îïûò ïğåäìåòà: %s
PET_INFO_NEXT_CONQUEROR_EXP	Îñòàëîñü îïûòà äëÿ ÷åìï. óğîâíåé: %s
PET_INFO_NEXT_EXP	Îñòàëîñü îïûòà: %s
PET_INFO_NEXT_ITEM_EXP	Îñòàëîñü îïûòà ïğåäìåòà: %s
PET_INFO_NORMAL_BUTTON	Îáû÷íûé
PET_INFO_POTENTIAL_BUTTON	Ïîòåíöèàë
