ACCE_ABSORB_COST	Costuri combinaşie: %d
MINI_GAME_BNW_GAME_RESULT_SCORE	Scor: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Victorie! Ai câºtigat %d Monede Profet.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Nu este destul loc în inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Ai nevoie de un Set Tarot pentru a juca.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Nu ai suficient Yang pentru a începe jocul.
MINI_GAME_BNW_RESULT_DRAW1	Numãrul tãu este identic.
MINI_GAME_BNW_RESULT_DRAW2	Extrage!
MINI_GAME_BNW_RESULT_LOSE1	Numãrul tãu este mai mic.
MINI_GAME_BNW_RESULT_LOSE2	Învins!
MINI_GAME_BNW_RESULT_WIN1	Numãrul tãu este mai mare.
MINI_GAME_BNW_RESULT_WIN2	Victorie!
MINI_GAME_BNW_START_QUESTION	Ai nevoie de un Set Tarot ºi 30,000 Yang pentru a juca. Doreºti sã participi la Duelul Profeşilor?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Dacã pariezi multiplu pe %s vei fi recompensat cu acelaºi numãr de cufere.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Pariu maxim: %d Pachete Rege
MINI_GAME_CATCHKING_HELP_MSG1	Pãcat! Valoarea cãrşilor tale este mai micã.\nNu ai obşinut niciun punct. Alege o nouã carte din pachetul tãu.
MINI_GAME_CATCHKING_HELP_MSG2	Bravo! Cãrşile au aceeaºi valoare.\nRândul tãu s-a terminat. Alege o nouã carte din pachetul tãu.
MINI_GAME_CATCHKING_HELP_MSG3	Şine-o tot aºa! Valoarea cãrşii tale este mai mare.\nÎntoarce altã carte.
MINI_GAME_CATCHKING_HELP_MSG4	A fost un [5] în raza cãrşii pe care ai descoperit-o.\nNu ai câºtigat niciun punct. Acum selecteazã Regele [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Regele a scãpat! Jocul s-a terminat. \nDacã ai adunat cel putin 10 puncte, îşi poşi ridica premiul.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Nu poşi ridica niciun premiu.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	A fost un [5] în apropiere.
MINI_GAME_CATCHKING_START_QUESTION	Pentru un joc trebuie sã plãteºti urmãtoarele: %d Yang ºi %s: %d în plus\nVrei sã joci acum?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Poate prinde urmãtoarea carte: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Poate prinde urmãtoarele cãrşi: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Poate prinde urmãtoarele cãrşi: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Poate prinde urmãtoarele cãrşi: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Poate prinde urmãtoarele cãrşi: [1], [2], [3], [4], [5]\nDacã un alt [5] se aflã în apropierea cãrşilor descoperite,\nrândul tãu se terminã ºi nu vei primi niciun punct.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Poate prinde urmãtoarea carte: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 sau mai mult
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Câºtigi 10 puncte bonus dacã descoperi toate cãrşile în ºir.
MINI_GAME_GIVEUP_QUESTION	Chiar vrei sã întrerupi jocul? Nu vei primi nicio recompensã.
MINI_GAME_NOTICE_1	Apasã pe 'Aruncã' pentru a determina jucãtorul care începe.
MINI_GAME_NOTICE_2	Aruncã Beşe Yut.
MINI_GAME_NOTICE_3	Calculatorul aruncã Beşe Yut pentru a determina jucãtorul care începe.
MINI_GAME_NOTICE_4	Ai egalat sau calculatorul are cel mai mic scor de aruncat. Calculatorul va începe.
MINI_GAME_NOTICE_5	Ai avut cel mai mic scor de aruncare ºi vei începe.
MINI_GAME_NOTICE_6	Aruncarea ta: %s. Mergi înainte %d spaşii.
MINI_GAME_NOTICE_7	Aruncarea ta: %s. Trebuie sã muşi 1 spaşiu înapoi.
MINI_GAME_NOTICE_8	Aruncare: %s
MINI_GAME_NOTICE_9	Este rândul calculatorului.
MINI_GAME_NOTICE_10	Ha! Ai învins calculatorul!
MINI_GAME_NOTICE_11	Ghinion! Calculatorul te-a învins.
MINI_GAME_NOTICE_12	Ai avut Yu sau Mo ºi poşi arunca din nou.
MINI_GAME_NOTICE_13	Jocul s-a terminat. Colecteazã recompensa.
MINI_GAME_RUMI_DISCARD_QUESTION	Eºti sigur cã doreºti sã laºi acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Doreºti sã termini jocul ºi sã colectezi premiul?\nScorul tãu ºi cãrşile rãmase se vor reseta!
MINI_GAME_RUMI_START_QUESTION	Trebuie sã plãteºti o taxã de %d Yang pentru a juca. Ai nevoie ºi de %d Set(uri) de Carduri.\nDoreºti sã începi jocul?
MINI_GAME_YUTNORI_COM_WIN	Câºtigi ceva, pierzi ceva.
MINI_GAME_YUTNORI_PC_WIN	Cãtre victorie ºi recompensã!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Scor: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Aruncã
MINI_GAME_YUTNORI_RETHROW_POPUP	Norocosule! Este rândul tãu din nou.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Ai nevoie de %d Yang ºi %d Plãci Yut Nori pentru a începe jocul Yut Nori. \n Joci acum?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Ratã Drop Obiecte +10%
MISTS_ISLAND_BUFF_MSG_03	Putere, Inteligenşã, Vitalitate, Dexteritate +3
MISTS_ISLAND_BUFF_MSG_04	Rata Drop Yang+10%
MISTS_ISLAND_BUFF_MSG_05	Bonusuri Costum +3%
MISTS_ISLAND_INFO_01	Nivelul tãu este prea mic.
MISTS_ISLAND_INFO_02	Nu ai suficient Yang.
MISTS_ISLAND_INFO_03	În prezent, nu are loc nicio luptã.
MISTS_ISLAND_MSG_01	%s a fost distrus de %s!
MISTS_ISLAND_MSG_02	%s a capturat %s!
MISTS_ISLAND_MSG_03	%s a ocupat %s!
MISTS_ISLAND_MSG_04	%s atacã %s!
MISTS_ISLAND_MSG_05	%s a îmbunãtãşit cu succes %s la nivel %d!
MISTS_ISLAND_MSG_06	%s a apãrut pe câmpul de luptã!
MISTS_ISLAND_QUESTION_01	Doreºti sã pãrãseºti Bãtãlia celor Cinci Altare?
MISTS_ISLAND_QUESTION_02	Doreºti sã te teleportezi la altarul atacat recent? \n Cost: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Ocuparea Regatului: %s
MISTS_ISLAND_TOOLTIP_03	Nivel Îmbunãtãşire: +%d
MISTS_ISLAND_TOOLTIP_04	Suport Ocupare: %s
MISTS_ISLAND_TOOLTIP_05	Cucerirea Altarelor
MISTS_ISLAND_TOOLTIP_06	1. Pentru a captura un altar, acesta trebuie mai întâi distrus.
MISTS_ISLAND_TOOLTIP_07	2. Regatul care are cei mai mulşi combatanşi în apropiere dupã 1 minut va captura altarul.
MISTS_ISLAND_TOOLTIP_08	3, Dupã 3 minute, altarul va apãrea în culoarea regatului care l-a capturat.
MISTS_ISLAND_TOOLTIP_09	4. Cu cât un altar a fost controlat mai mult de acelaºi regat, cu atât va fi mai greu de distrus.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutã de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preş de vânzare:
MOONLIGHT_VALLEY_BOSS_SUMMON_SOON	Nykos va apãrea în curând.
MOONLIGHT_VALLEY_REGISTER_SUMMON_SOUL_ALREADY	Acest obiect este deja selectat.
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Nu poşi face asta în timp ce cãlãreºti.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Poşi creºte nivelul calului atunci când ajungi la Nivel Campion.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Ai nevoie de %d Furaje ºi %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Încerci sã creºti nivelul calului la %d?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Pentru a creºte nivelul calului tãu, vei avea nevoie de %d Furaje, %d Gaya, %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Nu ai suficient Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Creºterea nivelului calului a eºuat.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Nivelul calului a crescut la %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Nu ai suficient Yang sau Furaj.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Urmãtorul nivel: %d (Max. %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Anuleazã
MOVE_CHANNEL_NOTICE	Acum eºti conectat la canalul %d.
MOVE_CHANNEL_NOT_MOVE	Nu poşi schimba canalul.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Canale
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poşi muta obiectul dacã ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicã de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiºier de muzicã.
NEEFD_REST	Trebuie sã te odihneºti întâi.
NEW_WORLD_4TH_CANT_USE_EQUIP_ITEM	Nu poşi adãuga sloturi în timp ce obiectul este echipat.
NEW_WORLD_4TH_CANT_USE_ITEM_TYPE	Nu poşi adãuga sloturi acestui obiect.
NEW_WORLD_4TH_NO_MORE_ADD_FOOTS_SPACE	Nu poşi adãuga mai multe sloturi.
NOT_YET_SUPPORT	Nu este suportat.
NPC_LOCATION_HELPER_ATLAS_DONT_SHOW_MAP	Harta nu este disponibilã.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_1	Nu poşi vedea întreaga hartã.
NPC_LOCATION_HELPER_ATLAS_UNLOCKED_MAP_2	Terminã %s mai întâi.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CAN_ONLY_WARP_FROM_SAME_MAP	Te poşi teleporta la un NPC doar dacã eºti pe aceeaºi hartã.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_CONQUEROR_LEVEL_LIMIT	Harta aleasã nu este disponibilã pentru nivelul tãu actual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME	Te poşi teleporta din nou în %d minute.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_COOLTIME_LESS_THAN_1M	Te poşi teleporta din nou în 1 minute.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DEAD	Nu te poşi teleporta când eºti mort.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_DIFFERENT_EMPIRE	Nu te poşi teleporta la un NPC care aparşine altui regat.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOLD	Nu ai suficient %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_GOTO_OR_WARP	Nu te poşi teleporta la acest NPC.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_INSTANCE_DUNGEON	Nu te poşi teleporta la o instanşã.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_ITEM	Nu ai suficient %s.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_LEVEL_LIMIT	Harta aleasã nu este disponibilã pentru nivelul tãu actual.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_MOUNT	Nu te poşi teleporta în timp ce cãlãreºti.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_NEW_WORLD	Trebuie sã fi atins nivelul de campion 1 pentru a te putea teleporta.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_PLAYER_IN_INSTANCE_DUNGEON	Nu te poşi teleporta din locaşia actualã.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_STONE_OF_WARP	Nu ai destule Pietre Teleport.
NPC_LOCATION_HELPER_CAN_WARP_TO_NPC_STATE_FALSE_WINDOW_OPENED	Nu te poşi teleporta în timp ce ai alte meniuri deschise.
NPC_LOCATION_HELPER_MAP_LOCKED	Indisponibil
NPC_LOCATION_HELPER_MESSAGE_ALREADY_OPENED_MAP	Ai deja aceastã hartã.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_DISABLED	Trebuie sã activezi Cãutare NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_ATLAS_HERE	Cãutare NPC nu se poate folosi aici.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_TOGGLE_TO_SMALL_ATLAS	Harta din aceastã zonã nu poate fi comutatã.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_MAP_DISABLED	Trebuie sã activezi Cãutare NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_USE_STONE_OF_WARP_DISABLED	Trebuie sã activezi Cãutare NPC.
NPC_LOCATION_HELPER_MESSAGE_CANNOT_WARP_TO_NPC_NOW	Nu te poşi teleporta chiar acum.
NPC_LOCATION_HELPER_MESSAGE_GUILD_LAND_UPDATE_COOLTIME	Mai încearcã odatã.
NPC_LOCATION_HELPER_MESSAGE_MAP_NOT_PROVIDED	Nicio hartã nu este disponibilã aici.
NPC_LOCATION_HELPER_MESSAGE_MAP_UNLOCKED	%s a fost completatã.. Acum poşi folosi toate funcşiile %s.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_ALREADY_SEARCHED	Zona acestui monstru este deja afiºatã.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_CANNOT_SHOW_OTHER_MAP	Nu poşi afiºa locaşia exactã a monºtrilor care apar doar pe o altã hartã.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_AVAILABLE	Locaşia monstrului ales este necunoscutã.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_ENOUGH_ITEM	(Momentan indisponibil) Nu ai obiectul necesar pentru a vedea unde apare acest monstru.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_NOT_SELECTED	(Momentan indisponibil) Selecteazã un monstru pentru a afla unde apare.
NPC_LOCATION_HELPER_MESSAGE_MOB_SPAWN_POS_SEARCH_SUCCESS	Regiunea în care apare %s este evidenşiatã pe hartã.
NPC_LOCATION_HELPER_MESSAGE_NOT_ENOUGH_STONE_OF_WARP	Nu ai destule Pietre Teleport.
NPC_LOCATION_HELPER_MESSAGE_SELECTED_NPC_IS_NEAR	NPC-ul ales este în apropiere.
NPC_LOCATION_HELPER_MESSAGE_SHOULD_SELECT_CATEGORY	Selecteazã regiunea.
NPC_LOCATION_HELPER_MESSAGE_TICKET_ALREADY_USED	Nu mai poşi folosi asta.
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_ALCHEMY_DS	Alchimia Piatrã Dragon
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_COMBINE	Combinaşie
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_CUBE	Meºteºug
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_DUNGEON	Intrãri în Temnişã
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EQUIPMENT_SHOP	Negustori
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_EVENT	Eveniment
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_FISHING	Pescuit Obiecte
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GEM	Gaya
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GENERAL_SHOP	Consumabile
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_GUILD_LAND	Teritoriu Breaslã
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_JOB	Învãşãtori
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MAIL	Mail
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MINING	Minerit
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_MOUNT	Mounşi
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_NPC	Alte NPC-uri
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_PORTAL	Portaluri
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_REFINE	Îmbunãtãşire
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_TELEPORT	Teleporteri
NPC_LOCATION_HELPER_NPC_ROLE_TOOLTIP_WAREHOUSE	Administratori Depozite
NPC_LOCATION_HELPER_QUESTION_USE_TICKET	Vrei sã activezi Cãutare NPC?
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM	%s x %d
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_ITEM_OR	sau
NPC_LOCATION_HELPER_WARP_TO_NPC_NEED_YANG	%d Yang
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_1	Vrei sã foloseºti %d Pietre Teleport/Pietre Teleport+ pentru a te teleporta la %s?
NPC_LOCATION_HELPER_WARP_TO_NPC_QUESTION_2	Necesar pentru teleportare:
OKEY_EVENT_MESSAGE_CARD_GAIN	Primeºti Seturi de Carduri Okey.
OKEY_EVENT_MESSAGE_CARD_PEICE_GAIN	Primeºti Carduri Okey.
OKEY_EVENT_MESSAGE_IN_EXCHANGE	Nu poşi juca Okey dacã ai alte ferestre deschise.
OKEY_EVENT_MESSAGE_LEVEL_LIMIT	Trebuie sã ai nivelul 70 pentru a putea particpa.
OKEY_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Nu ai suficiente obiecte sau bani pentru a juca.
OKEY_EVENT_MESSAGE_NO_MORE_GAIN	Nu mai poşi primi Seturi de Carduri Okey.
OPEN_THE_SPECIAL_ACTION_KIT	%s adãugat la emoşii.
OPTION_ESCAPE_BUTTON_COOLTIME	Te rugãm, încearcã mai târziu.
OPTION_ESCAPE_CANNOT_ESCAPE_STATE	Momentan, nu te poşi elibera. Te rugãm, încearcã mai târziu.
OPTION_ESCAPE_FAR_DISTANCE	Nu te poşi elibera deoarece te-ai deplasat mai mult de 10 metri.
OPTION_ESCAPE_QUESTION_ANSWER_NO	Nu te-ai eliberat.
OPTION_ESCAPE_QUESTION_MESSAGE	Vei fi teleportat într-o locaşie goalã sau în sat.\nVrei sã-şi eliberezi caracterul?
OPTION_ESCAPE_SYSTEM_BUTTON_TOOLTIP	Foloseºte aceastã opşiune dacã eºti blocat.
OPTION_ESCAPE_WAIT_MESSAGE	Vei fi eliberat în %d secunde.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poşi activa modul breaslã dacã nu aparşii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poşi folosi configuraşia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sã fi atins minim nivelul %d pentru a activa modul PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Vrei sã pãrãseºti lupta?
OTHER_WORLD_EXCHANGE_COOLTIME	Încearcã mai târziu.
OTHER_WORLD_EXCHANGE_FAIL	Din pãcate, nu aşi primit nimic din schimb.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Nu poşi utiliza mai mult decât cantitatea maximã de obiecte.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Schimb Flãcãrile Morşii
OTHER_WORLD_GET_DEAD_SOUL	Ai primit %dx Suflet Pierdut.
OTHER_WORLD_GET_HELL_GATE_KEY	Ai primit %dx Cheie Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Ai primit %dx Scrisoare Neagrã.
OTHER_WORLD_GET_REINCARNATION_WATER	Ai primit %dx Apa Vieşii.
OTHER_WORLD_GET_WISP	Ai primit %dx Flãcãrile Morşii.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Alege Emisarul Pãmântului pe care sã-l înfrunşi.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	De fiecare datã când un caracter moare, cronometrul temnişei este redus cu 1 minut.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Apa Vieşii nu este disponibilã.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Ucide toşi monºtrii în timpul alocat.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Învinge Emisarul Nopşii fãrã a muri.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Învinge-l pe Asmodeus înainte de expirarea timpului.
PAID_CHARACTER_COUNT_TOOLTIP	Caractere Premium: %d/%d
PAID_CHARACTER_CREATE_AVAILABLE_ONLY	Nu mai poti crea alte caractere.
PAID_CHARACTER_CREATE_MODE	(Caractere Premium)
PAID_CHARACTER_CREATE_QUESTION	Vrei sã creezi un caracter premium?
PAID_CHARACTER_CREATE_TOOLTIP	Creeazã caracter premium
PAID_CHARACTER_DELETE_CONFIRM_1	Dacã ºtergi acest caracter, trebuie sã cumperi un Tichet Caracter Premium suplimentar înainte sã poşi crea un nou caracter premium.
PAID_CHARACTER_DELETE_CONFIRM_2	Eºti sigur cã vrei sã ºtergi caracterul?
PAID_CHARACTER_DELETE_RETRY	Acesta nu este caracterul ales.\nTe rugãm sã încerci din nou.
PAID_CHARACTER_FULL_CAPACITY	Nu mai poti crea alte caractere premium.
PAID_CHARACTER_NEED_TICKET	Ai nevoie de un Tichet Caracter Premium pentru a crea un caracter premium.
PAID_CHARACTER_SELECT_TOOLTIP	Caractere Premium
PAID_CHARACTER_TICKET_COUNT_TOOLTIP	Tichete Caracter: %d
PAID_CHARACTER_TICKET_LOADING	Încãrcare...
PARTY_ANSWER_TIMEOVER	Invitatia a fost respinsa.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Vitezã de atac: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Apãrare +%d%%	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	PV recuperat per ucidere +%d%%	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	 doreºte sã se alãture Grupului.
PARTY_DO_YOU_JOIN	 te-a invitat sã te alãturi unui grup. Accepşi?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primeºte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toşi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mãritã de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei mãritã de 2 ori.	SNA
PARTY_LEAVE	Pãrãseºte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus pentru joc de grupã lung: +%d%%	SA
PARTY_MATCH_CANCEL	Cãutarea grupului pentru %s a fost anulatã.
PARTY_MATCH_FAIL_FULL_MEMBER	Grupul tãu nu mai poate accepta membri.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nu te poşi înregistra pentru aceastã temnişã.
PARTY_MATCH_FAIL_LEVEL	Nivelul tãu este prea mic.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Membrul %s nu îndeplineºte cerinşele necesare.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Alege mai întâi temnişa.
PARTY_MATCH_FAIL_NOT_LEADER	Doar conducãtorul grupului poate înregistra.
PARTY_MATCH_FAIL_NO_ITEM	Nu ai suficent %s.
PARTY_MATCH_SEARCHING	Cautã
PARTY_MATCH_START	Ai înscris grupul pentru urmãtoarea temnişã: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigã membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ranguri Gardian You
PARTY_RK_CATEGORY_CZ_COW	Ranguri Gardian Chou
PARTY_RK_CATEGORY_CZ_DOG	Ranguri Gardian Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Ranguri Gardian Chen
PARTY_RK_CATEGORY_CZ_HORSE	Ranguri Gardian Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Ranguri Gardian Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Ranguri Gardian Zi
PARTY_RK_CATEGORY_CZ_PIG	Ranguri Gardian Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Ranguri Gardian Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Ranguri Gardian Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Ranguri Gardian Si
PARTY_RK_CATEGORY_CZ_TIGER	Ranguri Gardian Yin
PARTY_SET_ATTACKER	Stabileºte ca atacator.
PARTY_SET_BERSERKER	Stabileºte ca berserker.
PARTY_SET_BUFFER	Stabileºte ca blocant.
PARTY_SET_DEFENDER	Stabileºte ca apãrãtor.
PARTY_SET_NORMAL	Anuleazã setarea.
PARTY_SET_SKILL_MASTER	Stabileºte ca Maestru al Abilitãşii.
PARTY_SET_TANKER	Stabileºte ca luptãtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazã atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Apãrare ca Apãrãtor +%.0f%%
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	Regenerare PV ca Maestru de Abilitãşi +%.0f%%
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptãtor aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSIVE_ATTR_ADD_FAIL	Eºec! Bonusurile nu au fost transferate cãtre Spiritul Relicvã.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Spiritul Relicvã nu mai poate primi bonusuri suplimentare.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Ai nevoie de un Spirit Relicvã pentru clasa ta.
PASSIVE_ATTR_ADD_SUCCESS	Succes! Bonusurile au fost transferate cãtre Spiritul Relicvã.
